Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Intermediate,Power Pool A,1,Single game,CUTastrophe,Die Salzis,CUTastrophe,21,3,,,,,Andi Gjergji,Hanna Mrak,Johannes Gneist,Astrid Wimmer
Group Stage,Open Intermediate,Power Pool A,1,Single game,Jo Bee Net,FC Mathesport,Jo Bee Net,21,12,,,,,Johannes Strigl,Bettina Meinhart,Lorena Montellano,johannes schierl
Group Stage,Open Intermediate,Power Pool B,1,Single game,die schnellen Brillen,Ace Queens ElSa,die schnellen Brillen,21,14,,,,,Alexandra Quehenberger,Lukas Thaurer,Elisa Pilgram,Sara Pungor
Group Stage,Open Intermediate,Power Pool B,1,Single game,Eier auf Spanisch,Oops!... We Hit It Again,Eier auf Spanisch,21,18,,,,,Tobias Moser,Thomas Stadler,Johanna Kagerer,Lukas Stöbich
Group Stage,Open Intermediate,Power Pool A,2,Single game,CUTastrophe,FC Mathesport,CUTastrophe,21,15,,,,,Andi Gjergji,Hanna Mrak,Lorena Montellano,johannes schierl
Group Stage,Open Intermediate,Power Pool A,2,Single game,MBT,Die Salzis,MBT,21,13,,,,,Benedikt Lemler,Martin Schatzl,Johannes Gneist,Astrid Wimmer
Group Stage,Open Intermediate,Power Pool B,2,Single game,die schnellen Brillen,Oops!... We Hit It Again,die schnellen Brillen,21,11,,,,,Alexandra Quehenberger,Lukas Thaurer,Johanna Kagerer,Lukas Stöbich
Group Stage,Open Intermediate,Power Pool B,2,Single game,Trolli Trollbert,Ace Queens ElSa,Trolli Trollbert,23,21,,,,,Leon Limmer,Mascha Ruppel,Elisa Pilgram,Sara Pungor
Group Stage,Open Intermediate,Power Pool A,3,Single game,CUTastrophe,MBT,CUTastrophe,21,10,,,,,Andi Gjergji,Hanna Mrak,Benedikt Lemler,Martin Schatzl
Group Stage,Open Intermediate,Power Pool A,3,Single game,Jo Bee Net,Die Salzis,Jo Bee Net,21,8,,,,,Johannes Strigl,Bettina Meinhart,Johannes Gneist,Astrid Wimmer
Group Stage,Open Intermediate,Power Pool B,3,Single game,die schnellen Brillen,Trolli Trollbert,die schnellen Brillen,21,13,,,,,Alexandra Quehenberger,Lukas Thaurer,Leon Limmer,Mascha Ruppel
Group Stage,Open Intermediate,Power Pool B,3,Single game,Eier auf Spanisch,Ace Queens ElSa,Eier auf Spanisch,21,16,,,,,Tobias Moser,Thomas Stadler,Elisa Pilgram,Sara Pungor
Group Stage,Open Intermediate,Power Pool A,4,Single game,Jo Bee Net,MBT,Jo Bee Net,21,9,,,,,Johannes Strigl,Bettina Meinhart,Benedikt Lemler,Martin Schatzl
Group Stage,Open Intermediate,Power Pool A,4,Single game,FC Mathesport,Die Salzis,FC Mathesport,21,14,,,,,Lorena Montellano,johannes schierl,Johannes Gneist,Astrid Wimmer
Group Stage,Open Intermediate,Power Pool B,4,Single game,Eier auf Spanisch,Trolli Trollbert,Eier auf Spanisch,21,14,,,,,Tobias Moser,Thomas Stadler,Leon Limmer,Mascha Ruppel
Group Stage,Open Intermediate,Power Pool B,4,Single game,Oops!... We Hit It Again,Ace Queens ElSa,Oops!... We Hit It Again,21,18,,,,,Johanna Kagerer,Lukas Stöbich,Elisa Pilgram,Sara Pungor
Group Stage,Open Intermediate,Power Pool A,5,Single game,CUTastrophe,Jo Bee Net,CUTastrophe,21,10,,,,,Andi Gjergji,Hanna Mrak,Johannes Strigl,Bettina Meinhart
Group Stage,Open Intermediate,Power Pool A,5,Single game,MBT,FC Mathesport,FC Mathesport,22,24,,,,,Benedikt Lemler,Martin Schatzl,Lorena Montellano,johannes schierl
Group Stage,Open Intermediate,Power Pool B,5,Single game,die schnellen Brillen,Eier auf Spanisch,die schnellen Brillen,21,15,,,,,Alexandra Quehenberger,Lukas Thaurer,Tobias Moser,Thomas Stadler
Group Stage,Open Intermediate,Power Pool B,5,Single game,Trolli Trollbert,Oops!... We Hit It Again,Trolli Trollbert,21,18,,,,,Leon Limmer,Mascha Ruppel,Johanna Kagerer,Lukas Stöbich
Bracket Stage,Open Intermediate,Bracket A,Round of 16,Best of 3,Oops!... We Hit It Again,Die Salzis,Oops!... We Hit It Again,15,8,15,1,,,Johanna Kagerer,Lukas Stöbich,Johannes Gneist,Astrid Wimmer
Bracket Stage,Open Intermediate,Bracket A,Round of 16,Best of 3,MBT,Ace Queens ElSa,Ace Queens ElSa,14,16,7,15,,,Benedikt Lemler,Martin Schatzl,Elisa Pilgram,Sara Pungor
Bracket Stage,Open Intermediate,Bracket A,Quarter-final,Best of 3,CUTastrophe,Ace Queens ElSa,CUTastrophe,15,9,15,9,,,Andi Gjergji,Hanna Mrak,Elisa Pilgram,Sara Pungor
Bracket Stage,Open Intermediate,Bracket A,Quarter-final,Best of 3,die schnellen Brillen,Oops!... We Hit It Again,die schnellen Brillen,15,12,15,11,,,Alexandra Quehenberger,Lukas Thaurer,Johanna Kagerer,Lukas Stöbich
