Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Intermediate,Power Pool A,1,Single game,Hit on 2 Push Up Crew,Besamung,Hit on 2 Push Up Crew,21,8,,,,,Lukas Thaurer,Kristof Hammerer,Samuel Znidar,Benedikt Lemler
Group Stage,Open Intermediate,Power Pool A,1,Single game,Blackberrys,Dromedar 1,Blackberrys,21,18,,,,,Bernhard Bauer,Moritz Weißenbäck,Timo Nesensohn,Julian Oberhauser
Group Stage,Open Intermediate,Power Pool B,1,Single game,Steht noch nicht fest,Steingasse,Steht noch nicht fest,21,10,,,,,Liam Hiscox,Rabea Schalinski,Raphael Morell,TIBOR SKRZYDLO
Group Stage,Open Intermediate,Power Pool B,1,Single game,Rocket Man,Dromedar 2,Rocket Man,21,13,,,,,Torben Schubert,Joscha Witzel,Tobias Gstach,Maximilian Jenny
Group Stage,Open Intermediate,Power Pool C,1,Single game,Dromedar 3,G‘mischter Satz,G‘mischter Satz,18,21,,,,,Konstantin Vergianitis,Johannes Klapper,Alexander Winkler,Johanna Kagerer
Group Stage,Open Intermediate,Power Pool C,1,Single game,Betty und Elfi,Die Danebenhauer,Betty und Elfi,21,5,,,,,Finn Berger,Niklas Nussbaumer,Christoph Rippel,Mario Pils
Group Stage,Open Intermediate,Power Pool A,2,Single game,Hit on 2 Push Up Crew,Dromedar 1,Hit on 2 Push Up Crew,21,12,,,,,Lukas Thaurer,Kristof Hammerer,Timo Nesensohn,Julian Oberhauser
Group Stage,Open Intermediate,Power Pool A,2,Single game,Blackberrys,Besamung,Blackberrys,21,15,,,,,Bernhard Bauer,Moritz Weißenbäck,Samuel Znidar,Benedikt Lemler
Group Stage,Open Intermediate,Power Pool B,2,Single game,Steht noch nicht fest,Dromedar 2,Steht noch nicht fest,21,4,,,,,Liam Hiscox,Rabea Schalinski,Tobias Gstach,Maximilian Jenny
Group Stage,Open Intermediate,Power Pool B,2,Single game,Rocket Man,Steingasse,Rocket Man,21,15,,,,,Torben Schubert,Joscha Witzel,Raphael Morell,TIBOR SKRZYDLO
