Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,Asylum,RCG Gentlemen,Asylum,15,6,,,,,David Leidenfrost,Pol Loutsch,Andi Gjergji,Matthias Huber
Group Stage,Open,Group A,1,Single game,Smash or pass,Kidz,Smash or pass,15,10,,,,,Pippin Bär,Timo Clees,Tim Phan Quoc,nikolaus seiringer
Group Stage,Open,Group B,1,Single game,nerds in disguise,RCG Toramix,nerds in disguise,15,3,,,,,David Jindra,Stefan Handschmann,Raffael Foidl,Tobias Stadler
Group Stage,Open,Group B,1,Single game,RCG ChrisTops,Kein Schnickschnack,RCG ChrisTops,15,9,,,,,Thomas Pschaid,Christoph Lorenzoni,Jonas Adamer,Stefan Weiner
Group Stage,Open,Group C,1,Single game,RCG Powerline,Double Commit,RCG Powerline,15,5,,,,,Nelson Dziruni,Benjamin Bachler,Leonard Heypke,Tim Saurugger
Group Stage,Open,Group C,1,Single game,RCG Limitless,JX2,RCG Limitless,15,7,,,,,Marko Barbir,Mio Martens,Jakub Popluhar,Jakob Geyer
Group Stage,Open,Group D,1,Single game,Ufffff,Blackberrys,Ufffff,15,1,,,,,Julian Schmitz,Gabriel Stoisser,Michael Weilch,Moritz Weißenbäck
Group Stage,Open,Group D,1,Single game,Wiener Instinct,Das Ö in Südtirol steht für Österreich,Wiener Instinct,15,9,,,,,Albin Janko,Maximilian Knoll,Hannes Huber,David Adamer
Group Stage,Open,Group E,1,Single game,Full Send,RCG sinnlos,Full Send,15,6,,,,,Mathias Gangkofner,Johannes Mitterwald,Niki Seifert,Julius Focke
Group Stage,Open,Group E,1,Single game,WaWaWeeWa,Netzminister,WaWaWeeWa,15,7,,,,,Maher Saadeddin,Fabian Hagen,romeo sareshgi,Marwin Gusel
Group Stage,Open,Group A,2,Single game,Asylum,Kidz,Asylum,15,10,,,,,David Leidenfrost,Pol Loutsch,Tim Phan Quoc,nikolaus seiringer
Group Stage,Open,Group A,2,Single game,Smash or pass,RCG Gentlemen,Smash or pass,15,8,,,,,Pippin Bär,Timo Clees,Andi Gjergji,Matthias Huber
Group Stage,Open,Group B,2,Single game,nerds in disguise,Kein Schnickschnack,nerds in disguise,15,2,,,,,David Jindra,Stefan Handschmann,Jonas Adamer,Stefan Weiner
Group Stage,Open,Group B,2,Single game,RCG ChrisTops,RCG Toramix,RCG ChrisTops,15,10,,,,,Thomas Pschaid,Christoph Lorenzoni,Raffael Foidl,Tobias Stadler
Group Stage,Open,Group C,2,Single game,RCG Powerline,JX2,RCG Powerline,15,4,,,,,Nelson Dziruni,Benjamin Bachler,Jakub Popluhar,Jakob Geyer
Group Stage,Open,Group C,2,Single game,RCG Limitless,Double Commit,RCG Limitless,15,7,,,,,Marko Barbir,Mio Martens,Leonard Heypke,Tim Saurugger
Group Stage,Open,Group D,2,Single game,Ufffff,Das Ö in Südtirol steht für Österreich,Ufffff,15,7,,,,,Julian Schmitz,Gabriel Stoisser,Hannes Huber,David Adamer
Group Stage,Open,Group D,2,Single game,Wiener Instinct,Blackberrys,Wiener Instinct,15,11,,,,,Albin Janko,Maximilian Knoll,Michael Weilch,Moritz Weißenbäck
Group Stage,Open,Group E,2,Single game,Full Send,Netzminister,Full Send,15,5,,,,,Mathias Gangkofner,Johannes Mitterwald,romeo sareshgi,Marwin Gusel
Group Stage,Open,Group E,2,Single game,WaWaWeeWa,RCG sinnlos,WaWaWeeWa,15,6,,,,,Maher Saadeddin,Fabian Hagen,Niki Seifert,Julius Focke
Group Stage,Open,Group A,3,Single game,Asylum,Smash or pass,Asylum,15,12,,,,,David Leidenfrost,Pol Loutsch,Pippin Bär,Timo Clees
Group Stage,Open,Group A,3,Single game,Kidz,RCG Gentlemen,RCG Gentlemen,14,15,,,,,Tim Phan Quoc,nikolaus seiringer,Andi Gjergji,Matthias Huber
Group Stage,Open,Group B,3,Single game,nerds in disguise,RCG ChrisTops,RCG ChrisTops,10,15,,,,,David Jindra,Stefan Handschmann,Thomas Pschaid,Christoph Lorenzoni
Group Stage,Open,Group B,3,Single game,Kein Schnickschnack,RCG Toramix,Kein Schnickschnack,15,14,,,,,Jonas Adamer,Stefan Weiner,Raffael Foidl,Tobias Stadler
Group Stage,Open,Group C,3,Single game,RCG Powerline,RCG Limitless,RCG Powerline,15,9,,,,,Nelson Dziruni,Benjamin Bachler,Marko Barbir,Mio Martens
Group Stage,Open,Group C,3,Single game,JX2,Double Commit,Double Commit,10,15,,,,,Jakub Popluhar,Jakob Geyer,Leonard Heypke,Tim Saurugger
Group Stage,Open,Group D,3,Single game,Ufffff,Wiener Instinct,Ufffff,15,10,,,,,Julian Schmitz,Gabriel Stoisser,Albin Janko,Maximilian Knoll
Group Stage,Open,Group D,3,Single game,Das Ö in Südtirol steht für Österreich,Blackberrys,Das Ö in Südtirol steht für Österreich,15,4,,,,,Hannes Huber,David Adamer,Michael Weilch,Moritz Weißenbäck
Group Stage,Open,Group E,3,Single game,Full Send,WaWaWeeWa,Full Send,15,12,,,,,Mathias Gangkofner,Johannes Mitterwald,Maher Saadeddin,Fabian Hagen
Group Stage,Open,Group E,3,Single game,Netzminister,RCG sinnlos,Netzminister,15,9,,,,,romeo sareshgi,Marwin Gusel,Niki Seifert,Julius Focke
Group Stage,Open,Group A,4,Single game,Asylum,RCG Gentlemen,Asylum,15,6,,,,,David Leidenfrost,Pol Loutsch,Andi Gjergji,Matthias Huber
Group Stage,Open,Group A,4,Single game,Smash or pass,Kidz,Smash or pass,15,12,,,,,Pippin Bär,Timo Clees,Tim Phan Quoc,nikolaus seiringer
Group Stage,Open,Group B,4,Single game,nerds in disguise,RCG Toramix,nerds in disguise,15,4,,,,,David Jindra,Stefan Handschmann,Raffael Foidl,Tobias Stadler
Group Stage,Open,Group B,4,Single game,RCG ChrisTops,Kein Schnickschnack,RCG ChrisTops,15,5,,,,,Thomas Pschaid,Christoph Lorenzoni,Jonas Adamer,Stefan Weiner
Group Stage,Open,Group C,4,Single game,RCG Powerline,Double Commit,RCG Powerline,15,5,,,,,Nelson Dziruni,Benjamin Bachler,Leonard Heypke,Tim Saurugger
Group Stage,Open,Group C,4,Single game,RCG Limitless,JX2,RCG Limitless,15,9,,,,,Marko Barbir,Mio Martens,Jakub Popluhar,Jakob Geyer
Group Stage,Open,Group D,4,Single game,Ufffff,Blackberrys,Ufffff,15,3,,,,,Julian Schmitz,Gabriel Stoisser,Michael Weilch,Moritz Weißenbäck
Group Stage,Open,Group D,4,Single game,Wiener Instinct,Das Ö in Südtirol steht für Österreich,Wiener Instinct,15,7,,,,,Albin Janko,Maximilian Knoll,Hannes Huber,David Adamer
Group Stage,Open,Group E,4,Single game,Full Send,RCG sinnlos,Full Send,15,10,,,,,Mathias Gangkofner,Johannes Mitterwald,Niki Seifert,Julius Focke
