Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,The Shuttlecocks,Ex-Army,The Shuttlecocks,19,17,,,,,Hjalte Knudsen,Jakob Blaaholm Nielsen,Mathias Linnet,Ruben Møberg
Group Stage,Open,Group A,1,Single game,Dap Me Up,Moon baboons,Dap Me Up,15,11,,,,,Jeppe Norlyk Hansen,Christian Brødsgaard,Søren Høy,Malte Klinkby
Group Stage,Open,Group B,1,Single game,Lyngbye Brothers,Frejlev Bois,Lyngbye Brothers,15,12,,,,,Erik Lyngbye,David Lyngbye,Carl Schjelderup,ANDERS FREDERIKSEN
Group Stage,Open,Group B,1,Single game,Nikaskel,M&M Smashers,Nikaskel,15,13,,,,,Niklas Daugbjerg,Aske Hammar,Mikkel Fabrin,Michael Halsted
Group Stage,Open,Group C,1,Single game,Fandango,Mathias^2,Fandango,15,7,,,,,Magnus Selmer,Asbjørn Ditlev,Mathias Andresen,Mathias Frost
Group Stage,Open,Group C,1,Single game,Serve-ivors,Ritto Boys,Ritto Boys,10,15,,,,,Ebbe Maru Storm Sørensen,Mads Overgaard Jensen,Lasse Einspannier,Christoffer Heide Farre
Group Stage,Open,Group D,1,Single game,Spike Tyson,Årets overraskelse 🤯,Spike Tyson,15,7,,,,,Jonatan Hauge Steffensen,Esben Cenholt Østergaard,Sandra Sejersen,Nikolaj Bach
Group Stage,Open,Group D,1,Single game,Aalborg Spikeboomers,Kjældgaards kaffe V2.,Aalborg Spikeboomers,15,13,,,,,Magnus Bredvig,Christoffer Brødsgaard,Jacob Kjældgaard,Jonas Kjældgaard Pedersen
Group Stage,Open,Group A,2,Single game,The Shuttlecocks,Moon baboons,Moon baboons,12,15,,,,,Hjalte Knudsen,Jakob Blaaholm Nielsen,Søren Høy,Malte Klinkby
Group Stage,Open,Group A,2,Single game,Dap Me Up,Ex-Army,Dap Me Up,16,14,,,,,Jeppe Norlyk Hansen,Christian Brødsgaard,Mathias Linnet,Ruben Møberg
Group Stage,Open,Group B,2,Single game,Lyngbye Brothers,M&M Smashers,Lyngbye Brothers,15,11,,,,,Erik Lyngbye,David Lyngbye,Mikkel Fabrin,Michael Halsted
Group Stage,Open,Group B,2,Single game,Nikaskel,Frejlev Bois,Frejlev Bois,13,15,,,,,Niklas Daugbjerg,Aske Hammar,Carl Schjelderup,ANDERS FREDERIKSEN
Group Stage,Open,Group C,2,Single game,Fandango,Ritto Boys,Fandango,15,7,,,,,Magnus Selmer,Asbjørn Ditlev,Lasse Einspannier,Christoffer Heide Farre
Group Stage,Open,Group C,2,Single game,Serve-ivors,Mathias^2,Serve-ivors,15,7,,,,,Ebbe Maru Storm Sørensen,Mads Overgaard Jensen,Mathias Andresen,Mathias Frost
