Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Gruppespil,Open,Gruppe A - Powerpool,1,Single game,Cillit Bang,Lyngbye Brothers,Lyngbye Brothers,14,16,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Erik Lyngbye,David Lyngbye
Gruppespil,Open,Gruppe A - Powerpool,1,Single game,Aces er overvurderet,BreakAway,BreakAway,11,15,,,,,Christian Brødsgaard,Søren Høy,Hjalte Knudsen,Mathias Linnet
Gruppespil,Open,Gruppe B,1,Single game,Knæk og bræk,Filurerne,Knæk og bræk,15,8,,,,,Asbjørn Ditlev,Peter Madsen,Jonas Kjældgaard Pedersen,Mikael Kjems Byskov Andersen
Gruppespil,Open,Gruppe B,1,Single game,Booming business,Serve-ivors,Serve-ivors,10,15,,,,,Nicolas Løfgren,Frederik Staunstrup,Ebbe Maru Storm Sørensen,Mads Overgaard Jensen
Gruppespil,Open,Group C,1,Single game,3stjernet spikepølse,Spikenado,3stjernet spikepølse,15,7,,,,,Jakob Blaaholm Nielsen,Niklas Daugbjerg,Simon Larsen,Michael Halsted
Gruppespil,Open,Group C,1,Single game,Spiko de dinero,Heide from the bear,Spiko de dinero,15,10,,,,,Jonas Jensen,Lasse Einspannier,Christoffer Heide Farre,Bjørn Fredslund
Gruppespil,Open,Gruppe A - Powerpool,2,Single game,Cillit Bang,BreakAway,Cillit Bang,15,10,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Hjalte Knudsen,Mathias Linnet
Gruppespil,Open,Gruppe A - Powerpool,2,Single game,Aces er overvurderet,Lyngbye Brothers,Aces er overvurderet,15,8,,,,,Christian Brødsgaard,Søren Høy,Erik Lyngbye,David Lyngbye
Gruppespil,Open,Gruppe B,2,Single game,Knæk og bræk,Serve-ivors,Serve-ivors,13,15,,,,,Asbjørn Ditlev,Peter Madsen,Ebbe Maru Storm Sørensen,Mads Overgaard Jensen
Gruppespil,Open,Gruppe B,2,Single game,Booming business,Filurerne,Booming business,15,7,,,,,Nicolas Løfgren,Frederik Staunstrup,Jonas Kjældgaard Pedersen,Mikael Kjems Byskov Andersen
Gruppespil,Open,Group C,2,Single game,3stjernet spikepølse,Heide from the bear,3stjernet spikepølse,15,7,,,,,Jakob Blaaholm Nielsen,Niklas Daugbjerg,Christoffer Heide Farre,Bjørn Fredslund
Gruppespil,Open,Group C,2,Single game,Thunder Boys,Spikenado,Spikenado,12,15,,,,,Magnus Møller Mørup,Christian Sørnsen,Simon Larsen,Michael Halsted
Gruppespil,Open,Gruppe A - Powerpool,3,Single game,Cillit Bang,Aces er overvurderet,Cillit Bang,15,12,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Christian Brødsgaard,Søren Høy
Gruppespil,Open,Gruppe A - Powerpool,3,Single game,BreakAway,Lyngbye Brothers,BreakAway,15,8,,,,,Hjalte Knudsen,Mathias Linnet,Erik Lyngbye,David Lyngbye
Gruppespil,Open,Gruppe B,3,Single game,Knæk og bræk,Booming business,Knæk og bræk,15,13,,,,,Asbjørn Ditlev,Peter Madsen,Nicolas Løfgren,Frederik Staunstrup
Gruppespil,Open,Gruppe B,3,Single game,Serve-ivors,Filurerne,Serve-ivors,15,8,,,,,Ebbe Maru Storm Sørensen,Mads Overgaard Jensen,Jonas Kjældgaard Pedersen,Mikael Kjems Byskov Andersen
Gruppespil,Open,Group C,3,Single game,3stjernet spikepølse,Thunder Boys,3stjernet spikepølse,15,7,,,,,Jakob Blaaholm Nielsen,Niklas Daugbjerg,Magnus Møller Mørup,Christian Sørnsen
Gruppespil,Open,Group C,3,Single game,Spiko de dinero,Spikenado,Spiko de dinero,15,7,,,,,Jonas Jensen,Lasse Einspannier,Simon Larsen,Michael Halsted
Gruppespil,Open,Group C,4,Single game,Spiko de dinero,Thunder Boys,Spiko de dinero,15,7,,,,,Jonas Jensen,Lasse Einspannier,Magnus Møller Mørup,Christian Sørnsen
