Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,Danish Dynamite,Lyngbye Brothers,Danish Dynamite,21,11,,,,,Hjalte Knudsen,Aske Hammar,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group B,1,Single game,Cillit Bang,Magmus og Rasnus,Cillit Bang,21,11,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Rasmus Carlsen,Magnus Bredvig
Group Stage,Open,Group C,1,Single game,Chaos Theory,Simon Says Rounda-Bach,Chaos Theory,21,11,,,,,Christian Brødsgaard,Mathias Linnet,Simon Larsen,Nikolaj Bach
Group Stage,Open,Group A,2,Single game,Danish Dynamite,Det sværeste ved spike,Danish Dynamite,21,11,,,,,Hjalte Knudsen,Aske Hammar,Niklas Daugbjerg,Asbjørn Ditlev
Group Stage,Open,Group B,2,Single game,Cillit Bang,Spikelæg,Cillit Bang,21,11,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Jonatan Hauge Steffensen,Jonas Jensen
Group Stage,Open,Group C,2,Single game,Chaos Theory,Will call high above knees,Will call high above knees,19,21,,,,,Christian Brødsgaard,Mathias Linnet,Jakob Blaaholm Nielsen,Søren Høy
Group Stage,Open,Group A,3,Single game,Det sværeste ved spike,Lyngbye Brothers,Det sværeste ved spike,21,17,,,,,Niklas Daugbjerg,Asbjørn Ditlev,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group B,3,Single game,Spikelæg,Magmus og Rasnus,Spikelæg,21,11,,,,,Jonatan Hauge Steffensen,Jonas Jensen,Rasmus Carlsen,Magnus Bredvig
Group Stage,Open,Group C,3,Single game,Will call high above knees,Simon Says Rounda-Bach,Will call high above knees,21,11,,,,,Jakob Blaaholm Nielsen,Søren Høy,Simon Larsen,Nikolaj Bach
Group Stage,Open,Group A,4,Single game,Danish Dynamite,Lyngbye Brothers,Danish Dynamite,21,11,,,,,Hjalte Knudsen,Aske Hammar,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group B,4,Single game,Cillit Bang,Magmus og Rasnus,Cillit Bang,21,11,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Rasmus Carlsen,Magnus Bredvig
Group Stage,Open,Group C,4,Single game,Chaos Theory,Simon Says Rounda-Bach,Chaos Theory,21,11,,,,,Christian Brødsgaard,Mathias Linnet,Simon Larsen,Nikolaj Bach
Group Stage,Open,Group A,5,Single game,Danish Dynamite,Det sværeste ved spike,Danish Dynamite,21,11,,,,,Hjalte Knudsen,Aske Hammar,Niklas Daugbjerg,Asbjørn Ditlev
Group Stage,Open,Group B,5,Single game,Cillit Bang,Spikelæg,Cillit Bang,21,11,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Jonatan Hauge Steffensen,Jonas Jensen
Group Stage,Open,Group C,5,Single game,Chaos Theory,Will call high above knees,Will call high above knees,18,21,,,,,Christian Brødsgaard,Mathias Linnet,Jakob Blaaholm Nielsen,Søren Høy
Group Stage,Open,Group A,6,Single game,Det sværeste ved spike,Lyngbye Brothers,Det sværeste ved spike,21,13,,,,,Niklas Daugbjerg,Asbjørn Ditlev,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group B,6,Single game,Spikelæg,Magmus og Rasnus,Spikelæg,21,11,,,,,Jonatan Hauge Steffensen,Jonas Jensen,Rasmus Carlsen,Magnus Bredvig
Group Stage,Open,Group C,6,Single game,Will call high above knees,Simon Says Rounda-Bach,Will call high above knees,21,11,,,,,Jakob Blaaholm Nielsen,Søren Høy,Simon Larsen,Nikolaj Bach
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,Magmus og Rasnus,Simon Says Rounda-Bach,Simon Says Rounda-Bach,19,21,0,1,0,1,Rasmus Carlsen,Magnus Bredvig,Simon Larsen,Nikolaj Bach
Bracket Stage,Open,Bracket A,Quarter-final,Best of 3,Danish Dynamite,Simon Says Rounda-Bach,Danish Dynamite,15,1,15,3,,,Hjalte Knudsen,Aske Hammar,Simon Larsen,Nikolaj Bach
Bracket Stage,Open,Bracket A,Quarter-final,Best of 3,Cillit Bang,Lyngbye Brothers,Cillit Bang,15,2,15,5,,,Malte Klinkby,Jeppe Norlyk Hansen,Erik Lyngbye,David Lyngbye
Bracket Stage,Open,Bracket A,Quarter-final,Best of 3,Will call high above knees,Det sværeste ved spike,Will call high above knees,15,11,15,12,,,Jakob Blaaholm Nielsen,Søren Høy,Niklas Daugbjerg,Asbjørn Ditlev
Bracket Stage,Open,Bracket A,Quarter-final,Best of 3,Chaos Theory,Spikelæg,Chaos Theory,16,14,15,4,,,Christian Brødsgaard,Mathias Linnet,Jonatan Hauge Steffensen,Jonas Jensen
Bracket Stage,Open,Bracket A,Semi-final,Best of 3,Danish Dynamite,Chaos Theory,Danish Dynamite,21,17,21,17,,,Hjalte Knudsen,Aske Hammar,Christian Brødsgaard,Mathias Linnet
Bracket Stage,Open,Bracket A,Semi-final,Best of 3,Cillit Bang,Will call high above knees,Cillit Bang,17,21,21,12,15,13,Malte Klinkby,Jeppe Norlyk Hansen,Jakob Blaaholm Nielsen,Søren Høy
Bracket Stage,Open,Bracket A,Winners final,Best of 3,Danish Dynamite,Cillit Bang,Danish Dynamite,21,16,21,12,,,Hjalte Knudsen,Aske Hammar,Malte Klinkby,Jeppe Norlyk Hansen
Bracket Stage,Open,Bracket A,Final,Best of 3,Danish Dynamite,Chaos Theory,Danish Dynamite,21,18,21,13,,,Hjalte Knudsen,Aske Hammar,Christian Brødsgaard,Mathias Linnet
Bracket Stage,Open,Bracket A,Losers QF,Single game,Lyngbye Brothers,Magmus og Rasnus,Lyngbye Brothers,21,15,,,,,Erik Lyngbye,David Lyngbye,Rasmus Carlsen,Magnus Bredvig
Bracket Stage,Open,Bracket A,Losers Minor SF,Single game,Spikelæg,Simon Says Rounda-Bach,Spikelæg,21,10,,,,,Jonatan Hauge Steffensen,Jonas Jensen,Simon Larsen,Nikolaj Bach
Bracket Stage,Open,Bracket A,Losers Minor SF,Single game,Det sværeste ved spike,Lyngbye Brothers,Det sværeste ved spike,21,15,,,,,Niklas Daugbjerg,Asbjørn Ditlev,Erik Lyngbye,David Lyngbye
Bracket Stage,Open,Bracket A,Losers SF,Single game,Will call high above knees,Det sværeste ved spike,Will call high above knees,21,13,,,,,Jakob Blaaholm Nielsen,Søren Høy,Niklas Daugbjerg,Asbjørn Ditlev
Bracket Stage,Open,Bracket A,Losers SF,Single game,Chaos Theory,Spikelæg,Chaos Theory,21,17,,,,,Christian Brødsgaard,Mathias Linnet,Jonatan Hauge Steffensen,Jonas Jensen
