Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,Political Pressure,Spiketaculars,Political Pressure,21,2,,,,,Aske Hammar,Mathias Linnet,Mikael Kjems Byskov Andersen,Christoffer Heide Farre
Group Stage,Open,Group A,1,Single game,Cillit Bang,Lucky Charms,Cillit Bang,21,10,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Lasse Einspannier,Jonas Kjældgaard Pedersen
Group Stage,Open,Group A,1,Single game,The Trickers,Lyngbye Brothers,The Trickers,21,14,,,,,Daniel Henriksen,Ruben Møberg,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group B,1,Single game,Ping Pong,Practise safe sets,Ping Pong,21,11,,,,,Christian Brødsgaard,Hjalte Knudsen,Esben Cenholt Østergaard,Ebbe Maru Storm Sørensen
Group Stage,Open,Group B,1,Single game,WILL,Spiklæg,WILL,21,16,,,,,Søren Høy,Jakob Blaaholm Nielsen,Jonas Jensen,Magnus Bredvig
Group Stage,Open,Group A,2,Single game,Political Pressure,Lucky Charms,Political Pressure,21,2,,,,,Aske Hammar,Mathias Linnet,Lasse Einspannier,Jonas Kjældgaard Pedersen
Group Stage,Open,Group A,2,Single game,Cillit Bang,The Trickers,Cillit Bang,21,7,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Daniel Henriksen,Ruben Møberg
Group Stage,Open,Group A,2,Single game,Lyngbye Brothers,Spiketaculars,Lyngbye Brothers,21,11,,,,,Erik Lyngbye,David Lyngbye,Mikael Kjems Byskov Andersen,Christoffer Heide Farre
Group Stage,Open,Group B,2,Single game,Ping Pong,Spiklæg,Ping Pong,21,7,,,,,Christian Brødsgaard,Hjalte Knudsen,Jonas Jensen,Magnus Bredvig
Group Stage,Open,Group B,2,Single game,Fandango,Practise safe sets,Fandango,21,15,,,,,Asbjørn Ditlev,Magnus Selmer,Esben Cenholt Østergaard,Ebbe Maru Storm Sørensen
Group Stage,Open,Group A,3,Single game,Political Pressure,Lyngbye Brothers,Political Pressure,21,8,,,,,Aske Hammar,Mathias Linnet,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group A,3,Single game,Cillit Bang,Spiketaculars,Cillit Bang,21,7,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Mikael Kjems Byskov Andersen,Christoffer Heide Farre
Group Stage,Open,Group A,3,Single game,The Trickers,Lucky Charms,The Trickers,21,16,,,,,Daniel Henriksen,Ruben Møberg,Lasse Einspannier,Jonas Kjældgaard Pedersen
Group Stage,Open,Group B,3,Single game,Ping Pong,Fandango,Ping Pong,21,9,,,,,Christian Brødsgaard,Hjalte Knudsen,Asbjørn Ditlev,Magnus Selmer
Group Stage,Open,Group B,3,Single game,WILL,Practise safe sets,WILL,21,10,,,,,Søren Høy,Jakob Blaaholm Nielsen,Esben Cenholt Østergaard,Ebbe Maru Storm Sørensen
Group Stage,Open,Group A,4,Single game,Political Pressure,The Trickers,Political Pressure,21,10,,,,,Aske Hammar,Mathias Linnet,Daniel Henriksen,Ruben Møberg
Group Stage,Open,Group A,4,Single game,Cillit Bang,Lyngbye Brothers,Cillit Bang,21,8,,,,,Malte Klinkby,Jeppe Norlyk Hansen,Erik Lyngbye,David Lyngbye
Group Stage,Open,Group A,4,Single game,Lucky Charms,Spiketaculars,Lucky Charms,21,13,,,,,Lasse Einspannier,Jonas Kjældgaard Pedersen,Mikael Kjems Byskov Andersen,Christoffer Heide Farre
Group Stage,Open,Group B,4,Single game,WILL,Fandango,WILL,21,14,,,,,Søren Høy,Jakob Blaaholm Nielsen,Asbjørn Ditlev,Magnus Selmer
Group Stage,Open,Group B,4,Single game,Spiklæg,Practise safe sets,Practise safe sets,19,21,,,,,Jonas Jensen,Magnus Bredvig,Esben Cenholt Østergaard,Ebbe Maru Storm Sørensen
Group Stage,Open,Group A,5,Single game,Political Pressure,Cillit Bang,Political Pressure,21,15,,,,,Aske Hammar,Mathias Linnet,Malte Klinkby,Jeppe Norlyk Hansen
Group Stage,Open,Group A,5,Single game,The Trickers,Spiketaculars,The Trickers,21,12,,,,,Daniel Henriksen,Ruben Møberg,Mikael Kjems Byskov Andersen,Christoffer Heide Farre
Group Stage,Open,Group A,5,Single game,Lyngbye Brothers,Lucky Charms,Lyngbye Brothers,21,17,,,,,Erik Lyngbye,David Lyngbye,Lasse Einspannier,Jonas Kjældgaard Pedersen
Group Stage,Open,Group B,5,Single game,Ping Pong,WILL,Ping Pong,21,13,,,,,Christian Brødsgaard,Hjalte Knudsen,Søren Høy,Jakob Blaaholm Nielsen
Group Stage,Open,Group B,5,Single game,Fandango,Spiklæg,Fandango,25,23,,,,,Asbjørn Ditlev,Magnus Selmer,Jonas Jensen,Magnus Bredvig
Bracket Stage,Open,Bracket A,Quarter-final,Best of 3,Cillit Bang,Fandango,Cillit Bang,21,12,21,13,,,Malte Klinkby,Jeppe Norlyk Hansen,Asbjørn Ditlev,Magnus Selmer
Bracket Stage,Open,Bracket A,Quarter-final,Best of 3,WILL,The Trickers,WILL,21,16,20,22,21,16,Søren Høy,Jakob Blaaholm Nielsen,Daniel Henriksen,Ruben Møberg
Bracket Stage,Open,Bracket A,Semi-final,Best of 3,Political Pressure,WILL,WILL,20,22,21,13,11,15,Aske Hammar,Mathias Linnet,Søren Høy,Jakob Blaaholm Nielsen
Bracket Stage,Open,Bracket A,Semi-final,Best of 3,Ping Pong,Cillit Bang,Ping Pong,21,18,21,13,,,Christian Brødsgaard,Hjalte Knudsen,Malte Klinkby,Jeppe Norlyk Hansen
Bracket Stage,Open,Bracket A,Winners final,Best of 3,WILL,Ping Pong,Ping Pong,13,21,16,21,,,Søren Høy,Jakob Blaaholm Nielsen,Christian Brødsgaard,Hjalte Knudsen
Bracket Stage,Open,Bracket A,Final,Best of 3,Ping Pong,Cillit Bang,Ping Pong,21,14,22,20,,,Christian Brødsgaard,Hjalte Knudsen,Malte Klinkby,Jeppe Norlyk Hansen
Bracket Stage,Open,Bracket A,Losers SF,Best of 3,Cillit Bang,The Trickers,Cillit Bang,15,12,15,13,,,Malte Klinkby,Jeppe Norlyk Hansen,Daniel Henriksen,Ruben Møberg
