Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Elite,Group A,1,Single game,NEM - Bazzani/Borsotti,Too Tall for Contender,NEM - Bazzani/Borsotti,15,11,,,,,Andrea Borsotti,Nicola Bazzani,Søren Høy,Hjalte Knudsen
Group Stage,Open Elite,Group A,1,Single game,Schnellson & Grantschmann,Best Served Cold,Schnellson & Grantschmann,15,8,,,,,Nelson Dziruni,Stefan Handschmann,Jaroslav Čabala,Markus Anderle
Group Stage,Open Elite,Group B,1,Single game,Nem_Christiani/Harder,Roundnet +33602320326,Nem_Christiani/Harder,15,8,,,,,Jonathan Harder,Lucas Christiani,karim lahoud,Yanis Bouchemoua
Group Stage,Open Elite,Group B,1,Single game,Touch is a Touch,Le Spiko de Familia,Touch is a Touch,15,14,,,,,Jonas Bottler,Paul Schirop,Kasper Søvndal,Andreas Christensen
Group Stage,Open Elite,Group C,1,Single game,Triple X,Asylum,Triple X,15,8,,,,,Laura Kunzelmann,Paul Siemer,David Leidenfrost,Pol Loutsch
Group Stage,Open Elite,Group C,1,Single game,Ricochet Robots,Esajas bachelor party,Ricochet Robots,15,14,,,,,Tim Bichler,Kasimir Nerad,Benjamin Bachler,Esaja Ekman
Group Stage,Open Elite,Group D,1,Single game,Pour sophie,Raclette/Baguette,Pour sophie,15,13,,,,,Louis Mareschal,Dorian Améziane,Nicolas Perriraz,Thibaud Brun
Group Stage,Open Elite,Group D,1,Single game,Zwaffle everyone,Smile,Zwaffle everyone,15,11,,,,,Levi Vandaele,Robin Florinda,Felix Millton,Gabriel Stoisser
Group Stage,Open Elite,Group A,2,Single game,NEM - Bazzani/Borsotti,Best Served Cold,NEM - Bazzani/Borsotti,15,14,,,,,Andrea Borsotti,Nicola Bazzani,Jaroslav Čabala,Markus Anderle
Group Stage,Open Elite,Group A,2,Single game,Schnellson & Grantschmann,Too Tall for Contender,Schnellson & Grantschmann,15,9,,,,,Nelson Dziruni,Stefan Handschmann,Søren Høy,Hjalte Knudsen
Group Stage,Open Elite,Group B,2,Single game,Nem_Christiani/Harder,Le Spiko de Familia,Nem_Christiani/Harder,15,9,,,,,Jonathan Harder,Lucas Christiani,Kasper Søvndal,Andreas Christensen
Group Stage,Open Elite,Group B,2,Single game,Touch is a Touch,Roundnet +33602320326,Touch is a Touch,15,9,,,,,Jonas Bottler,Paul Schirop,karim lahoud,Yanis Bouchemoua
Group Stage,Open Elite,Group C,2,Single game,Triple X,Esajas bachelor party,Triple X,15,7,,,,,Laura Kunzelmann,Paul Siemer,Benjamin Bachler,Esaja Ekman
Group Stage,Open Elite,Group C,2,Single game,Ricochet Robots,Asylum,Ricochet Robots,15,7,,,,,Tim Bichler,Kasimir Nerad,David Leidenfrost,Pol Loutsch
Group Stage,Open Elite,Group D,2,Single game,Pour sophie,Smile,Smile,8,15,,,,,Louis Mareschal,Dorian Améziane,Felix Millton,Gabriel Stoisser
Group Stage,Open Elite,Group D,2,Single game,Zwaffle everyone,Raclette/Baguette,Zwaffle everyone,15,7,,,,,Levi Vandaele,Robin Florinda,Nicolas Perriraz,Thibaud Brun
Group Stage,Open Elite,Group A,3,Single game,NEM - Bazzani/Borsotti,Schnellson & Grantschmann,Schnellson & Grantschmann,4,15,,,,,Andrea Borsotti,Nicola Bazzani,Nelson Dziruni,Stefan Handschmann
Group Stage,Open Elite,Group A,3,Single game,Best Served Cold,Too Tall for Contender,Best Served Cold,15,13,,,,,Jaroslav Čabala,Markus Anderle,Søren Høy,Hjalte Knudsen
Group Stage,Open Elite,Group B,3,Single game,Nem_Christiani/Harder,Touch is a Touch,Nem_Christiani/Harder,15,12,,,,,Jonathan Harder,Lucas Christiani,Jonas Bottler,Paul Schirop
Group Stage,Open Elite,Group B,3,Single game,Le Spiko de Familia,Roundnet +33602320326,Le Spiko de Familia,15,13,,,,,Kasper Søvndal,Andreas Christensen,karim lahoud,Yanis Bouchemoua
Group Stage,Open Elite,Group C,3,Single game,Triple X,Ricochet Robots,Triple X,15,14,,,,,Laura Kunzelmann,Paul Siemer,Tim Bichler,Kasimir Nerad
Group Stage,Open Elite,Group C,3,Single game,Esajas bachelor party,Asylum,Esajas bachelor party,15,13,,,,,Benjamin Bachler,Esaja Ekman,David Leidenfrost,Pol Loutsch
Group Stage,Open Elite,Group D,3,Single game,Pour sophie,Zwaffle everyone,Zwaffle everyone,13,15,,,,,Louis Mareschal,Dorian Améziane,Levi Vandaele,Robin Florinda
Group Stage,Open Elite,Group D,3,Single game,Smile,Raclette/Baguette,Raclette/Baguette,12,15,,,,,Felix Millton,Gabriel Stoisser,Nicolas Perriraz,Thibaud Brun
Group Stage,Open Elite,Group A,4,Single game,NEM - Bazzani/Borsotti,Too Tall for Contender,NEM - Bazzani/Borsotti,15,9,,,,,Andrea Borsotti,Nicola Bazzani,Søren Høy,Hjalte Knudsen
Group Stage,Open Elite,Group A,4,Single game,Schnellson & Grantschmann,Best Served Cold,Schnellson & Grantschmann,15,12,,,,,Nelson Dziruni,Stefan Handschmann,Jaroslav Čabala,Markus Anderle
Group Stage,Open Elite,Group B,4,Single game,Nem_Christiani/Harder,Roundnet +33602320326,Nem_Christiani/Harder,15,10,,,,,Jonathan Harder,Lucas Christiani,karim lahoud,Yanis Bouchemoua
Group Stage,Open Elite,Group B,4,Single game,Touch is a Touch,Le Spiko de Familia,Touch is a Touch,15,4,,,,,Jonas Bottler,Paul Schirop,Kasper Søvndal,Andreas Christensen
Group Stage,Open Elite,Group C,4,Single game,Triple X,Asylum,Triple X,15,10,,,,,Laura Kunzelmann,Paul Siemer,David Leidenfrost,Pol Loutsch
Group Stage,Open Elite,Group C,4,Single game,Ricochet Robots,Esajas bachelor party,Ricochet Robots,15,13,,,,,Tim Bichler,Kasimir Nerad,Benjamin Bachler,Esaja Ekman
Group Stage,Open Elite,Group D,4,Single game,Pour sophie,Raclette/Baguette,Pour sophie,15,8,,,,,Louis Mareschal,Dorian Améziane,Nicolas Perriraz,Thibaud Brun
Group Stage,Open Elite,Group D,4,Single game,Zwaffle everyone,Smile,Zwaffle everyone,15,9,,,,,Levi Vandaele,Robin Florinda,Felix Millton,Gabriel Stoisser
Group Stage,Open Elite,Group A,5,Single game,NEM - Bazzani/Borsotti,Best Served Cold,NEM - Bazzani/Borsotti,15,8,,,,,Andrea Borsotti,Nicola Bazzani,Jaroslav Čabala,Markus Anderle
Group Stage,Open Elite,Group A,5,Single game,Schnellson & Grantschmann,Too Tall for Contender,Schnellson & Grantschmann,15,9,,,,,Nelson Dziruni,Stefan Handschmann,Søren Høy,Hjalte Knudsen
Group Stage,Open Elite,Group B,5,Single game,Nem_Christiani/Harder,Le Spiko de Familia,Nem_Christiani/Harder,15,10,,,,,Jonathan Harder,Lucas Christiani,Kasper Søvndal,Andreas Christensen
Group Stage,Open Elite,Group B,5,Single game,Touch is a Touch,Roundnet +33602320326,Touch is a Touch,15,10,,,,,Jonas Bottler,Paul Schirop,karim lahoud,Yanis Bouchemoua
Group Stage,Open Elite,Group C,5,Single game,Triple X,Esajas bachelor party,Triple X,15,8,,,,,Laura Kunzelmann,Paul Siemer,Benjamin Bachler,Esaja Ekman
Group Stage,Open Elite,Group C,5,Single game,Ricochet Robots,Asylum,Ricochet Robots,15,7,,,,,Tim Bichler,Kasimir Nerad,David Leidenfrost,Pol Loutsch
Group Stage,Open Elite,Group D,5,Single game,Pour sophie,Smile,Smile,7,15,,,,,Louis Mareschal,Dorian Améziane,Felix Millton,Gabriel Stoisser
Group Stage,Open Elite,Group D,5,Single game,Zwaffle everyone,Raclette/Baguette,Raclette/Baguette,14,15,,,,,Levi Vandaele,Robin Florinda,Nicolas Perriraz,Thibaud Brun
Group Stage,Open Elite,Group A,6,Single game,NEM - Bazzani/Borsotti,Schnellson & Grantschmann,NEM - Bazzani/Borsotti,15,7,,,,,Andrea Borsotti,Nicola Bazzani,Nelson Dziruni,Stefan Handschmann
Group Stage,Open Elite,Group A,6,Single game,Best Served Cold,Too Tall for Contender,Too Tall for Contender,12,15,,,,,Jaroslav Čabala,Markus Anderle,Søren Høy,Hjalte Knudsen
