Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,NEM - Bazzani/Borsotti,Top mantas,NEM - Bazzani/Borsotti,15,10,,,,,Andrea Borsotti,Nicola Bazzani,Guillermo Cuesta Fuentes,Manuel Egea Rodenas
Group Stage,Open Pro,Group A,1,Single game,SA,Hopp Schmi(i)tz,SA,15,13,,,,,Jeroen Brus,Teo Kukuljan,Nicolas Perriraz,Julian Schmitz
Group Stage,Open Pro,Group B,1,Single game,Triple X,Bolo Bene VS Bolo Feccia,Triple X,15,1,,,,,Paul Siemer,Laura Kunzelmann,Sebastiano Guerra,Giacomo Colliva
Group Stage,Open Pro,Group B,1,Single game,Grazi/Theunis,Roundnet +33602320326,Roundnet +33602320326,5,15,,,,,Frederik Theunis,Federico Grazi,Yanis Bouchemoua,karim lahoud
Group Stage,Open Pro,Group C,1,Single game,Nem_Christiani/Harder,Wafflers,Nem_Christiani/Harder,15,13,,,,,Lucas Christiani,Jonathan Harder,Jonty Park,Nicolas Truijens
Group Stage,Open Pro,Group C,1,Single game,There's Always Next Season,Papperlapapp,Papperlapapp,13,15,,,,,Trevor Cook,Jonas Tarnutzer,Roman Peter,Serafin Rieser
Group Stage,Open Pro,Group D,1,Single game,Rouli Tonga,Emu und Merlör,Rouli Tonga,15,14,,,,,Louis Mareschal,Thibaud Brun,Merlin Baumeler,Emanuel Rimle
Group Stage,Open Pro,Group D,1,Single game,guten morgen sonnenschein,Touch is a Touch,Touch is a Touch,8,15,,,,,Erik Borja Forschner Mitre,Aleksandrs Juška,Paul Schirop,Jonas Bottler
Group Stage,Open Pro,Group E,1,Single game,Night Shift,Hokus Boom,Night Shift,15,11,,,,,Matteo Molli,Mattia Pareschi,Cedric Widin,Matias Bermejo Pasetti
Group Stage,Open Pro,Group E,1,Single game,BRRRAS,Rainbow Warriors,Rainbow Warriors,12,15,,,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,Josha Lauterbach,Fabian Claus
