Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Power Pool,1,Single game,Zwaffle everyone,Foottouch in the Birkenstock,Zwaffle everyone,1,1,,,,,Levi Vandaele,Robin Florinda,Lukas Donovan,Birk Warnecke
Group Stage,Open Pro,Power Pool,1,Single game,BackSpikers,Cutter Boyz,BackSpikers,2,0,,,,,Marius Snoeck,Louis Mareschal,Samuel Schmid,Nicolas Perriraz
Group Stage,Open Pro,Power Pool,1,Single game,Eisenträger/Siemer,Ricochet Robots,Eisenträger/Siemer,2,0,,,,,Eisenträger Lukas,Paul Siemer,Kasimir Nerad,Tim Bichler
Group Stage,Open Pro,Power Pool,1,Single game,Serial Chillers,RCB Albedo,RCB Albedo,0,2,,,,,Alessandro Zanellato,Jacopo Dudine,Nicolas Tognini,Yannick Robert
Group Stage,Open Pro,Power Pool,1,Single game,Krehle / Christiani,Scientific A PRO CH,Krehle / Christiani,2,0,,,,,Julian Krehle,Lucas Christiani,Teo Kukuljan,Jeroen Brus
Group Stage,Open Pro,Power Pool,1,Single game,Long Karaokeeee,Still tbd,Long Karaokeeee,2,0,,,,,Marcus Gauterin,Max Schartmann,Matteo Molli,Riley Savastano
Group Stage,Open Pro,Power Pool,1,Single game,RCG Powerline,Uri / Pascal,RCG Powerline,1,1,,,,,Benjamin Bachler,Nelson Dziruni,Oriol Gonzalez,Pascal Schlosser
Group Stage,Open Pro,Power Pool,1,Single game,Bazzani/Borsotti,RC Gugguseli Gucci Prada,Bazzani/Borsotti,1,1,,,,,Nicola Bazzani,Andrea Borsotti,Serafin Rieser,Rouven Felix
Group Stage,Open Pro,Power Pool,1,Single game,Roundnet Bourguignon,RBZ Tocco Italiano,RBZ Tocco Italiano,0,2,,,,,Aymeric Sandoz,Jérôme RENIMEL,Giacomo Merlin,Matteo Sacchini
Group Stage,Open Pro,Power Pool,1,Single game,Comme à Majorque,Full Send,Comme à Majorque,2,0,,,,,Pierre Lecrosnier,Ryan DANEKAS,Mathias Gangkofner,Johannes Mitterwald
Group Stage,Open Pro,Power Pool,1,Single game,nerds in disguise,Pocket Aces,nerds in disguise,1,1,,,,,Stefan Handschmann,David Jindra,Luc Bürki,Jonas Eigenmann
Group Stage,Open Pro,Power Pool,1,Single game,Rainbow Warriors,Willy StattAffe,Rainbow Warriors,1,1,,,,,Josha Lauterbach,Fabian Claus,Emil Grönebaum,Jonas klinger
Group Stage,Open Pro,Power Pool,1,Single game,Ngapeth/Sinner 🇨🇵🇮🇹,Declercq / Vandamme,Declercq / Vandamme,1,1,,,,,Auxence Clark,riccardo mercadini,Gauthier Vandamme,Bram Declercq
Group Stage,Open Pro,Power Pool,1,Single game,RCB Drü,Boe Jondi,RCB Drü,2,0,,,,,Ramon Felix,Merlin Baumeler,Jonas Hell,Bo Carstensen
Group Stage,Open Pro,Power Pool,1,Single game,Never Cold🌡️,RCB Presidenziale,Never Cold🌡️,2,0,,,,,Jan Stachiewicz,Jaroslav Čabala,Mattia Pareschi,Federico Grazi
Group Stage,Open Pro,Power Pool,1,Single game,Marcos/Erik,coach with a backpack,Marcos/Erik,2,0,,,,,Erik Borja Forschner Mitre,Marcos Campos,Carlo Engel,Clemens Von Hanisch
Group Stage,Open Pro,Power Pool,1,Single game,Smile,L'Eclair,Smile,2,0,,,,,Gabriel Stoisser,Felix Millton,joeri vlassaks,Frederik Theunis
Group Stage,Open Pro,Power Pool,2,Single game,Zwaffle everyone,Cutter Boyz,Zwaffle everyone,2,0,,,,,Levi Vandaele,Robin Florinda,Samuel Schmid,Nicolas Perriraz
Group Stage,Open Pro,Power Pool,2,Single game,Beeks/Elbourne,Foottouch in the Birkenstock,Beeks/Elbourne,1,1,,,,,Mark Elbourne,Scott Beeks,Lukas Donovan,Birk Warnecke
Group Stage,Open Pro,Power Pool,2,Single game,Eisenträger/Siemer,RCB Albedo,Eisenträger/Siemer,2,0,,,,,Eisenträger Lukas,Paul Siemer,Nicolas Tognini,Yannick Robert
Group Stage,Open Pro,Power Pool,2,Single game,Czech this swede,Ricochet Robots,Czech this swede,2,0,,,,,Ondřej Čejka,Esaja Ekman,Kasimir Nerad,Tim Bichler
Group Stage,Open Pro,Power Pool,2,Single game,Krehle / Christiani,Still tbd,Krehle / Christiani,2,0,,,,,Julian Krehle,Lucas Christiani,Matteo Molli,Riley Savastano
Group Stage,Open Pro,Power Pool,2,Single game, Paindrops,Scientific A PRO CH, Paindrops,2,0,,,,,Yvo Heinen,Markus Anderle,Teo Kukuljan,Jeroen Brus
Group Stage,Open Pro,Power Pool,2,Single game,RCG Powerline,[SUI] Rimle/Peter,RCG Powerline,1,1,,,,,Benjamin Bachler,Nelson Dziruni,Roman Peter,Emanuel Rimle
Group Stage,Open Pro,Power Pool,2,Single game,Bazzani/Borsotti,RBZ Tocco Italiano,RBZ Tocco Italiano,1,1,,,,,Nicola Bazzani,Andrea Borsotti,Giacomo Merlin,Matteo Sacchini
Group Stage,Open Pro,Power Pool,2,Single game,Roundnet Bourguignon,RC Gugguseli Gucci Prada,Roundnet Bourguignon,1,1,,,,,Aymeric Sandoz,Jérôme RENIMEL,Serafin Rieser,Rouven Felix
Group Stage,Open Pro,Power Pool,2,Single game,Comme à Majorque,Pocket Aces,Comme à Majorque,2,0,,,,,Pierre Lecrosnier,Ryan DANEKAS,Luc Bürki,Jonas Eigenmann
Group Stage,Open Pro,Power Pool,2,Single game,nerds in disguise,Full Send,Full Send,1,1,,,,,Stefan Handschmann,David Jindra,Mathias Gangkofner,Johannes Mitterwald
Group Stage,Open Pro,Power Pool,2,Single game,Rainbow Warriors,Declercq / Vandamme,Rainbow Warriors,2,0,,,,,Josha Lauterbach,Fabian Claus,Gauthier Vandamme,Bram Declercq
Group Stage,Open Pro,Power Pool,2,Single game,Ngapeth/Sinner 🇨🇵🇮🇹,Willy StattAffe,Willy StattAffe,1,1,,,,,Auxence Clark,riccardo mercadini,Emil Grönebaum,Jonas klinger
Group Stage,Open Pro,Power Pool,2,Single game,RCB Drü,RCB Presidenziale,RCB Drü,1,1,,,,,Ramon Felix,Merlin Baumeler,Mattia Pareschi,Federico Grazi
Group Stage,Open Pro,Power Pool,2,Single game,Never Cold🌡️,Boe Jondi,Boe Jondi,1,1,,,,,Jan Stachiewicz,Jaroslav Čabala,Jonas Hell,Bo Carstensen
Group Stage,Open Pro,Power Pool,3,Single game,BackSpikers,Foottouch in the Birkenstock,Foottouch in the Birkenstock,1,1,,,,,Marius Snoeck,Louis Mareschal,Lukas Donovan,Birk Warnecke
Group Stage,Open Pro,Power Pool,3,Single game,Eisenträger/Siemer,Czech this swede,Czech this swede,1,1,,,,,Eisenträger Lukas,Paul Siemer,Ondřej Čejka,Esaja Ekman
Group Stage,Open Pro,Power Pool,3,Single game,Serial Chillers,Ricochet Robots,Serial Chillers,2,0,,,,,Alessandro Zanellato,Jacopo Dudine,Kasimir Nerad,Tim Bichler
Group Stage,Open Pro,Power Pool,3,Single game,Krehle / Christiani, Paindrops,Krehle / Christiani,2,0,,,,,Julian Krehle,Lucas Christiani,Yvo Heinen,Markus Anderle
Group Stage,Open Pro,Power Pool,3,Single game,Long Karaokeeee,Scientific A PRO CH,Long Karaokeeee,1,1,,,,,Marcus Gauterin,Max Schartmann,Teo Kukuljan,Jeroen Brus
Group Stage,Open Pro,Power Pool,3,Single game,[SUI] Rimle/Peter,Uri / Pascal,[SUI] Rimle/Peter,1,1,,,,,Roman Peter,Emanuel Rimle,Oriol Gonzalez,Pascal Schlosser
Group Stage,Open Pro,Power Pool,3,Single game,Bazzani/Borsotti,Roundnet Bourguignon,Bazzani/Borsotti,2,0,,,,,Nicola Bazzani,Andrea Borsotti,Aymeric Sandoz,Jérôme RENIMEL
Group Stage,Open Pro,Power Pool,3,Single game,RBZ Tocco Italiano,RC Gugguseli Gucci Prada,RBZ Tocco Italiano,2,0,,,,,Giacomo Merlin,Matteo Sacchini,Serafin Rieser,Rouven Felix
Group Stage,Open Pro,Power Pool,3,Single game,Comme à Majorque,nerds in disguise,Comme à Majorque,2,0,,,,,Pierre Lecrosnier,Ryan DANEKAS,Stefan Handschmann,David Jindra
Group Stage,Open Pro,Power Pool,3,Single game,Pocket Aces,Full Send,Full Send,0,2,,,,,Luc Bürki,Jonas Eigenmann,Mathias Gangkofner,Johannes Mitterwald
Group Stage,Open Pro,Power Pool,3,Single game,Rainbow Warriors,Ngapeth/Sinner 🇨🇵🇮🇹,Rainbow Warriors,1,1,,,,,Josha Lauterbach,Fabian Claus,Auxence Clark,riccardo mercadini
Group Stage,Open Pro,Power Pool,3,Single game,Declercq / Vandamme,Willy StattAffe,Willy StattAffe,0,2,,,,,Gauthier Vandamme,Bram Declercq,Emil Grönebaum,Jonas klinger
Group Stage,Open Pro,Power Pool,3,Single game,RCB Drü,Never Cold🌡️,RCB Drü,2,0,,,,,Ramon Felix,Merlin Baumeler,Jan Stachiewicz,Jaroslav Čabala
Group Stage,Open Pro,Power Pool,3,Single game,RCB Presidenziale,Boe Jondi,RCB Presidenziale,1,1,,,,,Mattia Pareschi,Federico Grazi,Jonas Hell,Bo Carstensen
