Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Power Pool A,1,Single game,Clarké au floor,Martha/Doan,Clarké au floor,2,0,,,,,Robin Florinda,Auxence Clark,Chau Doan,Jake Martha
Group Stage,Open Pro,Power Pool A,1,Single game,Pierre Feuille Victor,Klement / Schartmann,Pierre Feuille Victor,1,1,,,,,Victor Cambois,Pierre Lecrosnier,Tim Klement,Max Schartmann
Group Stage,Open Pro,Power Pool B,1,Single game,FOR SURE,Locksmiths,FOR SURE,2,0,,,,,Levi Vandaele,Nelson Dziruni,Julian Schmitz,Pascal Schlosser
Group Stage,Open Pro,Power Pool B,1,Single game,[SUI] Rimle/Peter,Serial Chillers,[SUI] Rimle/Peter,2,0,,,,,Roman Peter,Emanuel Rimle,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Pro,Power Pool C,1,Single game,ShakaTac,Sensei,ShakaTac,2,0,,,,,Ryan DANEKAS,Théo Vanh Hemelryck,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Power Pool C,1,Single game,Bazzani/Borsotti,RCB Presidenziale,Bazzani/Borsotti,2,0,,,,,Nicola Bazzani,Andrea Borsotti,Mattia Pareschi,Federico Grazi
Group Stage,Open Pro,Power Pool D,1,Single game,RCB Drü,Duracell Defense,RCB Drü,1,1,,,,,Ramon Felix,Merlin Baumeler,Mathias Linnet,Jeppe Norlyk Hansen
Group Stage,Open Pro,Power Pool D,1,Single game,Krehle / Christiani,Rainbow Warriors,Rainbow Warriors,0,2,,,,,Julian Krehle,Lucas Christiani,Josha Lauterbach,Fabian Claus
Group Stage,Open Pro,Power Pool E,1,Single game,Triple X,Smooth Operators,Triple X,2,0,,,,,Paul Siemer,Laura Kunzelmann,Trevor Cook,David Rowlands
Group Stage,Open Pro,Power Pool E,1,Single game,Marcos/Erik,Millton/Bermejo,Marcos/Erik,2,0,,,,,Marcos Campos,Erik Borja Forschner Mitre,Matias Bermejo Pasetti,Felix Millton
Group Stage,Open Pro,Power Pool F,1,Single game,Never Cold🌡️,2 sehr affine Engel,Never Cold🌡️,2,0,,,,,Jan Stachiewicz,Jaroslav Čabala,Carlo Engel,Serafin Rieser
Group Stage,Open Pro,Power Pool F,1,Single game,Blue Horse,Tbd.,Blue Horse,1,1,,,,,Yosha Vandaele,Dorian Améziane,Giacomo Merlin,Gauthier Vandamme
Group Stage,Open Pro,Power Pool G,1,Single game,Semi-Bros,Lafond / Hullot,Semi-Bros,1,1,,,,,Benjamin Bachler,Markus Anderle,Tom Hullot,Etienne Lafond
Group Stage,Open Pro,Power Pool G,1,Single game,nerds in disguise,Double O steal your hoe,Double O steal your hoe,0,2,,,,,David Jindra,Stefan Handschmann,Ondra Kasan,Ondřej Čejka
Group Stage,Open Pro,Power Pool H,1,Single game,Hors Service,Fake elites,Hors Service,2,0,,,,,Samy Caux-Ramon,Hugo Lacombe,Marius Snoeck,Louis Mareschal
Group Stage,Open Pro,Power Pool H,1,Single game,Synchronized,Johnny Sins Interns,Synchronized,2,0,,,,,Gabriel Stoisser,Jé Gagnon,Sebi Mezzey,Aleksandrs Juška
Group Stage,Open Pro,Power Pool A,2,Single game,Clarké au floor,Klement / Schartmann,Clarké au floor,2,0,,,,,Robin Florinda,Auxence Clark,Tim Klement,Max Schartmann
Group Stage,Open Pro,Power Pool A,2,Single game,Roundnet Bourguignon,Martha/Doan,Roundnet Bourguignon,2,0,,,,,Jérôme RENIMEL,Aymeric Sandoz,Chau Doan,Jake Martha
Group Stage,Open Pro,Power Pool B,2,Single game,FOR SURE,Serial Chillers,FOR SURE,2,0,,,,,Levi Vandaele,Nelson Dziruni,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Pro,Power Pool B,2,Single game,Mercadini/Sacchini,Locksmiths,Locksmiths,1,1,,,,,Matteo Sacchini,riccardo mercadini,Julian Schmitz,Pascal Schlosser
Group Stage,Open Pro,Power Pool C,2,Single game,ShakaTac,RCB Presidenziale,ShakaTac,2,0,,,,,Ryan DANEKAS,Théo Vanh Hemelryck,Mattia Pareschi,Federico Grazi
Group Stage,Open Pro,Power Pool C,2,Single game,Oiii ich ha kei ahnig,Sensei,Oiii ich ha kei ahnig,2,0,,,,,Jonas Eigenmann,Cedric Widin,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Power Pool D,2,Single game,RCB Drü,Rainbow Warriors,Rainbow Warriors,0,2,,,,,Ramon Felix,Merlin Baumeler,Josha Lauterbach,Fabian Claus
Group Stage,Open Pro,Power Pool D,2,Single game,Krehle / Christiani,Duracell Defense,Krehle / Christiani,2,0,,,,,Julian Krehle,Lucas Christiani,Mathias Linnet,Jeppe Norlyk Hansen
Group Stage,Open Pro,Power Pool E,2,Single game,Triple X,Millton/Bermejo,Triple X,1,1,,,,,Paul Siemer,Laura Kunzelmann,Matias Bermejo Pasetti,Felix Millton
Group Stage,Open Pro,Power Pool E,2,Single game,Marcos/Erik,Smooth Operators,Marcos/Erik,2,0,,,,,Marcos Campos,Erik Borja Forschner Mitre,Trevor Cook,David Rowlands
Group Stage,Open Pro,Power Pool F,2,Single game,Never Cold🌡️,Tbd.,Never Cold🌡️,2,0,,,,,Jan Stachiewicz,Jaroslav Čabala,Giacomo Merlin,Gauthier Vandamme
Group Stage,Open Pro,Power Pool F,2,Single game,Blue Horse,2 sehr affine Engel,Blue Horse,1,1,,,,,Yosha Vandaele,Dorian Améziane,Carlo Engel,Serafin Rieser
Group Stage,Open Pro,Power Pool G,2,Single game,Semi-Bros,Double O steal your hoe,Semi-Bros,1,1,,,,,Benjamin Bachler,Markus Anderle,Ondra Kasan,Ondřej Čejka
Group Stage,Open Pro,Power Pool G,2,Single game,nerds in disguise,Lafond / Hullot,Lafond / Hullot,1,1,,,,,David Jindra,Stefan Handschmann,Tom Hullot,Etienne Lafond
Group Stage,Open Pro,Power Pool H,2,Single game,Hors Service,Johnny Sins Interns,Hors Service,2,0,,,,,Samy Caux-Ramon,Hugo Lacombe,Sebi Mezzey,Aleksandrs Juška
Group Stage,Open Pro,Power Pool H,2,Single game,Synchronized,Fake elites,Synchronized,2,0,,,,,Gabriel Stoisser,Jé Gagnon,Marius Snoeck,Louis Mareschal
Group Stage,Open Pro,Power Pool A,3,Single game,Clarké au floor,Roundnet Bourguignon,Roundnet Bourguignon,1,1,,,,,Robin Florinda,Auxence Clark,Jérôme RENIMEL,Aymeric Sandoz
Group Stage,Open Pro,Power Pool A,3,Single game,Pierre Feuille Victor,Martha/Doan,Pierre Feuille Victor,2,0,,,,,Victor Cambois,Pierre Lecrosnier,Chau Doan,Jake Martha
