Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Pro German,Group A (Turf - 1 & 2),1,Single game,Hustling Brothers,Noisy Frogs,Hustling Brothers,15,8,,,,,Yosha Vandaele,Levi Vandaele,Tom Hullot,Marius Snoeck
Group Stage,Pro German,Group A (Turf - 1 & 2),1,Single game,Never Cold🌡️,Good ol' Bench,Never Cold🌡️,15,9,,,,,Jan Stachiewicz,Jaroslav Čabala,Louis JOUVE,Wout Geeraerts
Group Stage,Pro German,Group B (Turf - 3 & 4),1,Single game,Here Aghent,Felix and Lou,Here Aghent,15,8,,,,,Markus Anderle,Robin Florinda,Felix Millton,Lou Washburn
Group Stage,Pro German,Group B (Turf - 3 & 4),1,Single game,Belgian Fries,Dikken Blok,Dikken Blok,7,15,,,,,Gauthier Vandamme,joeri vlassaks,Jonas Jacquemijns,Gilles Mahy
Group Stage,Pro German,Group A (Turf - 1 & 2),2,Single game,Hustling Brothers,Good ol' Bench,Hustling Brothers,15,10,,,,,Yosha Vandaele,Levi Vandaele,Louis JOUVE,Wout Geeraerts
Group Stage,Pro German,Group A (Turf - 1 & 2),2,Single game,Never Cold🌡️,Noisy Frogs,Noisy Frogs,11,15,,,,,Jan Stachiewicz,Jaroslav Čabala,Tom Hullot,Marius Snoeck
Group Stage,Pro German,Group B (Turf - 3 & 4),2,Single game,Here Aghent,Dikken Blok,Dikken Blok,16,18,,,,,Markus Anderle,Robin Florinda,Jonas Jacquemijns,Gilles Mahy
Group Stage,Pro German,Group B (Turf - 3 & 4),2,Single game,Belgian Fries,Felix and Lou,Belgian Fries,15,13,,,,,Gauthier Vandamme,joeri vlassaks,Felix Millton,Lou Washburn
Group Stage,Pro German,Group A (Turf - 1 & 2),3,Single game,Hustling Brothers,Never Cold🌡️,Hustling Brothers,15,10,,,,,Yosha Vandaele,Levi Vandaele,Jan Stachiewicz,Jaroslav Čabala
Group Stage,Pro German,Group A (Turf - 1 & 2),3,Single game,Good ol' Bench,Noisy Frogs,Good ol' Bench,15,12,,,,,Louis JOUVE,Wout Geeraerts,Tom Hullot,Marius Snoeck
Group Stage,Pro German,Group B (Turf - 3 & 4),3,Single game,Here Aghent,Belgian Fries,Here Aghent,15,10,,,,,Markus Anderle,Robin Florinda,Gauthier Vandamme,joeri vlassaks
Group Stage,Pro German,Group B (Turf - 3 & 4),3,Single game,Dikken Blok,Felix and Lou,Dikken Blok,15,11,,,,,Jonas Jacquemijns,Gilles Mahy,Felix Millton,Lou Washburn
Group Stage,Pro German,Group A (Turf - 1 & 2),4,Single game,Hustling Brothers,Noisy Frogs,Hustling Brothers,15,11,,,,,Yosha Vandaele,Levi Vandaele,Tom Hullot,Marius Snoeck
Group Stage,Pro German,Group A (Turf - 1 & 2),4,Single game,Never Cold🌡️,Good ol' Bench,Never Cold🌡️,15,13,,,,,Jan Stachiewicz,Jaroslav Čabala,Louis JOUVE,Wout Geeraerts
Group Stage,Pro German,Group B (Turf - 3 & 4),4,Single game,Here Aghent,Felix and Lou,Here Aghent,15,11,,,,,Markus Anderle,Robin Florinda,Felix Millton,Lou Washburn
Group Stage,Pro German,Group B (Turf - 3 & 4),4,Single game,Belgian Fries,Dikken Blok,Belgian Fries,22,20,,,,,Gauthier Vandamme,joeri vlassaks,Jonas Jacquemijns,Gilles Mahy
Group Stage,Pro German,Group A (Turf - 1 & 2),5,Single game,Hustling Brothers,Good ol' Bench,Hustling Brothers,15,7,,,,,Yosha Vandaele,Levi Vandaele,Louis JOUVE,Wout Geeraerts
Group Stage,Pro German,Group A (Turf - 1 & 2),5,Single game,Never Cold🌡️,Noisy Frogs,Never Cold🌡️,15,8,,,,,Jan Stachiewicz,Jaroslav Čabala,Tom Hullot,Marius Snoeck
Group Stage,Pro German,Group B (Turf - 3 & 4),5,Single game,Here Aghent,Dikken Blok,Here Aghent,15,13,,,,,Markus Anderle,Robin Florinda,Jonas Jacquemijns,Gilles Mahy
Group Stage,Pro German,Group B (Turf - 3 & 4),5,Single game,Belgian Fries,Felix and Lou,Belgian Fries,15,12,,,,,Gauthier Vandamme,joeri vlassaks,Felix Millton,Lou Washburn
Group Stage,Pro German,Group A (Turf - 1 & 2),6,Single game,Hustling Brothers,Never Cold🌡️,Hustling Brothers,15,8,,,,,Yosha Vandaele,Levi Vandaele,Jan Stachiewicz,Jaroslav Čabala
Group Stage,Pro German,Group A (Turf - 1 & 2),6,Single game,Good ol' Bench,Noisy Frogs,Good ol' Bench,15,12,,,,,Louis JOUVE,Wout Geeraerts,Tom Hullot,Marius Snoeck
Group Stage,Pro German,Group B (Turf - 3 & 4),6,Single game,Here Aghent,Belgian Fries,Belgian Fries,14,16,,,,,Markus Anderle,Robin Florinda,Gauthier Vandamme,joeri vlassaks
Group Stage,Pro German,Group B (Turf - 3 & 4),6,Single game,Dikken Blok,Felix and Lou,Dikken Blok,16,14,,,,,Jonas Jacquemijns,Gilles Mahy,Felix Millton,Lou Washburn
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,Hustling Brothers,Felix and Lou,Hustling Brothers,21,12,21,14,,,Yosha Vandaele,Levi Vandaele,Felix Millton,Lou Washburn
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,Here Aghent,Noisy Frogs,Here Aghent,21,19,21,15,,,Markus Anderle,Robin Florinda,Tom Hullot,Marius Snoeck
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,Dikken Blok,Good ol' Bench,Dikken Blok,21,17,21,19,,,Jonas Jacquemijns,Gilles Mahy,Louis JOUVE,Wout Geeraerts
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,Belgian Fries,Never Cold🌡️,Never Cold🌡️,21,23,21,15,13,21,Gauthier Vandamme,joeri vlassaks,Jan Stachiewicz,Jaroslav Čabala
Bracket Stage,Pro German,Bracket A,Semi-final,Best of 3,Hustling Brothers,Never Cold🌡️,Hustling Brothers,21,10,21,17,,,Yosha Vandaele,Levi Vandaele,Jan Stachiewicz,Jaroslav Čabala
Bracket Stage,Pro German,Bracket A,Semi-final,Best of 3,Here Aghent,Dikken Blok,Dikken Blok,16,21,18,21,,,Markus Anderle,Robin Florinda,Jonas Jacquemijns,Gilles Mahy
Bracket Stage,Pro German,Bracket A,P5: Semi-final,Best of 3,Belgian Fries,Felix and Lou,Felix and Lou,21,16,18,21,17,21,Gauthier Vandamme,joeri vlassaks,Felix Millton,Lou Washburn
Bracket Stage,Pro German,Bracket A,P5: Semi-final,Best of 3,Good ol' Bench,Noisy Frogs,Noisy Frogs,0,1,0,1,,,Louis JOUVE,Wout Geeraerts,Tom Hullot,Marius Snoeck
Bracket Stage,Pro German,Bracket A,Final,Best of 3,Hustling Brothers,Dikken Blok,Hustling Brothers,21,16,23,21,,,Yosha Vandaele,Levi Vandaele,Jonas Jacquemijns,Gilles Mahy
Bracket Stage,Pro German,Bracket A,P3: Final,Best of 3,Here Aghent,Never Cold🌡️,Here Aghent,21,18,21,18,,,Markus Anderle,Robin Florinda,Jan Stachiewicz,Jaroslav Čabala
Bracket Stage,Pro German,Bracket A,P5: Final,Best of 3,Felix and Lou,Noisy Frogs,Noisy Frogs,0,1,0,1,,,Felix Millton,Lou Washburn,Tom Hullot,Marius Snoeck
Bracket Stage,Pro German,Bracket A,P7: Final,Best of 3,Good ol' Bench,Belgian Fries,Belgian Fries,0,1,0,1,,,Louis JOUVE,Wout Geeraerts,Gauthier Vandamme,joeri vlassaks
Group Stage,Open Contender,Group A (Turf - 11 & 12),1,Single game,Da KaNToNie,We are content,Da KaNToNie,15,12,,,,,Lei Decappelle,Pieter De Pauw,Corentin Bureau,Jorge Donayre
Group Stage,Open Contender,Group A (Turf - 11 & 12),1,Single game,outdoor olives,Wow!,outdoor olives,15,11,,,,,Aleksandrs Juška,Jarec Schouten,Amrit Hingorani,Jamie Carmichael
Group Stage,Open Contender,Group B (Turf - 13 & 14),1,Single game,Allez Hopp,Van Poucket,Van Poucket,9,15,,,,,Kaspar Kreutzer,Andreas Lynen,Tobias Langer,Ajay Van Poucke
Group Stage,Open Contender,Group B (Turf - 13 & 14),1,Single game,Jurassic Marek,Wild Beavers,Wild Beavers,14,15,,,,,Mathias Van der Linden,Frederik Severeyns,Kristof Beersmans,Rinus Dehertefelt
Group Stage,Open Contender,Group C (Turf - 15 & 16),1,Single game,Los Abuelos,Bee Feat. Monkey,Bee Feat. Monkey,8,15,,,,,Jurre Baguet,Diëgo Lamonte,Ephraim Kotzerke,Baptiste Maison
Group Stage,Open Contender,Group C (Turf - 15 & 16),1,Single game,Golden Rush,RC Floxy,Golden Rush,15,3,,,,,Théo Vanh Hemelryck,Louis Mareschal,florent saussol,Alexy Leroux
Group Stage,Open Contender,Group (Turf - 17 & 18),1,Single game,Jakob zonder Frees,Machi Ice Tea,Jakob zonder Frees,15,11,,,,,Fre Eskens,Jakob van Vlierberghe,Patrick de Lange,Stan van Manen
Group Stage,Open Contender,Group (Turf - 17 & 18),1,Single game,WoGi WoGi,99Dubbel0,WoGi WoGi,15,7,,,,,Wout Declercq,Gilles Hublet,Thomas Savat,Bram Verschoote
Group Stage,Open Contender,Group E (Turf - 19 & 20),1,Single game,Turbo Tuur & Flaming Flo,The Blocksmiths Ultras,Turbo Tuur & Flaming Flo,15,14,,,,,Florian Poel,Tuur Demaegdt,Simon Wimmer,Joshua Dülz
Group Stage,Open Contender,Group E (Turf - 19 & 20),1,Single game,For Andreas,No easy passes,For Andreas,15,14,,,,,Mathias Linnet,Gerrit Lang,Tim van Herreweghe,Philipp Fronik
Group Stage,Open Contender,Group F (Turf - 21 & 22),1,Single game,Avalanche,Mejor sin Javi,Avalanche,15,7,,,,,Karl Wolf,Julius Hansen,Matthias Hainz,Esteban Cuesta
Group Stage,Open Contender,Group F (Turf - 21 & 22),1,Single game,Jefrie,Ploegnaam,Ploegnaam,14,15,,,,,Fred Libert,Jeroen Laporte,Stijn Van den Branden,Maëlig Potiau
Group Stage,Open Contender,Group A (Turf - 11 & 12),2,Single game,Da KaNToNie,Wow!,Da KaNToNie,15,11,,,,,Lei Decappelle,Pieter De Pauw,Amrit Hingorani,Jamie Carmichael
