Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Power Pool A,1,Single game,Zwaffle everyone,Bang Chilling,Zwaffle everyone,2,0,,,,,Levi Vandaele,Robin Florinda,Bo Carstensen,Marcus Gauterin
Group Stage,Open Pro,Power Pool A,1,Single game,Aloha leek,Danish Dynamite,Aloha leek,1,1,,,,,Cedric Widin,Carlo Engel,Aske Hammar,Hjalte Knudsen
Group Stage,Open Pro,Power Pool B,1,Single game,Combat Boys,JuPikaï,Combat Boys,2,0,,,,,Nelson Dziruni,Markus Anderle,Julien Blanchard,Pierre BUTTET
Group Stage,Open Pro,Power Pool B,1,Single game,Pierre Feuille Victor,SBK Kaunas Sensei,Pierre Feuille Victor,2,0,,,,,Pierre Lecrosnier,Victor Cambois,Mindaugas Butkus,Ugnius Lekecinskas
Group Stage,Open Pro,Power Pool C,1,Single game,Eisenträger/Siemer,Ball Busters,Eisenträger/Siemer,2,0,,,,,Eisenträger Lukas,Paul Siemer,Tim Klement,Sören Baumann
Group Stage,Open Pro,Power Pool C,1,Single game,Wallonia,Lafond / Hullot,Lafond / Hullot,1,1,,,,,Jakub Víšek,Ondřej Čejka,Etienne Lafond,Tom Hullot
Group Stage,Open Pro,Power Pool D,1,Single game,Cabala/Krehle,TWO SWEDES,Cabala/Krehle,2,0,,,,,Julian Krehle,Jaroslav Čabala,Esaja Ekman,Simon Stenquist
Group Stage,Open Pro,Power Pool D,1,Single game,Gioconda Lovers,BackSpikers,Gioconda Lovers,1,1,,,,,riccardo mercadini,Jérôme RENIMEL,Marius Snoeck,Louis Mareschal
Group Stage,Open Pro,Power Pool E,1,Single game,RDO Flix und Fertig,Fre/Jaime,RDO Flix und Fertig,2,0,,,,,Lucas Christiani,Max Schartmann,Jamie Douglas,Fre Eskens
Group Stage,Open Pro,Power Pool E,1,Single game,Serial Chillers,Le Spiko de Familia,Le Spiko de Familia,1,1,,,,,Alessandro Zanellato,Jacopo Dudine,Kasper Søvndal,Andreas Christensen
Group Stage,Open Pro,Power Pool F,1,Single game,Hors Service,L'Eclair,Hors Service,1,1,,,,,Hugo Lacombe,Samy Caux-Ramon,Frederik Theunis,joeri vlassaks
Group Stage,Open Pro,Power Pool F,1,Single game,nerds in disguise,Smooth Operators,Smooth Operators,1,1,,,,,David Jindra,Stefan Handschmann,David Rowlands,Trevor Cook
Group Stage,Open Pro,Power Pool G,1,Single game,Marcos/Erik,RCB Presidenziale,Marcos/Erik,1,1,,,,,Marcos Campos,Erik Borja Forschner Mitre,Mattia Pareschi,Federico Grazi
Group Stage,Open Pro,Power Pool G,1,Single game,We're faking the hobbits to Isengard,PJ Trash,We're faking the hobbits to Isengard,1,1,,,,,Matias Bermejo Pasetti,Yosha Vandaele,Philipp König,Jonathan Harder
Group Stage,Open Pro,Power Pool H,1,Single game,A TAC is a touch,Duracell Defense,A TAC is a touch,2,0,,,,,Jonas Bottler,Ryan DANEKAS,Julian Schmitz,Mathias Linnet
Group Stage,Open Pro,Power Pool H,1,Single game,Smile,Declercq / Vandamme,Smile,1,1,,,,,Felix Millton,Gabriel Stoisser,Bram Declercq,Gauthier Vandamme
Group Stage,Open Pro,Power Pool I,1,Single game,Bachler/Beeks,Power Pots,Bachler/Beeks,2,0,,,,,Scott Beeks,Benjamin Bachler,Marcos Bermudez Muratel,Gabriel Luna Soriano
Group Stage,Open Pro,Power Pool I,1,Single game,Bazzani/Borsotti,Goggles,Bazzani/Borsotti,2,0,,,,,Nicola Bazzani,Andrea Borsotti,Halvard Hanisch,Connor Prelich
Group Stage,Open Pro,Power Pool A,2,Single game,Zwaffle everyone,Danish Dynamite,Zwaffle everyone,2,0,,,,,Levi Vandaele,Robin Florinda,Aske Hammar,Hjalte Knudsen
Group Stage,Open Pro,Power Pool A,2,Single game,Roundnet Middelfart,Bang Chilling,Bang Chilling,1,1,,,,,Aymeric Sandoz,Olivier Hui Bon Hoa,Bo Carstensen,Marcus Gauterin
Group Stage,Open Pro,Power Pool B,2,Single game,Combat Boys,SBK Kaunas Sensei,Combat Boys,1,1,,,,,Nelson Dziruni,Markus Anderle,Mindaugas Butkus,Ugnius Lekecinskas
