Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,FOR SURE,Roundnet +33602320326,FOR SURE,21,13,,,,,Nelson Dziruni,Levi Vandaele,Yanis Bouchemoua,karim lahoud
Group Stage,Open Pro,Group A,1,Single game,Danekas/Hanisch,URI/MARCOS,URI/MARCOS,20,21,,,,,Halvard Hanisch,Ryan DANEKAS,Marcos Bermudez Muratel,Oriol Gonzalez
Group Stage,Open Pro,Group A,1,Single game,Let's gros !,nat,Let's gros !,21,16,,,,,Auxence Clark,Samy Caux-Ramon,Frederik Theunis,Aleksandrs Juška
Group Stage,Open Pro,Group B,1,Single game,Tschüü üüs,Nothing Happened,Tschüü üüs,21,15,,,,,Matias Bermejo Pasetti,Robin Florinda,Lucas Cornut,Paul Halphen
Group Stage,Open Pro,Group B,1,Single game,NEM - Bazzani/Borsotti,Ricochet Robots,Ricochet Robots,19,21,,,,,Andrea Borsotti,Nicola Bazzani,Kasimir Nerad,Tim Bichler
Group Stage,Open Pro,Group B,1,Single game,Mercadini/Sacchini,rimsalaröbi,Mercadini/Sacchini,21,20,,,,,Matteo Sacchini,riccardo mercadini,Jonas Eigenmann,Yannick Robert
Group Stage,Open Pro,Group C,1,Single game,Misty Moonshot,BRRRAS,Misty Moonshot,21,14,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach
Group Stage,Open Pro,Group C,1,Single game,Pour sophie,Muchel,Pour sophie,21,15,,,,,Louis Mareschal,Dorian Améziane,Yves Tschan,Roman Peter
Group Stage,Open Pro,Group C,1,Single game,Marcos/Erik,AITO (ALLIANCE INTERCLUB TONGA-ORLÉANS),AITO (ALLIANCE INTERCLUB TONGA-ORLÉANS),19,21,,,,,Marcos Campos,Erik Borja Forschner Mitre,Aymeric Sandoz,Thibaud Brun
Group Stage,Open Pro,Group D,1,Single game,Triple X,Avalanche,Triple X,21,12,,,,,Laura Kunzelmann,Paul Siemer,Julius Hansen,Karl Wolf
Group Stage,Open Pro,Group D,1,Single game,Copy paste,Hopp Schmi(i)tz,Copy paste,21,15,,,,,Julian Krehle,Tim Klement,Nicolas Perriraz,Julian Schmitz
Group Stage,Open Pro,Group D,1,Single game,Night Shift,Smooth Operators,Night Shift,21,17,,,,,Mattia Pareschi,Matteo Molli,David Rowlands,Trevor Cook
Group Stage,Open Pro,Group E,1,Single game,Le Spiko de Familia,fade away flick,fade away flick,17,21,,,,,Kasper Søvndal,Andreas Christensen,Jonas Tarnutzer,Luca Tosatti
Group Stage,Open Pro,Group E,1,Single game,RDO Flix und Fertig,TaiPain,RDO Flix und Fertig,21,15,,,,,Max Schartmann,Lucas Christiani,Marco Navío Ruiz,Jerry Lee
Group Stage,Open Pro,Group E,1,Single game,Best Served Cold,sa,sa,19,21,,,,,Jaroslav Čabala,Markus Anderle,Teo Kukuljan,Jeroen Brus
Group Stage,Open Pro,Group A,2,Single game,FOR SURE,URI/MARCOS,FOR SURE,21,14,,,,,Nelson Dziruni,Levi Vandaele,Marcos Bermudez Muratel,Oriol Gonzalez
Group Stage,Open Pro,Group A,2,Single game,Danekas/Hanisch,Let's gros !,Let's gros !,15,21,,,,,Halvard Hanisch,Ryan DANEKAS,Auxence Clark,Samy Caux-Ramon
Group Stage,Open Pro,Group A,2,Single game,nat,Roundnet +33602320326,nat,21,18,,,,,Frederik Theunis,Aleksandrs Juška,Yanis Bouchemoua,karim lahoud
Group Stage,Open Pro,Group B,2,Single game,Tschüü üüs,Ricochet Robots,Ricochet Robots,18,21,,,,,Matias Bermejo Pasetti,Robin Florinda,Kasimir Nerad,Tim Bichler
Group Stage,Open Pro,Group B,2,Single game,NEM - Bazzani/Borsotti,Mercadini/Sacchini,NEM - Bazzani/Borsotti,21,16,,,,,Andrea Borsotti,Nicola Bazzani,Matteo Sacchini,riccardo mercadini
Group Stage,Open Pro,Group B,2,Single game,rimsalaröbi,Nothing Happened,Nothing Happened,18,21,,,,,Jonas Eigenmann,Yannick Robert,Lucas Cornut,Paul Halphen
Group Stage,Open Pro,Group C,2,Single game,Misty Moonshot,Muchel,Misty Moonshot,21,13,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,Yves Tschan,Roman Peter
Group Stage,Open Pro,Group C,2,Single game,Pour sophie,Marcos/Erik,Marcos/Erik,17,21,,,,,Louis Mareschal,Dorian Améziane,Marcos Campos,Erik Borja Forschner Mitre
Group Stage,Open Pro,Group C,2,Single game,AITO (ALLIANCE INTERCLUB TONGA-ORLÉANS),BRRRAS,AITO (ALLIANCE INTERCLUB TONGA-ORLÉANS),21,14,,,,,Aymeric Sandoz,Thibaud Brun,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach
Group Stage,Open Pro,Group D,2,Single game,Triple X,Hopp Schmi(i)tz,Triple X,24,22,,,,,Laura Kunzelmann,Paul Siemer,Nicolas Perriraz,Julian Schmitz
Group Stage,Open Pro,Group D,2,Single game,Copy paste,Night Shift,Night Shift,15,21,,,,,Julian Krehle,Tim Klement,Mattia Pareschi,Matteo Molli
Group Stage,Open Pro,Group D,2,Single game,Smooth Operators,Avalanche,Smooth Operators,21,18,,,,,David Rowlands,Trevor Cook,Julius Hansen,Karl Wolf
Group Stage,Open Pro,Group E,2,Single game,Le Spiko de Familia,TaiPain,TaiPain,18,21,,,,,Kasper Søvndal,Andreas Christensen,Marco Navío Ruiz,Jerry Lee
Group Stage,Open Pro,Group E,2,Single game,RDO Flix und Fertig,Best Served Cold,RDO Flix und Fertig,21,18,,,,,Max Schartmann,Lucas Christiani,Jaroslav Čabala,Markus Anderle
Group Stage,Open Pro,Group E,2,Single game,sa,fade away flick,sa,21,9,,,,,Teo Kukuljan,Jeroen Brus,Jonas Tarnutzer,Luca Tosatti
Group Stage,Open Pro,Group A,3,Single game,FOR SURE,nat,FOR SURE,21,16,,,,,Nelson Dziruni,Levi Vandaele,Frederik Theunis,Aleksandrs Juška
Group Stage,Open Pro,Group A,3,Single game,Danekas/Hanisch,Roundnet +33602320326,Danekas/Hanisch,21,17,,,,,Halvard Hanisch,Ryan DANEKAS,Yanis Bouchemoua,karim lahoud
Group Stage,Open Pro,Group A,3,Single game,Let's gros !,URI/MARCOS,URI/MARCOS,19,21,,,,,Auxence Clark,Samy Caux-Ramon,Marcos Bermudez Muratel,Oriol Gonzalez
Group Stage,Open Pro,Group B,3,Single game,Tschüü üüs,rimsalaröbi,Tschüü üüs,21,13,,,,,Matias Bermejo Pasetti,Robin Florinda,Jonas Eigenmann,Yannick Robert
Group Stage,Open Pro,Group B,3,Single game,NEM - Bazzani/Borsotti,Nothing Happened,NEM - Bazzani/Borsotti,21,13,,,,,Andrea Borsotti,Nicola Bazzani,Lucas Cornut,Paul Halphen
Group Stage,Open Pro,Group B,3,Single game,Mercadini/Sacchini,Ricochet Robots,Ricochet Robots,12,21,,,,,Matteo Sacchini,riccardo mercadini,Kasimir Nerad,Tim Bichler
