Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Pro German,Group 1,1,Single game,Cobra Spike,Small and Extra Small,Cobra Spike,15,7,,,,,Herman Henström,Samuel Mjönes,Charlie Wilson,Michael Pang
Group Stage,Pro German,Group 1,1,Single game,Los Kuikelos,AALBORG LIFEGUARDS,Los Kuikelos,15,4,,,,,Johannes Peltonen,Jussi Kelavuori,Atos Andersen,Phillip Lundquist
Group Stage,Pro German,Group 1,1,Single game,Off radar,Mallton & Biggman,Off radar,15,11,,,,,David Schultebraucks,Cedric Strehlow,Felix Millton,Edvin Baggman
Group Stage,Pro German,Group 2,1,Single game,Squid Smokers,THOHT | training hard or hardly training,THOHT | training hard or hardly training,7,15,,,,,Joseph Kerridge,Apurba Subedi,Janis Beikmanis,Aleksandrs Juška
Group Stage,Pro German,Group 2,1,Single game,Aussie & Pom,The Small Scare,The Small Scare,10,15,,,,,Barnaby Wheeler,Mark Elbourne,Jannik Riedler,Alexander Müller
Group Stage,Pro German,Group 2,1,Single game,Maskinmestrerne,Mau og Maagge,Maskinmestrerne,15,9,,,,,Benjamin Schultz Laursen,Jakob Skovgaard-Jensen,Lasse Maagaard,Markus Andersen
Group Stage,Pro German,Group 3,1,Single game,R-UNIT,Stort og Småt brændbart,Stort og Småt brændbart,11,15,,,,,Rihards Repels,Reinis Pavlovskis,Niklas Daugbjerg,Søren Høy
Group Stage,Pro German,Group 3,1,Single game,REflex,Super Saiya Rim,Super Saiya Rim,4,15,,,,,Andreas Korsholm Knudsen,Magnus Lyskjær,Mario Kurz,Sebastian Christophe
Group Stage,Pro German,Group 3,1,Single game,Adunk og Co.,RDO Flix und Fertig,RDO Flix und Fertig,4,15,,,,,Martin Jakobsen,Asbjørn Malmgaard,Lucas Christiani,Max Schartmann
Group Stage,Pro German,Group 4,1,Single game,Always Tricky,Lynskind,Always Tricky,15,6,,,,,Daniel Henriksen,Emil Nielsen,Markus Skindhøj,David Lyngbye
Group Stage,Pro German,Group 4,1,Single game,PJ Headwalter,Double Jonny,PJ Headwalter,15,5,,,,,Peer Kanis,Johannes Kopfmann,Jonas Kolbe,Ingvi Örnolfsson
Group Stage,Pro German,Group 5,1,Single game,Nordens Disciple,Denhamwa,Denhamwa,8,15,,,,,Anders Aaen Springborg,Jonas Lund Madsen,Adrian Gellissen,Lilli Stötzler
Group Stage,Pro German,Group 5,1,Single game,Green team,Le Spiko de Familia,Le Spiko de Familia,1,15,,,,,Valdemar Stausbøl-Grøn,Oliver Gamborg Isaksen,Kasper Søvndal,Andreas Christensen
Group Stage,Pro German,Group 5,1,Single game,The Trickers,Inès&Krissi,Inès&Krissi,8,15,,,,,Ruben Møberg,Daniel Henriksen Again,Inès Paysan,Kristina Dettmann
Group Stage,Pro German,Group 6,1,Single game,PCP,Squids On Tour,PCP,15,8,,,,,Jakob Blaaholm Nielsen,Felipe Bahamondes,Daniel Blackledge,James Jewitt
Group Stage,Pro German,Group 6,1,Single game,Varmen,Mighto's Crew,Mighto's Crew,9,15,,,,,Christian Mejlvang,Jeppe Kristensen,Marco Bortoloso,Paolo Fusco
Group Stage,Pro German,Group 6,1,Single game,To køer på isen,Team vindernoglegange,To køer på isen,15,3,,,,,Alec Gautier,Yanis Bouchemoua,Thor Petersen,Sebastian Searty
Group Stage,Pro German,Group 7,1,Single game,SpikeHype,Do the fwangdango,SpikeHype,15,7,,,,,Viktor Dupont,Christian Hurley,Charles Bryan Orodio,Hugo Callaway
Group Stage,Pro German,Group 7,1,Single game,TWO SWEDES,Deloitte Adventure Team,TWO SWEDES,15,8,,,,,Esaja Ekman,Simon Stenquist,Tadeusz Pętlak,Janek Dudzik
Group Stage,Pro German,Group 8,1,Single game,KRC Blaze,The Blocksmiths,The Blocksmiths,10,15,,,,,Andrew Kuehl,Jared Boyle,Aske Hammar,Jeppe Norlyk Hansen
Group Stage,Pro German,Group 8,1,Single game,Sol og palmer,Curly Kölsch,Curly Kölsch,3,15,,,,,Sebastian Laursen,Jakob Fris Hansen,Samuel Unterhansberg,Lukas Donovan
Group Stage,Pro German,Group 8,1,Single game,Boom Boom Sharks,BoomBoomOtters,Boom Boom Sharks,15,12,,,,,Haye Hoffmann,Lukas Meyer,Peter Sesler,Jonathan Wulf
Group Stage,Pro German,Group 9,1,Single game,IronBoys,RDO Generous Action,RDO Generous Action,10,15,,,,,Jonas Mathiesen,Thorbjørn Hørlück Stølen,Andreas Lynen,Gerrit Lang
Group Stage,Pro German,Group 9,1,Single game,Little Sharks,Pas Dégueu,Pas Dégueu,10,15,,,,,Umut Renkligül,Fessal SH,Louis Durand,Théo Vanh Hemelryck
Group Stage,Pro German,Group 9,1,Single game,KRC North,Bjørn & Fred,KRC North,15,10,,,,,Benjamin Aasen,Jørgen Steinsholt,Simon Poulsen,Frederik Staunstrup
Group Stage,Pro German,Group 10,1,Single game,Lethal Hämpton,Flick flick boom,Flick flick boom,14,16,,,,,Kosti Kyläinpää,Kari Kyläinpää,Alex Rokotas,Philip Roy
Group Stage,Pro German,Group 10,1,Single game,Burning Fatt,Magnus og Myggen,Burning Fatt,15,5,,,,,Lou Washburn,Nicole Fatt,Magnus Bredvig,Jonas Conradsen
Group Stage,Pro German,Group 10,1,Single game,Redekassen,Linnet Brothers,Linnet Brothers,7,15,,,,,Jakob Ravn,Jacob Lerche Nygaard,Andreas Linnet,Mathias Linnet
Group Stage,Pro German,Group 11,1,Single game,The Blocksmiths Ultras,Honduras an der Oder,The Blocksmiths Ultras,18,16,,,,,Joshua Dülz,Simon Wimmer,Maximilian Portee,Franco Munoz
Group Stage,Pro German,Group 11,1,Single game,Kick Flickers,JX,Kick Flickers,15,3,,,,,Sigurd Ellefsen,Malte Klinkby,Xavier van Gorp,James Greenlaw
Group Stage,Pro German,Group 11,1,Single game,AB Spikeball,PAINDROS,PAINDROS,1,15,,,,,Andreas Rabjerg Andersen,Benjamin Hansen,Markus Anderle,Yvo Heinen
Group Stage,Pro German,Group 12,1,Single game,Yes,Pierre Feuille Victor,Pierre Feuille Victor,5,15,,,,,Themi Tsiotas von Pfaler,Alberto Benito Pontes,Pierre Lecrosnier,Victor Cambois
Group Stage,Pro German,Group 12,1,Single game,VT,Spikeghetti,VT,15,10,,,,,Benoit Durand,Ryan DANEKAS,Jakob G. Damgaard,Hjalte Knudsen
Group Stage,Pro German,Group 12,1,Single game,Bamsefar & Slikkepinden,Ralle og magn,Ralle og magn,10,15,,,,,Jesper Bødewadt Møller,William Gamborg,Rasmus Lauridsen,Magnus Selmer
Group Stage,Pro German,Group 1,2,Single game,Cobra Spike,AALBORG LIFEGUARDS,Cobra Spike,15,2,,,,,Herman Henström,Samuel Mjönes,Atos Andersen,Phillip Lundquist
Group Stage,Pro German,Group 1,2,Single game,Los Kuikelos,Off radar,Los Kuikelos,15,11,,,,,Johannes Peltonen,Jussi Kelavuori,David Schultebraucks,Cedric Strehlow
Group Stage,Pro German,Group 1,2,Single game,Mallton & Biggman,Small and Extra Small,Mallton & Biggman,15,9,,,,,Felix Millton,Edvin Baggman,Charlie Wilson,Michael Pang
Group Stage,Pro German,Group 2,2,Single game,Squid Smokers,The Small Scare,The Small Scare,12,15,,,,,Joseph Kerridge,Apurba Subedi,Jannik Riedler,Alexander Müller
Group Stage,Pro German,Group 2,2,Single game,Aussie & Pom,Maskinmestrerne,Aussie & Pom,15,5,,,,,Barnaby Wheeler,Mark Elbourne,Benjamin Schultz Laursen,Jakob Skovgaard-Jensen
Group Stage,Pro German,Group 2,2,Single game,Mau og Maagge,THOHT | training hard or hardly training,THOHT | training hard or hardly training,4,15,,,,,Lasse Maagaard,Markus Andersen,Janis Beikmanis,Aleksandrs Juška
Group Stage,Pro German,Group 3,2,Single game,R-UNIT,Super Saiya Rim,Super Saiya Rim,12,15,,,,,Rihards Repels,Reinis Pavlovskis,Mario Kurz,Sebastian Christophe
Group Stage,Pro German,Group 3,2,Single game,REflex,Adunk og Co.,Adunk og Co.,12,15,,,,,Andreas Korsholm Knudsen,Magnus Lyskjær,Martin Jakobsen,Asbjørn Malmgaard
Group Stage,Pro German,Group 3,2,Single game,RDO Flix und Fertig,Stort og Småt brændbart,RDO Flix und Fertig,15,11,,,,,Lucas Christiani,Max Schartmann,Niklas Daugbjerg,Søren Høy
Group Stage,Pro German,Group 4,2,Single game,Always Tricky,Double Jonny,Always Tricky,15,13,,,,,Daniel Henriksen,Emil Nielsen,Jonas Kolbe,Ingvi Örnolfsson
Group Stage,Pro German,Group 4,2,Single game,MCTTT,Lynskind,MCTTT,15,7,,,,,Paul Halphen,Sebastien Lawrence,Markus Skindhøj,David Lyngbye
Group Stage,Pro German,Group 5,2,Single game,Nordens Disciple,Le Spiko de Familia,Le Spiko de Familia,9,15,,,,,Anders Aaen Springborg,Jonas Lund Madsen,Kasper Søvndal,Andreas Christensen
Group Stage,Pro German,Group 5,2,Single game,Green team,The Trickers,The Trickers,8,15,,,,,Valdemar Stausbøl-Grøn,Oliver Gamborg Isaksen,Ruben Møberg,Daniel Henriksen Again
Group Stage,Pro German,Group 5,2,Single game,Inès&Krissi,Denhamwa,Inès&Krissi,15,11,,,,,Inès Paysan,Kristina Dettmann,Adrian Gellissen,Lilli Stötzler
Group Stage,Pro German,Group 6,2,Single game,PCP,Mighto's Crew,PCP,15,7,,,,,Jakob Blaaholm Nielsen,Felipe Bahamondes,Marco Bortoloso,Paolo Fusco
Group Stage,Pro German,Group 6,2,Single game,Varmen,To køer på isen,To køer på isen,5,15,,,,,Christian Mejlvang,Jeppe Kristensen,Alec Gautier,Yanis Bouchemoua
Group Stage,Pro German,Group 6,2,Single game,Team vindernoglegange,Squids On Tour,Squids On Tour,6,15,,,,,Thor Petersen,Sebastian Searty,Daniel Blackledge,James Jewitt
Group Stage,Pro German,Group 7,2,Single game,SpikeHype,Deloitte Adventure Team,Deloitte Adventure Team,12,15,,,,,Viktor Dupont,Christian Hurley,Tadeusz Pętlak,Janek Dudzik
Group Stage,Pro German,Group 7,2,Single game,Bergstedt 94ers,Do the fwangdango,Do the fwangdango,12,15,,,,,Luca Sprick,Leon Hünecke,Charles Bryan Orodio,Hugo Callaway
Group Stage,Pro German,Group 8,2,Single game,KRC Blaze,Curly Kölsch,Curly Kölsch,13,15,,,,,Andrew Kuehl,Jared Boyle,Samuel Unterhansberg,Lukas Donovan
Group Stage,Pro German,Group 8,2,Single game,Sol og palmer,Boom Boom Sharks,Boom Boom Sharks,4,15,,,,,Sebastian Laursen,Jakob Fris Hansen,Haye Hoffmann,Lukas Meyer
Group Stage,Pro German,Group 8,2,Single game,BoomBoomOtters,The Blocksmiths,The Blocksmiths,9,15,,,,,Peter Sesler,Jonathan Wulf,Aske Hammar,Jeppe Norlyk Hansen
Group Stage,Pro German,Group 9,2,Single game,IronBoys,Pas Dégueu,Pas Dégueu,8,15,,,,,Jonas Mathiesen,Thorbjørn Hørlück Stølen,Louis Durand,Théo Vanh Hemelryck
Group Stage,Pro German,Group 9,2,Single game,Little Sharks,KRC North,KRC North,10,15,,,,,Umut Renkligül,Fessal SH,Benjamin Aasen,Jørgen Steinsholt
Group Stage,Pro German,Group 9,2,Single game,Bjørn & Fred,RDO Generous Action,RDO Generous Action,7,15,,,,,Simon Poulsen,Frederik Staunstrup,Andreas Lynen,Gerrit Lang
Group Stage,Pro German,Group 10,2,Single game,Lethal Hämpton,Magnus og Myggen,Lethal Hämpton,15,3,,,,,Kosti Kyläinpää,Kari Kyläinpää,Magnus Bredvig,Jonas Conradsen
Group Stage,Pro German,Group 10,2,Single game,Burning Fatt,Redekassen,Burning Fatt,15,4,,,,,Lou Washburn,Nicole Fatt,Jakob Ravn,Jacob Lerche Nygaard
Group Stage,Pro German,Group 10,2,Single game,Linnet Brothers,Flick flick boom,Linnet Brothers,15,11,,,,,Andreas Linnet,Mathias Linnet,Alex Rokotas,Philip Roy
Group Stage,Pro German,Group 11,2,Single game,The Blocksmiths Ultras,JX,The Blocksmiths Ultras,15,3,,,,,Joshua Dülz,Simon Wimmer,Xavier van Gorp,James Greenlaw
Group Stage,Pro German,Group 11,2,Single game,Kick Flickers,AB Spikeball,Kick Flickers,15,2,,,,,Sigurd Ellefsen,Malte Klinkby,Andreas Rabjerg Andersen,Benjamin Hansen
Group Stage,Pro German,Group 11,2,Single game,PAINDROS,Honduras an der Oder,PAINDROS,15,9,,,,,Markus Anderle,Yvo Heinen,Maximilian Portee,Franco Munoz
Group Stage,Pro German,Group 12,2,Single game,Yes,Spikeghetti,Spikeghetti,5,15,,,,,Themi Tsiotas von Pfaler,Alberto Benito Pontes,Jakob G. Damgaard,Hjalte Knudsen
Group Stage,Pro German,Group 12,2,Single game,VT,Bamsefar & Slikkepinden,VT,15,3,,,,,Benoit Durand,Ryan DANEKAS,Jesper Bødewadt Møller,William Gamborg
Group Stage,Pro German,Group 12,2,Single game,Ralle og magn,Pierre Feuille Victor,Pierre Feuille Victor,5,15,,,,,Rasmus Lauridsen,Magnus Selmer,Pierre Lecrosnier,Victor Cambois
Group Stage,Pro German,Group 1,3,Single game,Cobra Spike,Mallton & Biggman,Mallton & Biggman,12,15,,,,,Herman Henström,Samuel Mjönes,Felix Millton,Edvin Baggman
Group Stage,Pro German,Group 1,3,Single game,Los Kuikelos,Small and Extra Small,Small and Extra Small,10,15,,,,,Johannes Peltonen,Jussi Kelavuori,Charlie Wilson,Michael Pang
Group Stage,Pro German,Group 1,3,Single game,Off radar,AALBORG LIFEGUARDS,Off radar,15,4,,,,,David Schultebraucks,Cedric Strehlow,Atos Andersen,Phillip Lundquist
Group Stage,Pro German,Group 2,3,Single game,Squid Smokers,Mau og Maagge,Squid Smokers,15,12,,,,,Joseph Kerridge,Apurba Subedi,Lasse Maagaard,Markus Andersen
Group Stage,Pro German,Group 2,3,Single game,Aussie & Pom,THOHT | training hard or hardly training,THOHT | training hard or hardly training,13,15,,,,,Barnaby Wheeler,Mark Elbourne,Janis Beikmanis,Aleksandrs Juška
Group Stage,Pro German,Group 2,3,Single game,Maskinmestrerne,The Small Scare,The Small Scare,7,15,,,,,Benjamin Schultz Laursen,Jakob Skovgaard-Jensen,Jannik Riedler,Alexander Müller
Group Stage,Pro German,Group 3,3,Single game,R-UNIT,RDO Flix und Fertig,RDO Flix und Fertig,7,15,,,,,Rihards Repels,Reinis Pavlovskis,Lucas Christiani,Max Schartmann
Group Stage,Pro German,Group 3,3,Single game,REflex,Stort og Småt brændbart,Stort og Småt brændbart,6,15,,,,,Andreas Korsholm Knudsen,Magnus Lyskjær,Niklas Daugbjerg,Søren Høy
Group Stage,Pro German,Group 3,3,Single game,Adunk og Co.,Super Saiya Rim,Super Saiya Rim,9,15,,,,,Martin Jakobsen,Asbjørn Malmgaard,Mario Kurz,Sebastian Christophe
Group Stage,Pro German,Group 4,3,Single game,Always Tricky,MCTTT,MCTTT,13,15,,,,,Daniel Henriksen,Emil Nielsen,Paul Halphen,Sebastien Lawrence
Group Stage,Pro German,Group 4,3,Single game,PJ Headwalter,Lynskind,PJ Headwalter,15,5,,,,,Peer Kanis,Johannes Kopfmann,Markus Skindhøj,David Lyngbye
