Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,My idol and me (Mattia),🛑 DRC RoundNET Café,My idol and me (Mattia),15,7,,,,,Andrea Borsotti,Mattia Pareschi,Birsan Razvan,Tiorean Marius-Mihai
Group Stage,Open Pro,Group A,1,Single game,Touche assistée,BRRRAS,Touche assistée,15,12,,,,,Aymeric Sandoz,Paul Halphen,Mathias Felipe Rios Rohrbach,Lucas Alexandre Rohrbach
Group Stage,Open Pro,Group B,1,Single game,RR JD and his baby,WS Crystal Fighters,RR JD and his baby,15,10,,,,,Nicola Bazzani,Jacopo Dudine,Mateusz Kusztal,Jakub Kusztal
Group Stage,Open Pro,Group B,1,Single game,upseTAC,TV Time,upseTAC,15,13,,,,,Aleksandrs Juška,Ryan DANEKAS,Frederik Theunis,Gauthier Vandamme
Group Stage,Open Pro,Group C,1,Single game,SMIGHT,Wafflers,SMIGHT,15,6,,,,,Laura Kunzelmann,Nelson Dziruni,Jonty Park,Nicolas Truijens
Group Stage,Open Pro,Group C,1,Single game,Tosatti/Perriraz,Jamy Deluxe,Jamy Deluxe,16,17,,,,,Luca Tosatti,Nicolas Perriraz,Jonas Tarnutzer,Serafin Rieser
Group Stage,Open Pro,Group D,1,Single game,Ricochet Robots,Les truffades,Ricochet Robots,15,8,,,,,Kasimir Nerad,Tim Bichler,Romain Chaulet,Aurélien CHAULET
Group Stage,Open Pro,Group D,1,Single game,get scared,TBD,get scared,15,6,,,,,Yves Tschan,Matteo Molli,Jaroslav Čabala,wout thysens
Group Stage,Open Pro,Group E,1,Single game,Misty Moonshot,E/S but high on drugs,Misty Moonshot,15,8,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,Dario Shir Akbari,Sebastiano Guerra
Group Stage,Open Pro,Group E,1,Single game,Nem_Christiani/Harder,SCIENTIFIC,Nem_Christiani/Harder,15,6,,,,,Jonathan Harder,Lucas Christiani,Jeroen Brus,Teo Kukuljan
Group Stage,Open Pro,Group F,1,Single game,Willy Wonka,Touch is a Touch,Willy Wonka,15,13,,,,,Rasmus Prüfer,Emil Grönebaum,Jonas Bottler,Paul Schirop
Group Stage,Open Pro,Group F,1,Single game,Beeks/Rowlands,RCG Allrounder,Beeks/Rowlands,15,5,,,,,Scott Beeks,David Rowlands,Gabriel Stoisser,Tom Eynard
Group Stage,Open Pro,Group G,1,Single game,Vi e svenska fans allihopa,Double O steal your hoe,Vi e svenska fans allihopa,15,4,,,,,Levi Vandaele,Esaja Ekman,Ondřej Čejka,Ondra Kasan
Group Stage,Open Pro,Group G,1,Single game,nerds in disguise,Klement/Petersen,Klement/Petersen,7,15,,,,,Stefan Handschmann,David Jindra,Tim Klement,Jan Petersen
Group Stage,Open Pro,Group H,1,Single game,Stream entry,It's a'BANG time,Stream entry,15,10,,,,,Louis Mareschal,Markus Anderle,karim lahoud,Oussama Tchita
Group Stage,Open Pro,Group H,1,Single game,Dodo united,Soap swap,Dodo united,15,13,,,,,Fabian Claus,Robin Florinda,Marius Snoeck,Yanis Bouchemoua
Group Stage,Open Pro,Group A,2,Single game,My idol and me (Mattia),BRRRAS,My idol and me (Mattia),15,3,,,,,Andrea Borsotti,Mattia Pareschi,Mathias Felipe Rios Rohrbach,Lucas Alexandre Rohrbach
Group Stage,Open Pro,Group A,2,Single game,Touche assistée,🛑 DRC RoundNET Café,Touche assistée,15,5,,,,,Aymeric Sandoz,Paul Halphen,Birsan Razvan,Tiorean Marius-Mihai
