Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Power Pool,1,Best of 3,Never Cold🌡️,Ricochet Robots,Never Cold🌡️,19,17,15,13,,,Jan Stachiewicz,Jaroslav Čabala,Tim Bichler,Kasimir Nerad
Group Stage,Open Pro,Power Pool,1,Best of 3,nerds in disguise,Lattesundmasse,nerds in disguise,15,11,15,13,,,David Jindra,Stefan Handschmann,Mattes Böhm,Lasse Böhm
Group Stage,Open Pro,Power Pool,1,Best of 3,RCG Allrounder,Beeks/Elbourne,RCG Allrounder,15,11,15,11,,,Gabriel Stoisser,Tom Eynard,Mark Elbourne,Scott Beeks
Group Stage,Open Pro,Power Pool,2,Best of 3,Never Cold🌡️,Lattesundmasse,Lattesundmasse,12,15,15,11,16,18,Jan Stachiewicz,Jaroslav Čabala,Mattes Böhm,Lasse Böhm
Group Stage,Open Pro,Power Pool,2,Best of 3,nerds in disguise,RCG Allrounder,nerds in disguise,22,20,12,15,15,11,David Jindra,Stefan Handschmann,Gabriel Stoisser,Tom Eynard
Group Stage,Open Pro,Power Pool,2,Best of 3,Beeks/Elbourne,Ricochet Robots,Ricochet Robots,10,15,14,16,,,Mark Elbourne,Scott Beeks,Tim Bichler,Kasimir Nerad
Group Stage,Open Pro,Power Pool,3,Best of 3,Never Cold🌡️,Beeks/Elbourne,Never Cold🌡️,15,11,15,11,,,Jan Stachiewicz,Jaroslav Čabala,Mark Elbourne,Scott Beeks
Group Stage,Open Pro,Power Pool,3,Best of 3,nerds in disguise,Ricochet Robots,Ricochet Robots,5,15,13,15,,,David Jindra,Stefan Handschmann,Tim Bichler,Kasimir Nerad
Group Stage,Open Pro,Power Pool,3,Best of 3,RCG Allrounder,Lattesundmasse,Lattesundmasse,11,15,10,15,,,Gabriel Stoisser,Tom Eynard,Mattes Böhm,Lasse Böhm
Group Stage,Open Pro,Power Pool,4,Best of 3,Never Cold🌡️,RCG Allrounder,RCG Allrounder,23,25,15,9,9,15,Jan Stachiewicz,Jaroslav Čabala,Gabriel Stoisser,Tom Eynard
Group Stage,Open Pro,Power Pool,4,Best of 3,nerds in disguise,Beeks/Elbourne,Beeks/Elbourne,11,15,21,19,6,15,David Jindra,Stefan Handschmann,Mark Elbourne,Scott Beeks
Group Stage,Open Pro,Power Pool,4,Best of 3,Lattesundmasse,Ricochet Robots,Ricochet Robots,11,15,15,11,12,15,Mattes Böhm,Lasse Böhm,Tim Bichler,Kasimir Nerad
