Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,SHK Silky Mitts,SENSEI,SHK Silky Mitts,21,18,,,,,Jaroslav Čabala,Dominik Hataš,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group A,1,Single game,Underdogs,Cobra Spike,Cobra Spike,10,21,,,,,Faisal Sayyed,Sebi Mezzey,Samuel Mjönes,Herman Henström
Group Stage,Open Pro,Group B,1,Single game,CZEch mATe !?,Mallton & Biggman,CZEch mATe !?,22,20,,,,,Jakub Víšek,David Jindra,Edvin Baggman,Felix Millton
Group Stage,Open Pro,Group B,1,Single game,RCG Allrounder,HALO,RCG Allrounder,21,18,,,,,Tom Eynard,Gabriel Stoisser,Mikus Jaunpetrovičs,Aleksandrs Juška
Group Stage,Open Pro,Group A,2,Single game,SHK Silky Mitts,Cobra Spike,Cobra Spike,18,21,,,,,Jaroslav Čabala,Dominik Hataš,Samuel Mjönes,Herman Henström
Group Stage,Open Pro,Group A,2,Single game,Underdogs,SENSEI,SENSEI,18,21,,,,,Faisal Sayyed,Sebi Mezzey,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group B,2,Single game,CZEch mATe !?,HALO,HALO,19,21,,,,,Jakub Víšek,David Jindra,Mikus Jaunpetrovičs,Aleksandrs Juška
Group Stage,Open Pro,Group B,2,Single game,RCG Allrounder,Mallton & Biggman,RCG Allrounder,21,13,,,,,Tom Eynard,Gabriel Stoisser,Edvin Baggman,Felix Millton
Group Stage,Open Pro,Group A,3,Single game,SHK Silky Mitts,Underdogs,SHK Silky Mitts,21,16,,,,,Jaroslav Čabala,Dominik Hataš,Faisal Sayyed,Sebi Mezzey
Group Stage,Open Pro,Group A,3,Single game,Cobra Spike,SENSEI,Cobra Spike,21,17,,,,,Samuel Mjönes,Herman Henström,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group B,3,Single game,CZEch mATe !?,RCG Allrounder,RCG Allrounder,11,21,,,,,Jakub Víšek,David Jindra,Tom Eynard,Gabriel Stoisser
Group Stage,Open Pro,Group B,3,Single game,HALO,Mallton & Biggman,HALO,21,15,,,,,Mikus Jaunpetrovičs,Aleksandrs Juška,Edvin Baggman,Felix Millton
Group Stage,Open Pro,Group A,4,Single game,SHK Silky Mitts,SENSEI,SHK Silky Mitts,21,10,,,,,Jaroslav Čabala,Dominik Hataš,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group A,4,Single game,Underdogs,Cobra Spike,Cobra Spike,18,21,,,,,Faisal Sayyed,Sebi Mezzey,Samuel Mjönes,Herman Henström
Group Stage,Open Pro,Group B,4,Single game,CZEch mATe !?,Mallton & Biggman,CZEch mATe !?,21,17,,,,,Jakub Víšek,David Jindra,Edvin Baggman,Felix Millton
Group Stage,Open Pro,Group B,4,Single game,RCG Allrounder,HALO,RCG Allrounder,21,19,,,,,Tom Eynard,Gabriel Stoisser,Mikus Jaunpetrovičs,Aleksandrs Juška
Group Stage,Open Pro,Group A,5,Single game,SHK Silky Mitts,Cobra Spike,SHK Silky Mitts,21,16,,,,,Jaroslav Čabala,Dominik Hataš,Samuel Mjönes,Herman Henström
Group Stage,Open Pro,Group A,5,Single game,Underdogs,SENSEI,Underdogs,24,22,,,,,Faisal Sayyed,Sebi Mezzey,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group B,5,Single game,CZEch mATe !?,HALO,CZEch mATe !?,21,16,,,,,Jakub Víšek,David Jindra,Mikus Jaunpetrovičs,Aleksandrs Juška
Group Stage,Open Pro,Group B,5,Single game,RCG Allrounder,Mallton & Biggman,Mallton & Biggman,19,21,,,,,Tom Eynard,Gabriel Stoisser,Edvin Baggman,Felix Millton
Group Stage,Open Pro,Group A,6,Single game,SHK Silky Mitts,Underdogs,SHK Silky Mitts,21,16,,,,,Jaroslav Čabala,Dominik Hataš,Faisal Sayyed,Sebi Mezzey
Group Stage,Open Pro,Group A,6,Single game,Cobra Spike,SENSEI,Cobra Spike,21,14,,,,,Samuel Mjönes,Herman Henström,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group B,6,Single game,CZEch mATe !?,RCG Allrounder,RCG Allrounder,16,21,,,,,Jakub Víšek,David Jindra,Tom Eynard,Gabriel Stoisser
Group Stage,Open Pro,Group B,6,Single game,HALO,Mallton & Biggman,HALO,21,19,,,,,Mikus Jaunpetrovičs,Aleksandrs Juška,Edvin Baggman,Felix Millton
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,SHK Silky Mitts,Mallton & Biggman,SHK Silky Mitts,21,16,23,21,,,Jaroslav Čabala,Dominik Hataš,Edvin Baggman,Felix Millton
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,RCG Allrounder,Underdogs,RCG Allrounder,25,23,21,13,,,Tom Eynard,Gabriel Stoisser,Faisal Sayyed,Sebi Mezzey
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,Cobra Spike,CZEch mATe !?,CZEch mATe !?,19,21,20,22,,,Samuel Mjönes,Herman Henström,Jakub Víšek,David Jindra
Bracket Stage,Open Pro,Bracket A,Quarter-final,Best of 3,HALO,SENSEI,HALO,25,24,21,23,21,15,Mikus Jaunpetrovičs,Aleksandrs Juška,Ugnius Lekecinskas,Mindaugas Butkus
Bracket Stage,Open Pro,Bracket A,Semi-final,Best of 3,SHK Silky Mitts,HALO,HALO,19,21,21,11,19,21,Jaroslav Čabala,Dominik Hataš,Mikus Jaunpetrovičs,Aleksandrs Juška
Bracket Stage,Open Pro,Bracket A,Semi-final,Best of 3,RCG Allrounder,CZEch mATe !?,RCG Allrounder,18,21,21,18,27,25,Tom Eynard,Gabriel Stoisser,Jakub Víšek,David Jindra
Bracket Stage,Open Pro,Bracket A,P5: Semi-final,Best of 3,SENSEI,Mallton & Biggman,Mallton & Biggman,14,16,12,15,,,Ugnius Lekecinskas,Mindaugas Butkus,Edvin Baggman,Felix Millton
Bracket Stage,Open Pro,Bracket A,P5: Semi-final,Best of 3,Cobra Spike,Underdogs,Cobra Spike,21,17,21,17,,,Samuel Mjönes,Herman Henström,Faisal Sayyed,Sebi Mezzey
Bracket Stage,Open Pro,Bracket A,Final,Best of 3,HALO,RCG Allrounder,RCG Allrounder,16,21,16,21,,,Mikus Jaunpetrovičs,Aleksandrs Juška,Tom Eynard,Gabriel Stoisser
Bracket Stage,Open Pro,Bracket A,P3: Final,Best of 3,CZEch mATe !?,SHK Silky Mitts,CZEch mATe !?,19,21,21,18,21,18,Jakub Víšek,David Jindra,Jaroslav Čabala,Dominik Hataš
Bracket Stage,Open Pro,Bracket A,P5: Final,Best of 3,Mallton & Biggman,Cobra Spike,Cobra Spike,13,15,13,15,,,Edvin Baggman,Felix Millton,Samuel Mjönes,Herman Henström
Group Stage,Women's Contender,Group A,1,Single game,Schlagbaum,WS OJAKATA,Schlagbaum,21,1,,,,,Lauma Ernestsone,Anna Hillemann,Agata Kuta,Julia Zając
Group Stage,Women's Contender,Group A,1,Single game,Golden Spikers,Net Ninjas,Golden Spikers,21,10,,,,,Karoliina Kallion,Kristi Männamets,Helen Kossas,Elis-helen Starkopf
Group Stage,Women's Contender,Group B,1,Single game,Roundabout Rallies,WS Kąski,Roundabout Rallies,21,7,,,,,Rebecca Mollberg,Hanna Westerland,Julia Stawarek,Pola Wolff
Group Stage,Women's Contender,Group B,1,Single game,Brownie Busters,FAKE,Brownie Busters,21,5,,,,,Jessica Borgers,Tereza Caltová,Viktorija Bendikaitė,Dovilė Poškutė
Group Stage,Women's Contender,Group C,1,Single game,Block'n'roll,Vamos,Block'n'roll,21,10,,,,,Emmy Dahlquist,Linnea Hedman,Raminta Augustėnaitė,Laura Trečiokaitė
Group Stage,Women's Contender,Group C,1,Single game,Once per year,SESTA,Once per year,21,13,,,,,Clara Kiesselbach,Elina Auzane,Migle Serelyte,Kamilė Šerelytė
