Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Elite,Group A,1,Single game,Eisenträger/Siemer,Ricochet Robots,Eisenträger/Siemer,15,11,,,,,Eisenträger Lukas,Paul Siemer,Kasimir Nerad,Tim Bichler
Group Stage,Open Elite,Group A,1,Single game,Smile,Serial Chillers,Serial Chillers,13,15,,,,,Gabriel Stoisser,Felix Millton,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Elite,Group B,1,Single game,Zwaffle everyone,Scientific Approach,Zwaffle everyone,15,9,,,,,Robin Florinda,Levi Vandaele,Teo Kukuljan,Jeroen Brus
Group Stage,Open Elite,Group B,1,Single game,RCG Powerline,Never Cold🌡️,RCG Powerline,15,12,,,,,Nelson Dziruni,Benjamin Bachler,Jaroslav Čabala,Jan Stachiewicz
Group Stage,Open Elite,Group C,1,Single game,Krehle / Christiani,Mercadini/Sacchini,Krehle / Christiani,20,18,,,,,Julian Krehle,Lucas Christiani,Matteo Sacchini,riccardo mercadini
Group Stage,Open Elite,Group C,1,Single game,Le Spiko de Familia,Roundnet Middelfart,Le Spiko de Familia,15,13,,,,,Andreas Christensen,Kasper Søvndal,Aymeric Sandoz,Olivier Hui Bon Hoa
Group Stage,Open Elite,Group D,1,Single game,nerds in disguise,2 sehr affine Engel,nerds in disguise,15,9,,,,,Stefan Handschmann,David Jindra,Carlo Engel,Serafin Rieser
Group Stage,Open Elite,Group D,1,Single game,Bazzani/Borsotti,Full Send,Bazzani/Borsotti,15,11,,,,,Nicola Bazzani,Andrea Borsotti,Johannes Mitterwald,Mathias Gangkofner
Group Stage,Open Elite,Group A,2,Single game,Eisenträger/Siemer,Serial Chillers,Eisenträger/Siemer,20,18,,,,,Eisenträger Lukas,Paul Siemer,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Elite,Group A,2,Single game,Smile,Ricochet Robots,Ricochet Robots,14,16,,,,,Gabriel Stoisser,Felix Millton,Kasimir Nerad,Tim Bichler
Group Stage,Open Elite,Group B,2,Single game,Zwaffle everyone,Never Cold🌡️,Zwaffle everyone,15,5,,,,,Robin Florinda,Levi Vandaele,Jaroslav Čabala,Jan Stachiewicz
Group Stage,Open Elite,Group B,2,Single game,RCG Powerline,Scientific Approach,Scientific Approach,13,15,,,,,Nelson Dziruni,Benjamin Bachler,Teo Kukuljan,Jeroen Brus
Group Stage,Open Elite,Group C,2,Single game,Krehle / Christiani,Roundnet Middelfart,Krehle / Christiani,15,12,,,,,Julian Krehle,Lucas Christiani,Aymeric Sandoz,Olivier Hui Bon Hoa
Group Stage,Open Elite,Group C,2,Single game,Le Spiko de Familia,Mercadini/Sacchini,Le Spiko de Familia,21,19,,,,,Andreas Christensen,Kasper Søvndal,Matteo Sacchini,riccardo mercadini
Group Stage,Open Elite,Group D,2,Single game,nerds in disguise,Full Send,Full Send,12,15,,,,,Stefan Handschmann,David Jindra,Johannes Mitterwald,Mathias Gangkofner
Group Stage,Open Elite,Group D,2,Single game,Bazzani/Borsotti,2 sehr affine Engel,Bazzani/Borsotti,15,12,,,,,Nicola Bazzani,Andrea Borsotti,Carlo Engel,Serafin Rieser
Group Stage,Open Elite,Group A,3,Single game,Eisenträger/Siemer,Smile,Eisenträger/Siemer,15,8,,,,,Eisenträger Lukas,Paul Siemer,Gabriel Stoisser,Felix Millton
Group Stage,Open Elite,Group A,3,Single game,Serial Chillers,Ricochet Robots,Serial Chillers,15,10,,,,,Alessandro Zanellato,Jacopo Dudine,Kasimir Nerad,Tim Bichler
Group Stage,Open Elite,Group B,3,Single game,Zwaffle everyone,RCG Powerline,Zwaffle everyone,15,10,,,,,Robin Florinda,Levi Vandaele,Nelson Dziruni,Benjamin Bachler
Group Stage,Open Elite,Group B,3,Single game,Never Cold🌡️,Scientific Approach,Scientific Approach,13,15,,,,,Jaroslav Čabala,Jan Stachiewicz,Teo Kukuljan,Jeroen Brus
Group Stage,Open Elite,Group C,3,Single game,Krehle / Christiani,Le Spiko de Familia,Krehle / Christiani,15,8,,,,,Julian Krehle,Lucas Christiani,Andreas Christensen,Kasper Søvndal
Group Stage,Open Elite,Group C,3,Single game,Roundnet Middelfart,Mercadini/Sacchini,Mercadini/Sacchini,11,15,,,,,Aymeric Sandoz,Olivier Hui Bon Hoa,Matteo Sacchini,riccardo mercadini
Group Stage,Open Elite,Group D,3,Single game,nerds in disguise,Bazzani/Borsotti,Bazzani/Borsotti,12,15,,,,,Stefan Handschmann,David Jindra,Nicola Bazzani,Andrea Borsotti
Group Stage,Open Elite,Group D,3,Single game,Full Send,2 sehr affine Engel,2 sehr affine Engel,11,15,,,,,Johannes Mitterwald,Mathias Gangkofner,Carlo Engel,Serafin Rieser
Group Stage,Open Elite,Group A,4,Single game,Eisenträger/Siemer,Ricochet Robots,Eisenträger/Siemer,15,6,,,,,Eisenträger Lukas,Paul Siemer,Kasimir Nerad,Tim Bichler
Group Stage,Open Elite,Group A,4,Single game,Smile,Serial Chillers,Smile,15,12,,,,,Gabriel Stoisser,Felix Millton,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Elite,Group B,4,Single game,Zwaffle everyone,Scientific Approach,Zwaffle everyone,15,6,,,,,Robin Florinda,Levi Vandaele,Teo Kukuljan,Jeroen Brus
Group Stage,Open Elite,Group B,4,Single game,RCG Powerline,Never Cold🌡️,RCG Powerline,15,10,,,,,Nelson Dziruni,Benjamin Bachler,Jaroslav Čabala,Jan Stachiewicz
Group Stage,Open Elite,Group C,4,Single game,Krehle / Christiani,Mercadini/Sacchini,Krehle / Christiani,15,10,,,,,Julian Krehle,Lucas Christiani,Matteo Sacchini,riccardo mercadini
Group Stage,Open Elite,Group C,4,Single game,Le Spiko de Familia,Roundnet Middelfart,Roundnet Middelfart,16,18,,,,,Andreas Christensen,Kasper Søvndal,Aymeric Sandoz,Olivier Hui Bon Hoa
Group Stage,Open Elite,Group D,4,Single game,nerds in disguise,2 sehr affine Engel,nerds in disguise,16,14,,,,,Stefan Handschmann,David Jindra,Carlo Engel,Serafin Rieser
Group Stage,Open Elite,Group D,4,Single game,Bazzani/Borsotti,Full Send,Full Send,14,16,,,,,Nicola Bazzani,Andrea Borsotti,Johannes Mitterwald,Mathias Gangkofner
