Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Contender,Group A,1,Single game,tbd,Honey Badgers sunrise,tbd,15,2,,,,,Max Łochowski,Joe Kerridge,Dorota Wojdak,Hanna Kowalczyk
Group Stage,Open Contender,Group A,1,Single game,Ws mikmac,WStyd tak grać,Ws mikmac,15,13,,,,,Mikolaj Dudzik,Maciek Malczyk,Andrzej Gołaszewski,Mateusz Rawiak
Group Stage,Open Contender,Group B,1,Single game,WS Juka Johnson,Honey Badgers Shogun,WS Juka Johnson,15,1,,,,,Jan Stachiewicz,Tadeusz Pętlak,Jakub Stefańczyk,Marcel Wróblewski
Group Stage,Open Contender,Group C,1,Single game,DANUBE VISTULA,HoneyBadgers UwU,DANUBE VISTULA,15,2,,,,,Traian Colac,Franek Ebert,Przemysław Zbroszczyk,Wiktor Kowalczyk
Group Stage,Open Contender,Group C,1,Single game,RS The Left Handed,WS LazyBoys,RS The Left Handed,15,8,,,,,Krzysztof Kuzak,Mateusz Hofman,Mateusz Foks,Jan Dalke
Group Stage,Open Contender,Group D,1,Single game,Popescu/Kusztal,Los Matatán Lietven,Popescu/Kusztal,15,5,,,,,Mateusz Kusztal,Jakub Kusztal,Dainius Misevičius,Ángel Alberto Vásquez Mujica
Group Stage,Open Contender,Group D,1,Single game,RS Chill Guys,SBK Kaunas FIRST TRY,SBK Kaunas FIRST TRY,10,15,,,,,Konrad Grzankowski,Jakub Matuszewski,Virgilijus Peseckas,Almantas Paulauskas
Group Stage,Open Contender,Group E,1,Single game,najNowSzy team,WS Spikescrapers,najNowSzy team,15,9,,,,,Marek Szymański,Piotr Nowocień,Krzysztof Plutecki,Bartosz Stelmach
Group Stage,Open Contender,Group E,1,Single game,Dobry den Kozy ven,inf,Dobry den Kozy ven,15,5,,,,,Tomáš Kovářík,Micha Daling,Bartosz Getler,Jan Astrau
Group Stage,Open Contender,Group A,2,Single game,tbd,WStyd tak grać,tbd,15,6,,,,,Max Łochowski,Joe Kerridge,Andrzej Gołaszewski,Mateusz Rawiak
Group Stage,Open Contender,Group A,2,Single game,Ws mikmac,Honey Badgers sunrise,Ws mikmac,15,0,,,,,Mikolaj Dudzik,Maciek Malczyk,Dorota Wojdak,Hanna Kowalczyk
Group Stage,Open Contender,Group B,2,Single game,WS Juka Johnson,Downies&brownies,WS Juka Johnson,15,3,,,,,Jan Stachiewicz,Tadeusz Pętlak,Mateusz Pulik,Stefan Wiszniowski
Group Stage,Open Contender,Group C,2,Single game,DANUBE VISTULA,WS LazyBoys,DANUBE VISTULA,15,7,,,,,Traian Colac,Franek Ebert,Mateusz Foks,Jan Dalke
Group Stage,Open Contender,Group C,2,Single game,RS The Left Handed,HoneyBadgers UwU,RS The Left Handed,15,1,,,,,Krzysztof Kuzak,Mateusz Hofman,Przemysław Zbroszczyk,Wiktor Kowalczyk
Group Stage,Open Contender,Group D,2,Single game,Popescu/Kusztal,SBK Kaunas FIRST TRY,Popescu/Kusztal,15,11,,,,,Mateusz Kusztal,Jakub Kusztal,Virgilijus Peseckas,Almantas Paulauskas
Group Stage,Open Contender,Group D,2,Single game,RS Chill Guys,Los Matatán Lietven,RS Chill Guys,15,6,,,,,Konrad Grzankowski,Jakub Matuszewski,Dainius Misevičius,Ángel Alberto Vásquez Mujica
Group Stage,Open Contender,Group E,2,Single game,najNowSzy team,inf,najNowSzy team,15,8,,,,,Marek Szymański,Piotr Nowocień,Bartosz Getler,Jan Astrau
Group Stage,Open Contender,Group E,2,Single game,Dobry den Kozy ven,WS Spikescrapers,Dobry den Kozy ven,15,3,,,,,Tomáš Kovářík,Micha Daling,Krzysztof Plutecki,Bartosz Stelmach
Group Stage,Open Contender,Group A,3,Single game,tbd,Ws mikmac,tbd,15,6,,,,,Max Łochowski,Joe Kerridge,Mikolaj Dudzik,Maciek Malczyk
Group Stage,Open Contender,Group A,3,Single game,WStyd tak grać,Honey Badgers sunrise,WStyd tak grać,15,0,,,,,Andrzej Gołaszewski,Mateusz Rawiak,Dorota Wojdak,Hanna Kowalczyk
Group Stage,Open Contender,Group B,3,Single game,Downies&brownies,Honey Badgers Shogun,Downies&brownies,15,3,,,,,Mateusz Pulik,Stefan Wiszniowski,Jakub Stefańczyk,Marcel Wróblewski
Group Stage,Open Contender,Group C,3,Single game,DANUBE VISTULA,RS The Left Handed,DANUBE VISTULA,15,7,,,,,Traian Colac,Franek Ebert,Krzysztof Kuzak,Mateusz Hofman
Group Stage,Open Contender,Group C,3,Single game,WS LazyBoys,HoneyBadgers UwU,WS LazyBoys,15,8,,,,,Mateusz Foks,Jan Dalke,Przemysław Zbroszczyk,Wiktor Kowalczyk
Group Stage,Open Contender,Group D,3,Single game,Popescu/Kusztal,RS Chill Guys,Popescu/Kusztal,15,11,,,,,Mateusz Kusztal,Jakub Kusztal,Konrad Grzankowski,Jakub Matuszewski
Group Stage,Open Contender,Group D,3,Single game,SBK Kaunas FIRST TRY,Los Matatán Lietven,SBK Kaunas FIRST TRY,15,1,,,,,Virgilijus Peseckas,Almantas Paulauskas,Dainius Misevičius,Ángel Alberto Vásquez Mujica
Group Stage,Open Contender,Group E,3,Single game,najNowSzy team,Dobry den Kozy ven,najNowSzy team,17,16,,,,,Marek Szymański,Piotr Nowocień,Tomáš Kovářík,Micha Daling
Group Stage,Open Contender,Group E,3,Single game,inf,WS Spikescrapers,inf,15,12,,,,,Bartosz Getler,Jan Astrau,Krzysztof Plutecki,Bartosz Stelmach
Group Stage,Open Contender,Group A,4,Single game,tbd,Honey Badgers sunrise,tbd,15,1,,,,,Max Łochowski,Joe Kerridge,Dorota Wojdak,Hanna Kowalczyk
Group Stage,Open Contender,Group A,4,Single game,Ws mikmac,WStyd tak grać,WStyd tak grać,11,15,,,,,Mikolaj Dudzik,Maciek Malczyk,Andrzej Gołaszewski,Mateusz Rawiak
Group Stage,Open Contender,Group B,4,Single game,WS Juka Johnson,Honey Badgers Shogun,WS Juka Johnson,15,2,,,,,Jan Stachiewicz,Tadeusz Pętlak,Jakub Stefańczyk,Marcel Wróblewski
Group Stage,Open Contender,Group C,4,Single game,DANUBE VISTULA,HoneyBadgers UwU,DANUBE VISTULA,15,0,,,,,Traian Colac,Franek Ebert,Przemysław Zbroszczyk,Wiktor Kowalczyk
Group Stage,Open Contender,Group C,4,Single game,RS The Left Handed,WS LazyBoys,RS The Left Handed,15,3,,,,,Krzysztof Kuzak,Mateusz Hofman,Mateusz Foks,Jan Dalke
Group Stage,Open Contender,Group D,4,Single game,Popescu/Kusztal,Los Matatán Lietven,Popescu/Kusztal,15,7,,,,,Mateusz Kusztal,Jakub Kusztal,Dainius Misevičius,Ángel Alberto Vásquez Mujica
Group Stage,Open Contender,Group D,4,Single game,RS Chill Guys,SBK Kaunas FIRST TRY,SBK Kaunas FIRST TRY,6,15,,,,,Konrad Grzankowski,Jakub Matuszewski,Virgilijus Peseckas,Almantas Paulauskas
Group Stage,Open Contender,Group E,4,Single game,najNowSzy team,WS Spikescrapers,najNowSzy team,15,5,,,,,Marek Szymański,Piotr Nowocień,Krzysztof Plutecki,Bartosz Stelmach
