Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Pauer Pul,1,Single game,RBZ Capri Sons,RR JD and his baby,RBZ Capri Sons,21,16,,,,,Andrea Borsotti,riccardo mercadini,Andrea Piccirillo,Jacopo Dudine
Group Stage,Open,Pauer Pul,1,Single game,Jackomeo/lessao,RCB Hoopers,Jackomeo/lessao,21,18,,,,,Giacomo Merlin,Alessandro Zanellato,Luca Tosatti,Tobia Sermenghi
Group Stage,Open,Pauer Pul,1,Single game,RCB Presidenziale,I più f(e)roci! Grrr,RCB Presidenziale,21,18,,,,,Federico Grazi,Mattia Pareschi,Michele Berlanda,Dario Filippi
Group Stage,Open,Energy Pool,1,Single game,Cucciolone guerriere,H501,Cucciolone guerriere,21,7,,,,,Silvia Zanella,Chiara Pernigo,Francesco Stupazzini,leone piva
Group Stage,Open,Energy Pool,1,Single game,TNT Terremoto e Traggedia,Rapo & Pier,TNT Terremoto e Traggedia,21,14,,,,,Tommaso Marzocchi,Sebastiano Guerra,Pierfrancesco Piotto,Rapolas Diržinauskas
Group Stage,Open,Energy Pool,1,Single game,Wasghiri,RF Buongiornissimo,Wasghiri,21,12,,,,,Dario Shir Akbari,Luca Pallotta,Lorenzo Favati,Mirko Biondini
Group Stage,Open,Energy Pool,1,Single game,RF Pefforza,RCB Amareggiato,RF Pefforza,21,6,,,,,Giovanni Messina,Luca Leoni,Alan Saggiorato,Alberto Amato
Group Stage,Open,Pauer Pul,2,Single game,RBZ Capri Sons,RCB Hoopers,RCB Hoopers,19,21,,,,,Andrea Borsotti,riccardo mercadini,Luca Tosatti,Tobia Sermenghi
Group Stage,Open,Pauer Pul,2,Single game,Jackomeo/lessao,Un sacco di palle molli,Un sacco di palle molli,14,21,,,,,Giacomo Merlin,Alessandro Zanellato,Matteo Sacchini,Matteo Molli
Group Stage,Open,Pauer Pul,2,Single game,I più f(e)roci! Grrr,RR JD and his baby,RR JD and his baby,18,21,,,,,Michele Berlanda,Dario Filippi,Andrea Piccirillo,Jacopo Dudine
Group Stage,Open,Energy Pool,2,Single game,Cucciolone guerriere,Rapo & Pier,Cucciolone guerriere,21,17,,,,,Silvia Zanella,Chiara Pernigo,Pierfrancesco Piotto,Rapolas Diržinauskas
Group Stage,Open,Energy Pool,2,Single game,TNT Terremoto e Traggedia,RCB Amareggiato,TNT Terremoto e Traggedia,21,17,,,,,Tommaso Marzocchi,Sebastiano Guerra,Alan Saggiorato,Alberto Amato
Group Stage,Open,Energy Pool,2,Single game,Wasghiri,RF Pefforza,RF Pefforza,14,21,,,,,Dario Shir Akbari,Luca Pallotta,Giovanni Messina,Luca Leoni
Group Stage,Open,Energy Pool,2,Single game,RF Buongiornissimo,H501,RF Buongiornissimo,21,13,,,,,Lorenzo Favati,Mirko Biondini,Francesco Stupazzini,leone piva
Group Stage,Open,Pauer Pul,3,Single game,RBZ Capri Sons,I più f(e)roci! Grrr,RBZ Capri Sons,21,13,,,,,Andrea Borsotti,riccardo mercadini,Michele Berlanda,Dario Filippi
Group Stage,Open,Pauer Pul,3,Single game,Jackomeo/lessao,RCB Presidenziale,Jackomeo/lessao,21,12,,,,,Giacomo Merlin,Alessandro Zanellato,Federico Grazi,Mattia Pareschi
Group Stage,Open,Pauer Pul,3,Single game,Un sacco di palle molli,RCB Hoopers,RCB Hoopers,18,21,,,,,Matteo Sacchini,Matteo Molli,Luca Tosatti,Tobia Sermenghi
Group Stage,Open,Energy Pool,3,Single game,Cucciolone guerriere,RF Buongiornissimo,Cucciolone guerriere,21,7,,,,,Silvia Zanella,Chiara Pernigo,Lorenzo Favati,Mirko Biondini
Group Stage,Open,Energy Pool,3,Single game,TNT Terremoto e Traggedia,Wasghiri,TNT Terremoto e Traggedia,21,19,,,,,Tommaso Marzocchi,Sebastiano Guerra,Dario Shir Akbari,Luca Pallotta
Group Stage,Open,Energy Pool,3,Single game,RF Pefforza,H501,RF Pefforza,21,9,,,,,Giovanni Messina,Luca Leoni,Francesco Stupazzini,leone piva
Group Stage,Open,Energy Pool,3,Single game,RCB Amareggiato,Rapo & Pier,RCB Amareggiato,21,20,,,,,Alan Saggiorato,Alberto Amato,Pierfrancesco Piotto,Rapolas Diržinauskas
Group Stage,Open,Pauer Pul,4,Single game,RBZ Capri Sons,Un sacco di palle molli,RBZ Capri Sons,21,14,,,,,Andrea Borsotti,riccardo mercadini,Matteo Sacchini,Matteo Molli
Group Stage,Open,Pauer Pul,4,Single game,Jackomeo/lessao,RR JD and his baby,Jackomeo/lessao,21,15,,,,,Giacomo Merlin,Alessandro Zanellato,Andrea Piccirillo,Jacopo Dudine
Group Stage,Open,Pauer Pul,4,Single game,RCB Presidenziale,RCB Hoopers,RCB Presidenziale,21,17,,,,,Federico Grazi,Mattia Pareschi,Luca Tosatti,Tobia Sermenghi
Group Stage,Open,Energy Pool,4,Single game,Cucciolone guerriere,RCB Amareggiato,Cucciolone guerriere,21,13,,,,,Silvia Zanella,Chiara Pernigo,Alan Saggiorato,Alberto Amato
Group Stage,Open,Energy Pool,4,Single game,TNT Terremoto e Traggedia,H501,TNT Terremoto e Traggedia,21,11,,,,,Tommaso Marzocchi,Sebastiano Guerra,Francesco Stupazzini,leone piva
Group Stage,Open,Energy Pool,4,Single game,Wasghiri,Rapo & Pier,Rapo & Pier,19,21,,,,,Dario Shir Akbari,Luca Pallotta,Pierfrancesco Piotto,Rapolas Diržinauskas
Group Stage,Open,Energy Pool,4,Single game,RF Pefforza,RF Buongiornissimo,RF Pefforza,21,11,,,,,Giovanni Messina,Luca Leoni,Lorenzo Favati,Mirko Biondini
Group Stage,Open,Pauer Pul,5,Single game,Jackomeo/lessao,I più f(e)roci! Grrr,Jackomeo/lessao,21,11,,,,,Giacomo Merlin,Alessandro Zanellato,Michele Berlanda,Dario Filippi
Group Stage,Open,Pauer Pul,5,Single game,RCB Presidenziale,Un sacco di palle molli,RCB Presidenziale,21,20,,,,,Federico Grazi,Mattia Pareschi,Matteo Sacchini,Matteo Molli
Group Stage,Open,Pauer Pul,5,Single game,RCB Hoopers,RR JD and his baby,RCB Hoopers,21,19,,,,,Luca Tosatti,Tobia Sermenghi,Andrea Piccirillo,Jacopo Dudine
Group Stage,Open,Energy Pool,5,Single game,Cucciolone guerriere,RF Pefforza,RF Pefforza,20,21,,,,,Silvia Zanella,Chiara Pernigo,Giovanni Messina,Luca Leoni
Group Stage,Open,Energy Pool,5,Single game,TNT Terremoto e Traggedia,RF Buongiornissimo,TNT Terremoto e Traggedia,21,18,,,,,Tommaso Marzocchi,Sebastiano Guerra,Lorenzo Favati,Mirko Biondini
Group Stage,Open,Energy Pool,5,Single game,Wasghiri,RCB Amareggiato,Wasghiri,21,16,,,,,Dario Shir Akbari,Luca Pallotta,Alan Saggiorato,Alberto Amato
Group Stage,Open,Energy Pool,5,Single game,Rapo & Pier,H501,Rapo & Pier,21,13,,,,,Pierfrancesco Piotto,Rapolas Diržinauskas,Francesco Stupazzini,leone piva
Group Stage,Open,Pauer Pul,6,Single game,RBZ Capri Sons,RCB Presidenziale,RCB Presidenziale,18,21,,,,,Andrea Borsotti,riccardo mercadini,Federico Grazi,Mattia Pareschi
Group Stage,Open,Pauer Pul,6,Single game,Un sacco di palle molli,RR JD and his baby,Un sacco di palle molli,21,18,,,,,Matteo Sacchini,Matteo Molli,Andrea Piccirillo,Jacopo Dudine
