Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,RBZ Tocco Italiano,I piÃ¹ f(e)roci! Grrr,RBZ Tocco Italiano,15,8,,,,,Matteo Sacchini,Giacomo Merlin,Dario Filippi,Michele Berlanda
Group Stage,Open,Group A,1,Single game,ZerveballerZ,RR juice gastrico ,RR juice gastrico ,12,15,,,,,Luca Tosatti,Alessandro Zanellato,Chiara Pernigo,Nicola Bazzani
Group Stage,Open,Group B,1,Single game,Le cornamuse marine,TilTuc,Le cornamuse marine,15,12,,,,,Mattia Pareschi,Jacopo Dudine,Federico Grazi,Sebastiano Guerra
Group Stage,Open,Group B,1,Single game,Hinata/Nishinoya,RCB,RCB,10,15,,,,,riccardo mercadini,Matteo Molli,Tobia Sermenghi,Andrea Borsotti
Group Stage,Open,Group C,1,Single game,Non capisco,Le Noci,Non capisco,15,5,,,,,Xavier van Gorp,Rapolas Diržinauskas,Paolo  Baldini,Iacopo Cinelli
Group Stage,Open,Group C,1,Single game,2 dei 4 Evangelisti,Albus/Enrico,Albus/Enrico,13,15,,,,,Luca Pallotta,Matteo Santopietro,Enrico Stella,Alberto Amato
Group Stage,Open,Group D,1,Single game,Pusho sul Pallo Pullo sul Palo,Funculo,Pusho sul Pallo Pullo sul Palo,15,12,,,,,Dario Shir Akbari,Tommaso Marzocchi,Giulio Cortivo,Francesco Stupazzini
Group Stage,Open,Group D,1,Single game,Resta con Marco,A facc' ro cut,A facc' ro cut,13,15,,,,,Francesco Resta,Marco Berlanda,Jacopo Pio Grande,Dante Tulipano
Group Stage,Open,Group A,2,Single game,RBZ Tocco Italiano,RR juice gastrico ,RBZ Tocco Italiano,15,10,,,,,Matteo Sacchini,Giacomo Merlin,Chiara Pernigo,Nicola Bazzani
Group Stage,Open,Group A,2,Single game,ZerveballerZ,I piÃ¹ f(e)roci! Grrr,ZerveballerZ,15,10,,,,,Luca Tosatti,Alessandro Zanellato,Dario Filippi,Michele Berlanda
Group Stage,Open,Group B,2,Single game,Le cornamuse marine,RCB,Le cornamuse marine,15,13,,,,,Mattia Pareschi,Jacopo Dudine,Tobia Sermenghi,Andrea Borsotti
Group Stage,Open,Group B,2,Single game,Hinata/Nishinoya,TilTuc,Hinata/Nishinoya,15,7,,,,,riccardo mercadini,Matteo Molli,Federico Grazi,Sebastiano Guerra
Group Stage,Open,Group C,2,Single game,Non capisco,Albus/Enrico,Non capisco,15,10,,,,,Xavier van Gorp,Rapolas Diržinauskas,Enrico Stella,Alberto Amato
Group Stage,Open,Group C,2,Single game,2 dei 4 Evangelisti,Le Noci,2 dei 4 Evangelisti,15,7,,,,,Luca Pallotta,Matteo Santopietro,Paolo  Baldini,Iacopo Cinelli
Group Stage,Open,Group D,2,Single game,Pusho sul Pallo Pullo sul Palo,A facc' ro cut,Pusho sul Pallo Pullo sul Palo,15,8,,,,,Dario Shir Akbari,Tommaso Marzocchi,Jacopo Pio Grande,Dante Tulipano
Group Stage,Open,Group D,2,Single game,Resta con Marco,Funculo,Funculo,13,15,,,,,Francesco Resta,Marco Berlanda,Giulio Cortivo,Francesco Stupazzini
Group Stage,Open,Group A,3,Single game,RBZ Tocco Italiano,ZerveballerZ,RBZ Tocco Italiano,17,15,,,,,Matteo Sacchini,Giacomo Merlin,Luca Tosatti,Alessandro Zanellato
Group Stage,Open,Group A,3,Single game,RR juice gastrico ,I piÃ¹ f(e)roci! Grrr,RR juice gastrico ,15,8,,,,,Chiara Pernigo,Nicola Bazzani,Dario Filippi,Michele Berlanda
Group Stage,Open,Group B,3,Single game,Le cornamuse marine,Hinata/Nishinoya,Le cornamuse marine,15,13,,,,,Mattia Pareschi,Jacopo Dudine,riccardo mercadini,Matteo Molli
Group Stage,Open,Group B,3,Single game,RCB,TilTuc,RCB,15,13,,,,,Tobia Sermenghi,Andrea Borsotti,Federico Grazi,Sebastiano Guerra
Group Stage,Open,Group C,3,Single game,Non capisco,2 dei 4 Evangelisti,2 dei 4 Evangelisti,13,15,,,,,Xavier van Gorp,Rapolas Diržinauskas,Luca Pallotta,Matteo Santopietro
Group Stage,Open,Group C,3,Single game,Albus/Enrico,Le Noci,Albus/Enrico,15,11,,,,,Enrico Stella,Alberto Amato,Paolo  Baldini,Iacopo Cinelli
Group Stage,Open,Group D,3,Single game,Pusho sul Pallo Pullo sul Palo,Resta con Marco,Resta con Marco,13,15,,,,,Dario Shir Akbari,Tommaso Marzocchi,Francesco Resta,Marco Berlanda
Group Stage,Open,Group D,3,Single game,A facc' ro cut,Funculo,Funculo,10,15,,,,,Jacopo Pio Grande,Dante Tulipano,Giulio Cortivo,Francesco Stupazzini
Group Stage,Open,Group A,4,Single game,RBZ Tocco Italiano,I piÃ¹ f(e)roci! Grrr,RBZ Tocco Italiano,15,12,,,,,Matteo Sacchini,Giacomo Merlin,Dario Filippi,Michele Berlanda
Group Stage,Open,Group A,4,Single game,ZerveballerZ,RR juice gastrico ,RR juice gastrico ,14,16,,,,,Luca Tosatti,Alessandro Zanellato,Chiara Pernigo,Nicola Bazzani
Group Stage,Open,Group B,4,Single game,Le cornamuse marine,TilTuc,Le cornamuse marine,15,7,,,,,Mattia Pareschi,Jacopo Dudine,Federico Grazi,Sebastiano Guerra
Group Stage,Open,Group B,4,Single game,Hinata/Nishinoya,RCB,RCB,20,21,,,,,riccardo mercadini,Matteo Molli,Tobia Sermenghi,Andrea Borsotti
Group Stage,Open,Group C,4,Single game,Non capisco,Le Noci,Non capisco,15,4,,,,,Xavier van Gorp,Rapolas Diržinauskas,Paolo  Baldini,Iacopo Cinelli
Group Stage,Open,Group C,4,Single game,2 dei 4 Evangelisti,Albus/Enrico,2 dei 4 Evangelisti,15,13,,,,,Luca Pallotta,Matteo Santopietro,Enrico Stella,Alberto Amato
Group Stage,Open,Group D,4,Single game,Pusho sul Pallo Pullo sul Palo,Funculo,Pusho sul Pallo Pullo sul Palo,15,5,,,,,Dario Shir Akbari,Tommaso Marzocchi,Giulio Cortivo,Francesco Stupazzini
Group Stage,Open,Group D,4,Single game,Resta con Marco,A facc' ro cut,A facc' ro cut,10,15,,,,,Francesco Resta,Marco Berlanda,Jacopo Pio Grande,Dante Tulipano
Group Stage,Open,Group A,5,Single game,RBZ Tocco Italiano,RR juice gastrico ,RBZ Tocco Italiano,15,6,,,,,Matteo Sacchini,Giacomo Merlin,Chiara Pernigo,Nicola Bazzani
Group Stage,Open,Group A,5,Single game,ZerveballerZ,I piÃ¹ f(e)roci! Grrr,ZerveballerZ,15,13,,,,,Luca Tosatti,Alessandro Zanellato,Dario Filippi,Michele Berlanda
Group Stage,Open,Group B,5,Single game,Le cornamuse marine,RCB,RCB,19,21,,,,,Mattia Pareschi,Jacopo Dudine,Tobia Sermenghi,Andrea Borsotti
Group Stage,Open,Group B,5,Single game,Hinata/Nishinoya,TilTuc,Hinata/Nishinoya,15,11,,,,,riccardo mercadini,Matteo Molli,Federico Grazi,Sebastiano Guerra
Group Stage,Open,Group C,5,Single game,Non capisco,Albus/Enrico,Non capisco,15,7,,,,,Xavier van Gorp,Rapolas Diržinauskas,Enrico Stella,Alberto Amato
Group Stage,Open,Group C,5,Single game,2 dei 4 Evangelisti,Le Noci,2 dei 4 Evangelisti,15,9,,,,,Luca Pallotta,Matteo Santopietro,Paolo  Baldini,Iacopo Cinelli
Group Stage,Open,Group D,5,Single game,Pusho sul Pallo Pullo sul Palo,A facc' ro cut,Pusho sul Pallo Pullo sul Palo,15,10,,,,,Dario Shir Akbari,Tommaso Marzocchi,Jacopo Pio Grande,Dante Tulipano
