Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group C,1,Single game,Double Bang,RCB Only Cut,Double Bang,1,0,,,,,Nicola Bazzani,Michele Berlanda,Tobia Sermenghi,Giovanni Calvi
Group Stage,Open,Group C,1,Single game,RBZ THEKINGS AREBACK,TBA,TBA,0,1,,,,,Riccardo Mercadini,Federico Librera,Chiara Pernigo,Andrea Borsotti
Group Stage,Open,Group E,1,Single game,M&M's,Connected Souls,Connected Souls,0,1,,,,,Matteo Molli,Marco Bortoloso,Jacopo Dudine,Davide Fusaro
Group Stage,Open,Group E,1,Single game,Pesto al Porno,ISTINTO ITALIANO,ISTINTO ITALIANO,0,1,,,,,Dario Filippi,Fabio Bassi,Daniel Di Fazio,Giacomo Merlin
Group Stage,Open,Group A,1,Single game,Rendila memorabile,Angi,Rendila memorabile,1,0,,,,,Federico Donatini,Mirko Biondini,Angela Augello,Samuele Piermanni
Group Stage,Open,Group A,1,Single game,RBZ Back on Track,RCB NON SCHERZARE!,RCB NON SCHERZARE!,0,1,,,,,Irene Stranieri,Elena Berlanda,Yuri,Mattia Pareschi
Group Stage,Open,Group B,1,Single game,Falce e Martello,Cosa Rischia?,Falce e Martello,1,0,,,,,Davide Greco,Luca Tosatti,Christian Morrese,Maurilio Annese
Group Stage,Open,Group B,1,Single game,RBZ Teambusta,Granchi Aviatori,RBZ Teambusta,1,0,,,,,Omar Zeni,Andrea Piccirillo,Federico Roncarati,Christian Carotenuto
Group Stage,Open,Group D,1,Single game,RCB Le Caraus,Short Kings,RCB Le Caraus,1,0,,,,,Nicole Biondini,Alessandro Zanellato,Marco Checchi,Tommaso Marzocchi
Group Stage,Open,Group D,1,Single game,Marianda,Fielepunte,Marianda,1,0,,,,,Amanda Y. Pesenti,Marianne Ferragina,Francesco Corrado,Leonardo Rosino
Group Stage,Open,Group C,2,Single game,Double Bang,TBA,Double Bang,1,0,,,,,Nicola Bazzani,Michele Berlanda,Chiara Pernigo,Andrea Borsotti
Group Stage,Open,Group C,2,Single game,RBZ THEKINGS AREBACK,RCB Only Cut,RBZ THEKINGS AREBACK,1,0,,,,,Riccardo Mercadini,Federico Librera,Tobia Sermenghi,Giovanni Calvi
Group Stage,Open,Group E,2,Single game,M&M's,ISTINTO ITALIANO,M&M's,1,0,,,,,Matteo Molli,Marco Bortoloso,Daniel Di Fazio,Giacomo Merlin
Group Stage,Open,Group E,2,Single game,Pesto al Porno,Connected Souls,Connected Souls,0,1,,,,,Dario Filippi,Fabio Bassi,Jacopo Dudine,Davide Fusaro
Group Stage,Open,Group A,2,Single game,Rendila memorabile,RCB NON SCHERZARE!,RCB NON SCHERZARE!,0,1,,,,,Federico Donatini,Mirko Biondini,Yuri,Mattia Pareschi
Group Stage,Open,Group A,2,Single game,RBZ Back on Track,Angi,RBZ Back on Track,1,0,,,,,Irene Stranieri,Elena Berlanda,Angela Augello,Samuele Piermanni
Group Stage,Open,Group B,2,Single game,Falce e Martello,Granchi Aviatori,Falce e Martello,1,0,,,,,Davide Greco,Luca Tosatti,Federico Roncarati,Christian Carotenuto
