Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,WS Omnidroid 3000,beer,WS Omnidroid 3000,15,9,,,,,Max Łochowski,Jan Stachiewicz,Michał Kusztal,Mateusz Kusztal
Group Stage,Open,Group A,1,Single game,Shrödinger’s cut,Sasquatche,Shrödinger’s cut,15,9,,,,,Karol Barbasiewicz,Jakub Frydrych,Jerzy Pętlak,Krzysztof Puławski
Group Stage,Open,Group B,1,Single game,WS Green Hat Boys,RSS,WS Green Hat Boys,15,8,,,,,Tadeusz Pętlak,Mikołaj Cichocki,Kacper Habiński,Mateusz Hofman
Group Stage,Open,Group B,1,Single game,Roundnet Gdańsk TRO/JAN,ESZA Wariaty,Roundnet Gdańsk TRO/JAN,15,9,,,,,Jan Benesz,Sebastian Trojanowicz,Sebastian Świpiarski,Alek Stachiewicz
Group Stage,Open,Group C,1,Single game,SEShboyz,Random shit,SEShboyz,15,9,,,,,Szymon Urbański,Marek Szymański,Juliusz Fijałkowski,Jan Dowchań-Kowalski
Group Stage,Open,Group C,1,Single game,WS wąż w pockecie,WSInf,WS wąż w pockecie,15,6,,,,,Wojtek Jasiński,Jakub Kusztal,Jan Astrau,Bartosz Getler
Group Stage,Open,Group D,1,Single game,Tricky boyzz reunion,RS Nowy Browar 🍻,Tricky boyzz reunion,15,9,,,,,1 2,Janek Dudzik,Jakub Matuszewski,Krzysztof Kuzak
Group Stage,Open,Group D,1,Single game,WS Pita + Gyros,SBK Kaunas FIRST TRY,WS Pita + Gyros,15,12,,,,,Piotr Jordan,Piotr Nowocień,Almantas Paulauskas,Virgilijus Peseckas
Group Stage,Open,Group A,2,Single game,WS Omnidroid 3000,Sasquatche,WS Omnidroid 3000,15,3,,,,,Max Łochowski,Jan Stachiewicz,Jerzy Pętlak,Krzysztof Puławski
Group Stage,Open,Group A,2,Single game,Do widzenia,beer,Do widzenia,15,9,,,,,Rytis Bičkauskas,Gytis Buckiūnas,Michał Kusztal,Mateusz Kusztal
Group Stage,Open,Group B,2,Single game,WS Green Hat Boys,ESZA Wariaty,WS Green Hat Boys,15,8,,,,,Tadeusz Pętlak,Mikołaj Cichocki,Sebastian Świpiarski,Alek Stachiewicz
Group Stage,Open,Group B,2,Single game,Netflicks,RSS,Netflicks,15,5,,,,,Valentas Balsys,Vaidas Masys,Kacper Habiński,Mateusz Hofman
Group Stage,Open,Group C,2,Single game,SEShboyz,WSInf,SEShboyz,15,2,,,,,Szymon Urbański,Marek Szymański,Jan Astrau,Bartosz Getler
Group Stage,Open,Group C,2,Single game,SBK Kaunas Žwėrynas,Random shit,SBK Kaunas Žwėrynas,15,10,,,,,Domantas Laskis,Artūras Petruškevičius,Juliusz Fijałkowski,Jan Dowchań-Kowalski
Group Stage,Open,Group D,2,Single game,Tricky boyzz reunion,SBK Kaunas FIRST TRY,Tricky boyzz reunion,15,13,,,,,1 2,Janek Dudzik,Almantas Paulauskas,Virgilijus Peseckas
Group Stage,Open,Group D,2,Single game,WS Pita + Gyros,RS Nowy Browar 🍻,WS Pita + Gyros,15,7,,,,,Piotr Jordan,Piotr Nowocień,Jakub Matuszewski,Krzysztof Kuzak
Group Stage,Open,Group A,3,Single game,WS Omnidroid 3000,Do widzenia,WS Omnidroid 3000,15,9,,,,,Max Łochowski,Jan Stachiewicz,Rytis Bičkauskas,Gytis Buckiūnas
Group Stage,Open,Group A,3,Single game,Shrödinger’s cut,beer,Shrödinger’s cut,15,13,,,,,Karol Barbasiewicz,Jakub Frydrych,Michał Kusztal,Mateusz Kusztal
Group Stage,Open,Group B,3,Single game,WS Green Hat Boys,Netflicks,WS Green Hat Boys,15,11,,,,,Tadeusz Pętlak,Mikołaj Cichocki,Valentas Balsys,Vaidas Masys
Group Stage,Open,Group B,3,Single game,Roundnet Gdańsk TRO/JAN,RSS,RSS,13,15,,,,,Jan Benesz,Sebastian Trojanowicz,Kacper Habiński,Mateusz Hofman
Group Stage,Open,Group C,3,Single game,SEShboyz,SBK Kaunas Žwėrynas,SEShboyz,15,7,,,,,Szymon Urbański,Marek Szymański,Domantas Laskis,Artūras Petruškevičius
Group Stage,Open,Group C,3,Single game,WS wąż w pockecie,Random shit,WS wąż w pockecie,15,7,,,,,Wojtek Jasiński,Jakub Kusztal,Juliusz Fijałkowski,Jan Dowchań-Kowalski
Group Stage,Open,Group D,3,Single game,Tricky boyzz reunion,WS Pita + Gyros,Tricky boyzz reunion,15,8,,,,,1 2,Janek Dudzik,Piotr Jordan,Piotr Nowocień
Group Stage,Open,Group D,3,Single game,SBK Kaunas FIRST TRY,RS Nowy Browar 🍻,SBK Kaunas FIRST TRY,15,11,,,,,Almantas Paulauskas,Virgilijus Peseckas,Jakub Matuszewski,Krzysztof Kuzak
Group Stage,Open,Group A,4,Single game,Shrödinger’s cut,Do widzenia,Do widzenia,12,15,,,,,Karol Barbasiewicz,Jakub Frydrych,Rytis Bičkauskas,Gytis Buckiūnas
Group Stage,Open,Group A,4,Single game,Sasquatche,beer,Sasquatche,15,12,,,,,Jerzy Pętlak,Krzysztof Puławski,Michał Kusztal,Mateusz Kusztal
Group Stage,Open,Group B,4,Single game,Roundnet Gdańsk TRO/JAN,Netflicks,Roundnet Gdańsk TRO/JAN,15,9,,,,,Jan Benesz,Sebastian Trojanowicz,Valentas Balsys,Vaidas Masys
Group Stage,Open,Group B,4,Single game,ESZA Wariaty,RSS,ESZA Wariaty,15,6,,,,,Sebastian Świpiarski,Alek Stachiewicz,Kacper Habiński,Mateusz Hofman
Group Stage,Open,Group C,4,Single game,WS wąż w pockecie,SBK Kaunas Žwėrynas,WS wąż w pockecie,15,5,,,,,Wojtek Jasiński,Jakub Kusztal,Domantas Laskis,Artūras Petruškevičius
Group Stage,Open,Group C,4,Single game,WSInf,Random shit,WSInf,18,16,,,,,Jan Astrau,Bartosz Getler,Juliusz Fijałkowski,Jan Dowchań-Kowalski
Group Stage,Open,Group A,5,Single game,WS Omnidroid 3000,Shrödinger’s cut,WS Omnidroid 3000,15,7,,,,,Max Łochowski,Jan Stachiewicz,Karol Barbasiewicz,Jakub Frydrych
Group Stage,Open,Group A,5,Single game,Do widzenia,Sasquatche,Do widzenia,15,7,,,,,Rytis Bičkauskas,Gytis Buckiūnas,Jerzy Pętlak,Krzysztof Puławski
Group Stage,Open,Group B,5,Single game,WS Green Hat Boys,Roundnet Gdańsk TRO/JAN,WS Green Hat Boys,15,13,,,,,Tadeusz Pętlak,Mikołaj Cichocki,Jan Benesz,Sebastian Trojanowicz
Group Stage,Open,Group B,5,Single game,Netflicks,ESZA Wariaty,ESZA Wariaty,16,18,,,,,Valentas Balsys,Vaidas Masys,Sebastian Świpiarski,Alek Stachiewicz
Group Stage,Open,Group C,5,Single game,SEShboyz,WS wąż w pockecie,WS wąż w pockecie,8,15,,,,,Szymon Urbański,Marek Szymański,Wojtek Jasiński,Jakub Kusztal
Group Stage,Open,Group C,5,Single game,SBK Kaunas Žwėrynas,WSInf,WSInf,10,15,,,,,Domantas Laskis,Artūras Petruškevičius,Jan Astrau,Bartosz Getler
Bracket Stage,Open,Bracket A,Round of 32,Single game,SBK Kaunas Žwėrynas,RS Nowy Browar 🍻,RS Nowy Browar 🍻,0,2,,,,,Domantas Laskis,Artūras Petruškevičius,Jakub Matuszewski,Krzysztof Kuzak
Bracket Stage,Open,Bracket A,Round of 32,Single game,Sasquatche,Random shit,Sasquatche,21,17,,,,,Jerzy Pętlak,Krzysztof Puławski,Juliusz Fijałkowski,Jan Dowchań-Kowalski
Bracket Stage,Open,Bracket A,Round of 32,Single game,RSS,beer,RSS,2,1,,,,,Kacper Habiński,Mateusz Hofman,Michał Kusztal,Mateusz Kusztal
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,WS wąż w pockecie,RSS,WS wąż w pockecie,15,10,15,2,,,Wojtek Jasiński,Jakub Kusztal,Kacper Habiński,Mateusz Hofman
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,WS Omnidroid 3000,Sasquatche,WS Omnidroid 3000,15,7,15,6,,,Max Łochowski,Jan Stachiewicz,Jerzy Pętlak,Krzysztof Puławski
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,WS Green Hat Boys,RS Nowy Browar 🍻,WS Green Hat Boys,15,9,15,7,,,Tadeusz Pętlak,Mikołaj Cichocki,Jakub Matuszewski,Krzysztof Kuzak
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,Tricky boyzz reunion,Netflicks,Tricky boyzz reunion,15,11,15,13,,,1 2,Janek Dudzik,Valentas Balsys,Vaidas Masys
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,SEShboyz,SBK Kaunas FIRST TRY,SEShboyz,15,11,15,7,,,Szymon Urbański,Marek Szymański,Almantas Paulauskas,Virgilijus Peseckas
Bracket Stage,Open,Bracket A,Round of 16,Best of 3,Do widzenia,WSInf,Do widzenia,15,5,15,8,,,Rytis Bičkauskas,Gytis Buckiūnas,Jan Astrau,Bartosz Getler
