Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Intermediate,Group A,1,Single game,Royal Air Fox 🦊,TTT,TTT,3,15,,,,,Vincent Vanderstocken,Martin Ocker,Ludwig Branzk,Jonas Klimt
Group Stage,Open Intermediate,Group A,1,Single game,Maan,Out of the Fox 🦊,Maan,15,2,,,,,Anaïs Van der Hauwaert,Manuel Van Rensbergen,Louise Gesquiere,Arno Thibau
Group Stage,Open Intermediate,Group B,1,Single game,Les Wolves de QuentNico,Ave Oh Mariah,Les Wolves de QuentNico,15,4,,,,,Nicolas Godot,Quentin van Kesteren,benedetta morpurgo,Maddalena Morpurgo
Group Stage,Open Intermediate,Group B,1,Single game,FocacciaFox🤌,Sunny Spikers,Sunny Spikers,10,15,,,,,Benjamin Van Roozendael,Thomas Ameloot,Heleen Lauwers,Lien Keersse
Group Stage,Open Intermediate,Group C,1,Single game,Win Fox Life 🦊,Foxies 🦊,Win Fox Life 🦊,15,7,,,,,Félix Jottrand,Maxime Despontin,Kim Waltens,Iza Grasselli
Group Stage,Open Intermediate,Group C,1,Single game,My Deer Fox ² 🦌🦊,Petit Joint,My Deer Fox ² 🦌🦊,15,13,,,,,Diederik Reyniers,Eric Peers,Tom Richelle,Jakob Miller
Group Stage,Open Intermediate,Group D,1,Single game,One tap,JoJan,JoJan,10,15,,,,,Antoine Remacle,Quentin Remacle,Jo Goossens,Jan Goossebs
Group Stage,Open Intermediate,Group D,1,Single game,Manneback / Gross,Wibewabowebibo,Wibewabowebibo,20,21,,,,,Johann Gross,Nicolas Manneback,Rens Elbertsen,Stijn Slebos
Group Stage,Open Intermediate,Group A,2,Single game,Royal Air Fox 🦊,Out of the Fox 🦊,Royal Air Fox 🦊,15,10,,,,,Vincent Vanderstocken,Martin Ocker,Louise Gesquiere,Arno Thibau
Group Stage,Open Intermediate,Group A,2,Single game,Maan,TTT,TTT,5,15,,,,,Anaïs Van der Hauwaert,Manuel Van Rensbergen,Ludwig Branzk,Jonas Klimt
Group Stage,Open Intermediate,Group B,2,Single game,Les Wolves de QuentNico,Sunny Spikers,Les Wolves de QuentNico,15,10,,,,,Nicolas Godot,Quentin van Kesteren,Heleen Lauwers,Lien Keersse
Group Stage,Open Intermediate,Group B,2,Single game,FocacciaFox🤌,Ave Oh Mariah,FocacciaFox🤌,15,1,,,,,Benjamin Van Roozendael,Thomas Ameloot,benedetta morpurgo,Maddalena Morpurgo
