Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Intermediate,Group A,1,Single game,wwy,Ozappa,wwy,15,4,,,,,Juliette Dumesnil,Marie Jubault,Cas De Coninck,Ruben De Maesschalck
Group Stage,Open Intermediate,Group A,1,Single game,MUD GIRLS,Hot'n Spiky,Hot'n Spiky,5,15,,,,,Benedetta Morpurgo,Maddalena Morpurgo,Alexia De Poorter,Sébastien Colla
Group Stage,Open Intermediate,Group B,1,Single game,RC Raptors,Atomic,RC Raptors,15,10,,,,,Théo Clotman,Quentin Remacle,Colin Debroyer,Mathis Buts
Group Stage,Open Intermediate,Group B,1,Single game,Team Dedication,SuperDingooooos,Team Dedication,15,12,,,,,Heleen Lauwers,Bieke Wynant,Marie fobe,Clovis Dehaye
Group Stage,Open Intermediate,Group A,2,Single game,wwy,Hot'n Spiky,wwy,15,4,,,,,Juliette Dumesnil,Marie Jubault,Alexia De Poorter,Sébastien Colla
Group Stage,Open Intermediate,Group A,2,Single game,MUD GIRLS,Ozappa,Ozappa,15,17,,,,,Benedetta Morpurgo,Maddalena Morpurgo,Cas De Coninck,Ruben De Maesschalck
Group Stage,Open Intermediate,Group B,2,Single game,RC Raptors,SuperDingooooos,RC Raptors,15,8,,,,,Théo Clotman,Quentin Remacle,Marie fobe,Clovis Dehaye
Group Stage,Open Intermediate,Group B,2,Single game,Team Dedication,Atomic,Team Dedication,15,10,,,,,Heleen Lauwers,Bieke Wynant,Colin Debroyer,Mathis Buts
Group Stage,Open Intermediate,Group A,3,Single game,wwy,MUD GIRLS,wwy,15,5,,,,,Juliette Dumesnil,Marie Jubault,Benedetta Morpurgo,Maddalena Morpurgo
Group Stage,Open Intermediate,Group A,3,Single game,Hot'n Spiky,Ozappa,Hot'n Spiky,15,2,,,,,Alexia De Poorter,Sébastien Colla,Cas De Coninck,Ruben De Maesschalck
Group Stage,Open Intermediate,Group B,3,Single game,RC Raptors,Team Dedication,Team Dedication,13,15,,,,,Théo Clotman,Quentin Remacle,Heleen Lauwers,Bieke Wynant
Group Stage,Open Intermediate,Group B,3,Single game,SuperDingooooos,Atomic,SuperDingooooos,15,12,,,,,Marie fobe,Clovis Dehaye,Colin Debroyer,Mathis Buts
Group Stage,Open Intermediate,Group A,4,Single game,wwy,Ozappa,wwy,15,3,,,,,Juliette Dumesnil,Marie Jubault,Cas De Coninck,Ruben De Maesschalck
Group Stage,Open Intermediate,Group A,4,Single game,MUD GIRLS,Hot'n Spiky,Hot'n Spiky,8,15,,,,,Benedetta Morpurgo,Maddalena Morpurgo,Alexia De Poorter,Sébastien Colla
Group Stage,Open Intermediate,Group B,4,Single game,RC Raptors,Atomic,RC Raptors,15,9,,,,,Théo Clotman,Quentin Remacle,Colin Debroyer,Mathis Buts
Group Stage,Open Intermediate,Group B,4,Single game,Team Dedication,SuperDingooooos,SuperDingooooos,8,15,,,,,Heleen Lauwers,Bieke Wynant,Marie fobe,Clovis Dehaye
Group Stage,Open Intermediate,Group A,5,Single game,wwy,Hot'n Spiky,wwy,15,10,,,,,Juliette Dumesnil,Marie Jubault,Alexia De Poorter,Sébastien Colla
Group Stage,Open Intermediate,Group A,5,Single game,MUD GIRLS,Ozappa,Ozappa,12,15,,,,,Benedetta Morpurgo,Maddalena Morpurgo,Cas De Coninck,Ruben De Maesschalck
