Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Contender,Group A,1,Single game,Les Machiiines,Same-same 🇧🇪🇩🇪,Les Machiiines,15,6,,,,,Louis Mareschal,Levi Vandaele,Paul Volle,Igor Jottrand
Group Stage,Open Contender,Group A,1,Single game,GBGS,Big D - mons,Big D - mons,7,15,,,,,Guillaume Van Eeckhaute,Maëlig Potiau,Irian Baert,wout thysens
Group Stage,Open Contender,Group B,1,Single game,Here Aghent,Free Flow,Here Aghent,15,5,,,,,Robin Florinda,Markus Anderle,Florian Poel,Fre Eskens
Group Stage,Open Contender,Group B,1,Single game,MaGic Spikeblock,OO6,MaGic Spikeblock,15,12,,,,,Martijn Paes,Gilles Hublet,Oussama Tchita,Olivier Saunier
Group Stage,Open Contender,Group C,1,Single game,To the rescue,Empire Spikes Back,To the rescue,15,1,,,,,Pieter De Pauw,Nand Buyst,Fabien Nießen,Francisco Gonçalves
Group Stage,Open Contender,Group C,1,Single game,hi-high,Boardgames > Roundnet,Boardgames > Roundnet,14,15,,,,,Aleksandrs Juška,Sam Beard,Jaroslav Čabala,Micha Daling
Group Stage,Open Contender,Group D,1,Single game,Ben is sucré,Buns 'n Roses,Ben is sucré,15,8,,,,,leleu benoit,Alexandre Thiry,Tuur Demaegdt,Jannes De Meyer
Group Stage,Open Contender,Group D,1,Single game,avanti briganti,Bernd das brot,avanti briganti,15,5,,,,,Chiara Pernigo,Megan Leybourne,Toan Pauwels,Beau Dysserinck
Group Stage,Open Contender,Group A,2,Single game,Les Machiiines,Big D - mons,Les Machiiines,15,4,,,,,Louis Mareschal,Levi Vandaele,Irian Baert,wout thysens
Group Stage,Open Contender,Group A,2,Single game,GBGS,Same-same 🇧🇪🇩🇪,Same-same 🇧🇪🇩🇪,13,15,,,,,Guillaume Van Eeckhaute,Maëlig Potiau,Paul Volle,Igor Jottrand
