Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,L'Eclair,The Ditched Duo,L'Eclair,15,11,,,,,joeri vlassaks,Frederik Theunis,Adriaan Van Gerven,Guillaume Van Eeckhaute
Group Stage,Open,Group A,1,Single game,Stevan Sealgal,MaGic Spikeblock,Stevan Sealgal,15,7,,,,,Florian Poel,Levi Vandaele,Martijn Paes,Gilles Hublet
Group Stage,Open,Group B,1,Single game,Da KaNToNie,OpDenBots,Da KaNToNie,15,13,,,,,Lei Decappelle,Pieter De Pauw,Tuur Demaegdt,Bram Verschoote
Group Stage,Open,Group B,1,Single game,Kempense Raptors,The Authentic Liège Lions,Kempense Raptors,15,10,,,,,Stijn Van den Branden,Frederik Severeyns,Hugo Lebeaupin,Gilles Talmasse
Group Stage,Open,Group C,1,Single game,De kartonnen hamers,Raptors Origine,De kartonnen hamers,15,12,,,,,Mathias Van der Linden,Tim van Herreweghe,Quentin Remacle,Martin Clotman
Group Stage,Open,Group C,1,Single game,Uno reverse,TÃ©ma la feinte,Uno reverse,15,10,,,,,wout thysens,Robrecht Van Rompaey,Juliette Dumesnil,Marie-Alexia Teisseyre
Group Stage,Open,Group D,1,Single game,The Flying Abuelo,Super Swagger Combo,The Flying Abuelo,15,4,,,,,Diëgo Lamonte,Amy Campbell,Keelan Savat,Ruben Blomme
Group Stage,Open,Group D,1,Single game,Andere kant van België,Wild Beavers,Wild Beavers,11,15,,,,,Diederik Reyniers,Steffen Schraeyen,Kristof Beersmans,Rinus Dehertefelt
Group Stage,Open,Group A,2,Single game,L'Eclair,MaGic Spikeblock,L'Eclair,15,10,,,,,joeri vlassaks,Frederik Theunis,Martijn Paes,Gilles Hublet
Group Stage,Open,Group A,2,Single game,Stevan Sealgal,The Ditched Duo,Stevan Sealgal,15,8,,,,,Florian Poel,Levi Vandaele,Adriaan Van Gerven,Guillaume Van Eeckhaute
Group Stage,Open,Group B,2,Single game,Da KaNToNie,The Authentic Liège Lions,The Authentic Liège Lions,12,15,,,,,Lei Decappelle,Pieter De Pauw,Hugo Lebeaupin,Gilles Talmasse
Group Stage,Open,Group B,2,Single game,Kempense Raptors,OpDenBots,Kempense Raptors,15,9,,,,,Stijn Van den Branden,Frederik Severeyns,Tuur Demaegdt,Bram Verschoote
Group Stage,Open,Group C,2,Single game,De kartonnen hamers,TÃ©ma la feinte,De kartonnen hamers,15,8,,,,,Mathias Van der Linden,Tim van Herreweghe,Juliette Dumesnil,Marie-Alexia Teisseyre
Group Stage,Open,Group C,2,Single game,Uno reverse,Raptors Origine,Uno reverse,15,8,,,,,wout thysens,Robrecht Van Rompaey,Quentin Remacle,Martin Clotman
Group Stage,Open,Group D,2,Single game,The Flying Abuelo,Wild Beavers,Wild Beavers,13,15,,,,,Diëgo Lamonte,Amy Campbell,Kristof Beersmans,Rinus Dehertefelt
Group Stage,Open,Group D,2,Single game,Andere kant van België,Super Swagger Combo,Super Swagger Combo,12,15,,,,,Diederik Reyniers,Steffen Schraeyen,Keelan Savat,Ruben Blomme
Group Stage,Open,Group A,3,Single game,L'Eclair,Stevan Sealgal,Stevan Sealgal,8,15,,,,,joeri vlassaks,Frederik Theunis,Florian Poel,Levi Vandaele
Group Stage,Open,Group A,3,Single game,MaGic Spikeblock,The Ditched Duo,MaGic Spikeblock,15,7,,,,,Martijn Paes,Gilles Hublet,Adriaan Van Gerven,Guillaume Van Eeckhaute
Group Stage,Open,Group B,3,Single game,Da KaNToNie,Kempense Raptors,Kempense Raptors,15,17,,,,,Lei Decappelle,Pieter De Pauw,Stijn Van den Branden,Frederik Severeyns
Group Stage,Open,Group B,3,Single game,The Authentic Liège Lions,OpDenBots,The Authentic Liège Lions,15,10,,,,,Hugo Lebeaupin,Gilles Talmasse,Tuur Demaegdt,Bram Verschoote
Group Stage,Open,Group C,3,Single game,De kartonnen hamers,Uno reverse,De kartonnen hamers,15,9,,,,,Mathias Van der Linden,Tim van Herreweghe,wout thysens,Robrecht Van Rompaey
Group Stage,Open,Group C,3,Single game,TÃ©ma la feinte,Raptors Origine,TÃ©ma la feinte,15,10,,,,,Juliette Dumesnil,Marie-Alexia Teisseyre,Quentin Remacle,Martin Clotman
Group Stage,Open,Group D,3,Single game,The Flying Abuelo,Andere kant van België,The Flying Abuelo,15,7,,,,,Diëgo Lamonte,Amy Campbell,Diederik Reyniers,Steffen Schraeyen
Group Stage,Open,Group D,3,Single game,Wild Beavers,Super Swagger Combo,Super Swagger Combo,11,15,,,,,Kristof Beersmans,Rinus Dehertefelt,Keelan Savat,Ruben Blomme
Group Stage,Open,Group A,4,Single game,L'Eclair,The Ditched Duo,L'Eclair,15,8,,,,,joeri vlassaks,Frederik Theunis,Adriaan Van Gerven,Guillaume Van Eeckhaute
Group Stage,Open,Group A,4,Single game,Stevan Sealgal,MaGic Spikeblock,Stevan Sealgal,15,9,,,,,Florian Poel,Levi Vandaele,Martijn Paes,Gilles Hublet
Group Stage,Open,Group B,4,Single game,Da KaNToNie,OpDenBots,Da KaNToNie,15,10,,,,,Lei Decappelle,Pieter De Pauw,Tuur Demaegdt,Bram Verschoote
Group Stage,Open,Group B,4,Single game,Kempense Raptors,The Authentic Liège Lions,The Authentic Liège Lions,20,21,,,,,Stijn Van den Branden,Frederik Severeyns,Hugo Lebeaupin,Gilles Talmasse
Group Stage,Open,Group C,4,Single game,De kartonnen hamers,Raptors Origine,De kartonnen hamers,15,12,,,,,Mathias Van der Linden,Tim van Herreweghe,Quentin Remacle,Martin Clotman
Group Stage,Open,Group C,4,Single game,Uno reverse,TÃ©ma la feinte,TÃ©ma la feinte,8,15,,,,,wout thysens,Robrecht Van Rompaey,Juliette Dumesnil,Marie-Alexia Teisseyre
Group Stage,Open,Group D,4,Single game,The Flying Abuelo,Super Swagger Combo,The Flying Abuelo,15,7,,,,,Diëgo Lamonte,Amy Campbell,Keelan Savat,Ruben Blomme
Group Stage,Open,Group D,4,Single game,Andere kant van België,Wild Beavers,Wild Beavers,13,15,,,,,Diederik Reyniers,Steffen Schraeyen,Kristof Beersmans,Rinus Dehertefelt
Group Stage,Open,Group A,5,Single game,L'Eclair,MaGic Spikeblock,L'Eclair,15,11,,,,,joeri vlassaks,Frederik Theunis,Martijn Paes,Gilles Hublet
Group Stage,Open,Group A,5,Single game,Stevan Sealgal,The Ditched Duo,Stevan Sealgal,15,9,,,,,Florian Poel,Levi Vandaele,Adriaan Van Gerven,Guillaume Van Eeckhaute
Group Stage,Open,Group B,5,Single game,Da KaNToNie,The Authentic Liège Lions,Da KaNToNie,21,19,,,,,Lei Decappelle,Pieter De Pauw,Hugo Lebeaupin,Gilles Talmasse
Group Stage,Open,Group B,5,Single game,Kempense Raptors,OpDenBots,Kempense Raptors,15,13,,,,,Stijn Van den Branden,Frederik Severeyns,Tuur Demaegdt,Bram Verschoote
Group Stage,Open,Group C,5,Single game,De kartonnen hamers,TÃ©ma la feinte,De kartonnen hamers,15,9,,,,,Mathias Van der Linden,Tim van Herreweghe,Juliette Dumesnil,Marie-Alexia Teisseyre
Group Stage,Open,Group C,5,Single game,Uno reverse,Raptors Origine,Uno reverse,15,9,,,,,wout thysens,Robrecht Van Rompaey,Quentin Remacle,Martin Clotman
Group Stage,Open,Group D,5,Single game,The Flying Abuelo,Wild Beavers,Wild Beavers,10,15,,,,,Diëgo Lamonte,Amy Campbell,Kristof Beersmans,Rinus Dehertefelt
Group Stage,Open,Group D,5,Single game,Andere kant van België,Super Swagger Combo,Super Swagger Combo,12,15,,,,,Diederik Reyniers,Steffen Schraeyen,Keelan Savat,Ruben Blomme
Group Stage,Open,Group A,6,Single game,L'Eclair,Stevan Sealgal,Stevan Sealgal,9,15,,,,,joeri vlassaks,Frederik Theunis,Florian Poel,Levi Vandaele
