Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,The Legends,Axelera,The Legends,15,2,,,,,Jonas Jacquemijns,Yosha Vandaele,Jonas Doevenspeck,Nazareno Bruschi
Group Stage,Open,Group A,1,Single game,Allesch Kapoedt,The Authentic Liège Lions,Allesch Kapoedt,16,14,,,,,jana vandesijpe,Riet D'hoore,Hugo Lebeaupin,Gilles Talmasse
Group Stage,Open,Group B,1,Single game,No Fly Bears,Ballbenders,No Fly Bears,15,3,,,,,Jorn neyens,Frederik Theunis,Tibe Vanneerveldt,Yarni Ricour
Group Stage,Open,Group B,1,Single game,Brandende Put,Spice ball,Brandende Put,15,11,,,,,Stijn Van den Branden,Kenneth Put,Frederic Vanderveken,Adriaan Van Gerven
Group Stage,Open,Group C,1,Single game,Belgian Fries,Gal&rian,Belgian Fries,15,6,,,,,joeri vlassaks,Gauthier Vandamme,auspert thorgal,Monfort Florian
Group Stage,Open,Group C,1,Single game,Jurassic hammer,Spikachu,Jurassic hammer,15,12,,,,,Tim van Herreweghe,Frederik Severeyns,Steffen Schraeyen,Alexis Remeysen
Group Stage,Open,Group D,1,Single game,Acenation,Foottouch in the Birkenstock,Foottouch in the Birkenstock,10,15,,,,,Pieter De Pauw,Jannes De Meyer,Lukas Donovan,Birk Warnecke
Group Stage,Open,Group D,1,Single game,Diamond Foxes💎🦊,Jurassic Spike,Diamond Foxes💎🦊,15,10,,,,,Igor Jottrand,Wout Declercq,Nicolas Manneback,Yuan Tjiam
Group Stage,Open,Group E,1,Single game,Claviculae Fractura,Pottestampers,Claviculae Fractura,15,4,,,,,Jurre Baguet,Fre Eskens,Chris Timmerman,Katrien Zeuwts
Group Stage,Open,Group E,1,Single game,The sneaky bastards,De browkes,The sneaky bastards,15,7,,,,,Maëlig Potiau,Gilles Hublet,Jannes Moons,Kasper Willems
Group Stage,Open,Group E,1,Single game,HK Macha,Boom bros,HK Macha,17,15,,,,,mathias genoe,Charles Blaton,Mats Thysens,wout thysens
Group Stage,Open,Group A,2,Single game,The Legends,The Authentic Liège Lions,The Legends,15,11,,,,,Jonas Jacquemijns,Yosha Vandaele,Hugo Lebeaupin,Gilles Talmasse
Group Stage,Open,Group A,2,Single game,2Guys1Spike,Axelera,2Guys1Spike,15,3,,,,,Xander Fieuws,Rinus Dehertefelt,Jonas Doevenspeck,Nazareno Bruschi
Group Stage,Open,Group B,2,Single game,No Fly Bears,Spice ball,No Fly Bears,15,2,,,,,Jorn neyens,Frederik Theunis,Frederic Vanderveken,Adriaan Van Gerven
Group Stage,Open,Group B,2,Single game,25.02,Ballbenders,25.02,15,3,,,,,Elise Van der Stichelen,Charlotte Bruns,Tibe Vanneerveldt,Yarni Ricour
Group Stage,Open,Group C,2,Single game,Belgian Fries,Spikachu,Belgian Fries,15,7,,,,,joeri vlassaks,Gauthier Vandamme,Steffen Schraeyen,Alexis Remeysen
Group Stage,Open,Group C,2,Single game,From Bologna to Cologne,Gal&rian,From Bologna to Cologne,15,7,,,,,David Ullinger,Leonardo Travasoni,auspert thorgal,Monfort Florian
Group Stage,Open,Group D,2,Single game,Acenation,Jurassic Spike,Acenation,15,11,,,,,Pieter De Pauw,Jannes De Meyer,Nicolas Manneback,Yuan Tjiam
Group Stage,Open,Group D,2,Single game,Les Poulettes,Foottouch in the Birkenstock,Foottouch in the Birkenstock,6,15,,,,,Adrien Cretin,Marie-Alexia Teisseyre,Lukas Donovan,Birk Warnecke
Group Stage,Open,Group E,2,Single game,Claviculae Fractura,De browkes,Claviculae Fractura,15,2,,,,,Jurre Baguet,Fre Eskens,Jannes Moons,Kasper Willems
Group Stage,Open,Group E,2,Single game,The sneaky bastards,HK Macha,The sneaky bastards,15,5,,,,,Maëlig Potiau,Gilles Hublet,mathias genoe,Charles Blaton
Group Stage,Open,Group E,2,Single game,Boom bros,Pottestampers,Boom bros,15,4,,,,,Mats Thysens,wout thysens,Chris Timmerman,Katrien Zeuwts
Group Stage,Open,Group A,3,Single game,The Legends,2Guys1Spike,The Legends,15,9,,,,,Jonas Jacquemijns,Yosha Vandaele,Xander Fieuws,Rinus Dehertefelt
Group Stage,Open,Group A,3,Single game,Allesch Kapoedt,Axelera,Allesch Kapoedt,15,5,,,,,jana vandesijpe,Riet D'hoore,Jonas Doevenspeck,Nazareno Bruschi
Group Stage,Open,Group B,3,Single game,No Fly Bears,25.02,No Fly Bears,15,6,,,,,Jorn neyens,Frederik Theunis,Elise Van der Stichelen,Charlotte Bruns
Group Stage,Open,Group B,3,Single game,Brandende Put,Ballbenders,Brandende Put,15,8,,,,,Stijn Van den Branden,Kenneth Put,Tibe Vanneerveldt,Yarni Ricour
Group Stage,Open,Group C,3,Single game,Belgian Fries,From Bologna to Cologne,Belgian Fries,15,12,,,,,joeri vlassaks,Gauthier Vandamme,David Ullinger,Leonardo Travasoni
Group Stage,Open,Group C,3,Single game,Jurassic hammer,Gal&rian,Gal&rian,12,15,,,,,Tim van Herreweghe,Frederik Severeyns,auspert thorgal,Monfort Florian
Group Stage,Open,Group D,3,Single game,Acenation,Les Poulettes,Les Poulettes,12,15,,,,,Pieter De Pauw,Jannes De Meyer,Adrien Cretin,Marie-Alexia Teisseyre
