Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Groups,Open Contender,Group A,1,Single game,Pour Willigram,La salade de la truffade,Pour Willigram,15,6,,,,,Clément Martin-Gougenheim,Auxence Clark,Vianney Couturier,Florian Pernollet
Groups,Open Contender,Group A,1,Single game,ZOOMERS 🤌🏽,Les Gabelous,ZOOMERS 🤌🏽,15,7,,,,,Aimeric Vinas,Paul-Victor Macron,Gabriel Viala,Louis Feller
Groups,Open Contender,Group B,1,Single game,Camille pose ce chocolat!,Team parkoeur,Camille pose ce chocolat!,15,6,,,,,Remi Salles,Titouan Alliod,Laura lavens,Teo Maitrot
Groups,Open Contender,Group B,1,Single game,Yes man,MTP,Yes man,15,8,,,,,William Combe,Simon Chervin,Gautier Pollet-Villard,Robin Richard
Groups,Open Contender,Group C,1,Single game,Ericoco & Ramzyzy,Namdo Team,Ericoco & Ramzyzy,15,6,,,,,corentin chambost,Aurélien CHAULET,Sullivan BOB,Matthieu Dulin
Groups,Open Contender,Group C,1,Single game,BFC,Les arbres bleus,BFC,15,6,,,,,Romain Angelot,rudy toussaint,max gug,Dylan Begrand
Groups,Open Contender,Group D,1,Single game,surirere,Drôme Roundnet,surirere,15,6,,,,,Marius Snoeck,Victor Augelet,Yannick BERNAD,Rémi Lapierre
Groups,Open Contender,Group D,1,Single game,Les acharnés,riz à la tomate,Les acharnés,15,9,,,,,Vincent SIRVIN,Severin Labit,thomas brossard,quentin henry
Groups,Open Contender,Group E,1,Single game,Nom d’une poule,Les BBLG,Nom d’une poule,15,6,,,,,Maxime Dumargne,Aymeric Sandoz,Baptiste BESSON,Léo Guinand
Groups,Open Contender,Group E,1,Single game,Switch N Flick,Les Pros de l'à peu près,Switch N Flick,15,6,,,,,Mathis Williame,Tom Callen,Didier Franque,Gaël Génard
Groups,Open Contender,Group F,1,Single game,Roundnet +33602320326,Tropical,Roundnet +33602320326,15,6,,,,,Yanis Bouchemoua,karim lahoud,Thomas  Baga,Nathan Haury
Groups,Open Contender,Group F,1,Single game,Wasspierateur,Omelette Chorizo,Wasspierateur,15,10,,,,,Pierre Breton,Antoine Wasselin,Maxime Pitault,Antoine Fraizier
Groups,Open Contender,Group G,1,Single game,Team BDP,Nepaly Style,Team BDP,15,7,,,,,Etienne Lafond,Kevin Manitch,Valentin Roumegoux,Pierre Collin
Groups,Open Contender,Group G,1,Single game,Les fausses Grenobloises,Ben & Vans,Les fausses Grenobloises,15,11,,,,,Emeline Lauzier,Sarah Martinez,Benjamin Hay,Evans Yeung
Groups,Open Contender,Group A,2,Single game,Pour Willigram,Les Gabelous,Pour Willigram,15,6,,,,,Clément Martin-Gougenheim,Auxence Clark,Gabriel Viala,Louis Feller
Groups,Open Contender,Group A,2,Single game,ZOOMERS 🤌🏽,La salade de la truffade,ZOOMERS 🤌🏽,15,13,,,,,Aimeric Vinas,Paul-Victor Macron,Vianney Couturier,Florian Pernollet
Groups,Open Contender,Group B,2,Single game,Camille pose ce chocolat!,MTP,Camille pose ce chocolat!,15,11,,,,,Remi Salles,Titouan Alliod,Gautier Pollet-Villard,Robin Richard
Groups,Open Contender,Group B,2,Single game,Yes man,Team parkoeur,Yes man,15,7,,,,,William Combe,Simon Chervin,Laura lavens,Teo Maitrot
Groups,Open Contender,Group C,2,Single game,Ericoco & Ramzyzy,Les arbres bleus,Ericoco & Ramzyzy,15,6,,,,,corentin chambost,Aurélien CHAULET,max gug,Dylan Begrand
Groups,Open Contender,Group C,2,Single game,BFC,Namdo Team,BFC,15,10,,,,,Romain Angelot,rudy toussaint,Sullivan BOB,Matthieu Dulin
Groups,Open Contender,Group D,2,Single game,surirere,riz à la tomate,surirere,15,6,,,,,Marius Snoeck,Victor Augelet,thomas brossard,quentin henry
Groups,Open Contender,Group D,2,Single game,Les acharnés,Drôme Roundnet,Les acharnés,15,8,,,,,Vincent SIRVIN,Severin Labit,Yannick BERNAD,Rémi Lapierre
Groups,Open Contender,Group E,2,Single game,Nom d’une poule,Les Pros de l'à peu près,Nom d’une poule,15,6,,,,,Maxime Dumargne,Aymeric Sandoz,Didier Franque,Gaël Génard
Groups,Open Contender,Group E,2,Single game,Switch N Flick,Les BBLG,Switch N Flick,15,9,,,,,Mathis Williame,Tom Callen,Baptiste BESSON,Léo Guinand
Groups,Open Contender,Group F,2,Single game,Roundnet +33602320326,Omelette Chorizo,Roundnet +33602320326,15,12,,,,,Yanis Bouchemoua,karim lahoud,Maxime Pitault,Antoine Fraizier
Groups,Open Contender,Group F,2,Single game,Wasspierateur,Tropical,Wasspierateur,15,7,,,,,Pierre Breton,Antoine Wasselin,Thomas  Baga,Nathan Haury
Groups,Open Contender,Group G,2,Single game,Team BDP,Ben & Vans,Team BDP,15,6,,,,,Etienne Lafond,Kevin Manitch,Benjamin Hay,Evans Yeung
Groups,Open Contender,Group G,2,Single game,Les fausses Grenobloises,Nepaly Style,Les fausses Grenobloises,15,10,,,,,Emeline Lauzier,Sarah Martinez,Valentin Roumegoux,Pierre Collin
Groups,Open Contender,Group A,3,Single game,Pour Willigram,ZOOMERS 🤌🏽,Pour Willigram,15,11,,,,,Clément Martin-Gougenheim,Auxence Clark,Aimeric Vinas,Paul-Victor Macron
Groups,Open Contender,Group A,3,Single game,Les Gabelous,La salade de la truffade,La salade de la truffade,5,15,,,,,Gabriel Viala,Louis Feller,Vianney Couturier,Florian Pernollet
Groups,Open Contender,Group B,3,Single game,Camille pose ce chocolat!,Yes man,Camille pose ce chocolat!,15,11,,,,,Remi Salles,Titouan Alliod,William Combe,Simon Chervin
