Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Contender,Group A,1,Single game,Drim Tiiiique,[BUS] Els Dracs,Drim Tiiiique,21,18,,,,,Etienne Lafond,Jérôme RENIMEL,Kevin Manitch,Aimeric Vinas
Group Stage,Open Contender,Group B,1,Single game,Drift Kings,Don Dada FlickTape,Don Dada FlickTape,11,15,,,,,Auxence Clark,Rémi Salles,Jules Baudry,Louen Previtali
Group Stage,Open Contender,Group B,1,Single game,Magniflicks 3.0,Cèdre doux,Magniflicks 3.0,15,8,,,,,Paul Halphen,Clément Martin-Gougenheim,karim lahoud,Paul Heintzé
Group Stage,Open Contender,Group C,1,Single game,En sync,Muy Español,En sync,15,6,,,,,Clark Marshall,Robin Florinda,Paul Volle,Topias Zein
Group Stage,Open Contender,Group C,1,Single game,061,Dive guys 🤿,061,15,11,,,,,Antoine Burgaud,Oussama Tchita,Lucas Cornut,Titouan Alliod
Group Stage,Open Contender,Group D,1,Single game,Pour sophie,Bro or no?,Pour sophie,21,11,,,,,Dorian Améziane,Louis Mareschal,Olivier Saunier,Alexandre Thiollière
Group Stage,Open Contender,Group E,1,Single game,Misty Moonshot,Un p'tit truc en B.U.S.,Misty Moonshot,21,4,,,,,Pierre Lecrosnier,Théo Vanh Hemelryck,Bryan Rodon,Alec Gautier
Group Stage,Open Contender,Group F,1,Single game,Lekipeeeee,Dijon-Ferrand,Lekipeeeee,15,6,,,,,Marius Snoeck,Hugo Lacombe,rudy toussaint,Jean Kervella
Group Stage,Open Contender,Group F,1,Single game,Roundnet Palombie,Pâté Limousin,Roundnet Palombie,15,12,,,,,aymeric sandoz,Yanis Bouchemoua,Alexandre ROLLOIS,Maxime Dumargne
Group Stage,Open Contender,Group A,2,Single game,Drim Tiiiique,Les truffades,Les truffades,16,21,,,,,Etienne Lafond,Jérôme RENIMEL,Romain Chaulet,Aurélien CHAULET
