Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Contender,Group A,1,Single game,Pour 2,Pâté Limousin,Pour 2,15,9,,,,,Louis Mareschal,Hugo Lacombe,Maxime Dumargne,Alexandre ROLLOIS
Group Stage,Open Contender,Group B,1,Single game,Pour Combien ?,C’est pas clair,Pour Combien ?,17,15,,,,,Robin Florinda,Dorian Améziane,Olivier Saunier,Benjamin LIVET
Group Stage,Open Contender,Group B,1,Single game,Câlin 🫂,29 Oldies,Câlin 🫂,15,6,,,,,Marius Snoeck,Lancelot Touzé,Pierre Hachard,Benoit Ngn
Group Stage,Open Contender,Group D,1,Single game,Les truffades,Prauloc,Les truffades,15,11,,,,,Romain Chaulet,Aurélien CHAULET,Victor Augelet,Remi Salles
Group Stage,Open Contender,Group D,1,Single game,Cold Vains,Cèdre doux,Cèdre doux,13,15,,,,,Frederik Theunis,Irian Baert,Paul Heintzé,karim lahoud
Group Stage,Open Contender,Group E,1,Single game,Misty Moonshot,RAPHALE,Misty Moonshot,15,12,,,,,Pierre Lecrosnier,Théo Vanh Hemelryck,Raphaël Chauvet,Alexandre Thiollière
Group Stage,Open Contender,Group E,1,Single game,Saumon fumés,Can't beat em join em,Saumon fumés,15,10,,,,,Inès Paysan,Aymeric Sandoz,Guillaume Van Eeckhaute,wout thysens
Group Stage,Open Contender,Group C,1,Single game,Extra Tackle,Mimoon Galactics,Extra Tackle,15,13,,,,,Thibaud Brun,Ryan DANEKAS,Paul Gheeraert,Grégoire Adnet
Group Stage,Open Contender,Group C,1,Single game,Areytez nous !,Pour Antoine,Areytez nous !,15,11,,,,,Etienne Lafond,Clément Rey,Oussama Tchita,Gilles Hublet
Group Stage,Open Contender,Group F,1,Single game,Euh.,[BUS] Els Dracs,[BUS] Els Dracs,10,15,,,,,Victor Cambois,Samy Caux-Ramon,Kevin Manitch,Aimeric Vinas
Group Stage,Open Contender,Group F,1,Single game,Uno Reverse,Dive guys 🤿,Uno Reverse,15,8,,,,,Daan Paes,Martijn Paes,Lucas Cornut,Titouan Alliod
Group Stage,Open Contender,Group A,2,Single game,Pour 2,Magniflicks 3.0,Pour 2,15,7,,,,,Louis Mareschal,Hugo Lacombe,Clément Martin-Gougenheim,Paul Halphen
Group Stage,Open Contender,Group B,2,Single game,Pour Combien ?,29 Oldies,Pour Combien ?,15,8,,,,,Robin Florinda,Dorian Améziane,Pierre Hachard,Benoit Ngn
Group Stage,Open Contender,Group B,2,Single game,Câlin 🫂,C’est pas clair,Câlin 🫂,15,10,,,,,Marius Snoeck,Lancelot Touzé,Olivier Saunier,Benjamin LIVET
Group Stage,Open Contender,Group D,2,Single game,Les truffades,Cèdre doux,Cèdre doux,11,15,,,,,Romain Chaulet,Aurélien CHAULET,Paul Heintzé,karim lahoud
Group Stage,Open Contender,Group D,2,Single game,Cold Vains,Prauloc,Cold Vains,15,13,,,,,Frederik Theunis,Irian Baert,Victor Augelet,Remi Salles
