Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage 1,Open,Group A,1,Single game,Mark Attack,El Camarote,Mark Attack,15,3,,,,,Marcos Campos,Marco Navío Ruiz,Victor Jofre,Víctor Caleya
Group Stage 1,Open,Group A,1,Single game,🤜🏻We Love Handjobs🤛🏻,Htz Rules,🤜🏻We Love Handjobs🤛🏻,15,11,,,,,Joker SG,Gabriel Luna Soriano,Marcos Nieto (Rony Macarrony),Jesús Molina
Group Stage 1,Open,Group A,1,Single game,TaberPAPIS,Que alguien apague la calefacción,TaberPAPIS,15,5,,,,,Ivan Alejos García,Miguel Alvarez Pablos,Ugo de Checchi,David Diaz Ruiz
Group Stage 1,Open,Group B,1,Single game,Cheesy Cheese,Ebanistería Pérez,Cheesy Cheese,15,4,,,,,Marcos Bermudez Muratel,Guillermo Cuesta Fuentes,Iván Gómez,David Pérez
Group Stage 1,Open,Group B,1,Single game,Ventipico,Carambolas,Ventipico,15,12,,,,,Christopher Behrmann,Alejandro Rodríguez Soldevila (Álex),Alvaro de Diego Diez,Oscar llano jimenez
Group Stage 1,Open,Group C,1,Single game,Egea knocks,Spikroquetas,Egea knocks,15,4,,,,,Manuel Egea Rodenas,David Egea,Ben Serota,MIGUEL ROA RUIZ
Group Stage 1,Open,Group C,1,Single game,Roundnet Molins,Los Cutermarans,Roundnet Molins,15,8,,,,,Xavi Fermoso,Ernest Cardona Plantada,Bernardo Maya,Chris Arroyo
Group Stage 1,Open,Group D,1,Single game,[ESP] Bermejo/Forschner,Arganzuela Rules,[ESP] Bermejo/Forschner,15,11,,,,,Matias Bermejo Pasetti,Erik Borja Forschner Mitre,Diego De La Fuente,Fabian Gimenez Almansa
Group Stage 1,Open,Group D,1,Single game,CAT - Gonzalez/Garcia,🚁 Palicóptero 🚁,CAT - Gonzalez/Garcia,15,11,,,,,Oriol Gonzalez,Tavo Garcia,Sadegh Imani,Gerard Sardà
Group Stage 1,Open,Group A,2,Single game,Mark Attack,Htz Rules,Mark Attack,15,7,,,,,Marcos Campos,Marco Navío Ruiz,Marcos Nieto (Rony Macarrony),Jesús Molina
