Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Pro German,Group A,1,Single game,Rogue,FL,Rogue,21,9,,,,,Ryan Marino,Thomas Hamilton,Aleks Essen,David Gonzales
Pool Play,Pro German,Group A,1,Single game,Basketball Purity,Dry Heat >,Basketball Purity,21,15,,,,,Jack Bushart,Joey Reynolds,Kalin Morgan,Thomas Maloney
Pool Play,Pro German,Group B,1,Single game,Bart Harley Jarvis,Cha Cha Slide,Bart Harley Jarvis,21,10,,,,,Ryan Gross,Clark Marshall,Brad Yates,Levi Rogers
Pool Play,Pro German,Group B,1,Single game,Wideman/ Kir,Super Awesome Spikers,Super Awesome Spikers,21,23,,,,,Nick Wideman,Calyn Kir,Chris Kaptur,Max Fiebelkorn
Pool Play,Pro German,Group C,1,Single game,GFD Grass Fed,CRO Double McTwist,GFD Grass Fed,21,11,,,,,Matthew Cole,Grant Klapwijk,Kyle Jeung,Jared Ang
Pool Play,Pro German,Group C,1,Single game,Blind Spot,Tickle Me Elmo,Blind Spot,21,12,,,,,Corey Weiss,Maxwell Gunneson,Austin Ha,Shane Soto
Pool Play,Pro German,Group D,1,Single game,Critical Hit,FCR BHAD Boys,Critical Hit,21,11,,,,,Vincent Mathieu,Justin Barr,Nethaniel Gabriel,Joey Renaud
Pool Play,Pro German,Group D,1,Single game,GFD Shorter & Taller,CRO Fieldhousers,GFD Shorter & Taller,21,12,,,,,Caleb Shorter,Andrew Sullivan,Ben Pernfuss,Nicholas Puopolo
Pool Play,Pro German,Group D,1,Single game,Josh/Nick,Munch,Josh/Nick,21,17,,,,,Joshua Hachey,Nick Evanko,Gabriel Skaggs,Josiah McKinney
Pool Play,Pro German,Group E,1,Single game,Swamp Donkeys,Primal,Swamp Donkeys,21,18,,,,,Emerson Dean,Etienne Cote,Micah Bouman,Ruben Zapata
Pool Play,Pro German,Group E,1,Single game,Those guys,Mass on Sunday,Those guys,21,13,,,,,Matthew Burrows,Rendall Weaver,Justin Kehoe,Bradley Clark
Pool Play,Pro German,Group E,1,Single game,Skill Issue,Uossss,Skill Issue,21,13,,,,,Josh Hutko,Adam Porter,David Rowlands,Sam Mccune
