Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,STS Pro,Group A,1,Single game,Numb,Bot House,Numb,15,12,,,,,Paq Clifford,Kieran Rose,Owen Lippman,West Peterson
Group Stage,STS Pro,Group A,1,Single game,V⚡️RGA,Extra,Extra,10,15,,,,,Dawson Morgan,Caleb Cummings,Emerson Dean,Jé Gagnon
Group Stage,STS Pro,Group B,1,Single game,Insystem,ORTHODOX,Insystem,15,11,,,,,Etienne Cote,Blake Bosak,Clifford Amadeo LeVeque,Jack Bushart
Group Stage,STS Pro,Group B,1,Single game,J.A.R.V.I.S.,TRP Spotless,TRP Spotless,12,15,,,,,Connor Nelson,Josh Fragiacomo,Joe Bondi,Ryan Gross
Group Stage,STS Pro,Group C,1,Single game,Tilted,Shaytar/Wideman,Tilted,15,10,,,,,Justin Barr,Will Picone,Justin Shaytar,Nick Wideman
Group Stage,STS Pro,Group C,1,Single game,Ultra Instinct,Degenerates,Ultra Instinct,15,9,,,,,Gabriel Finocchi,Thomas Hamilton,Thomas Hoffman,Jack coolbaugh
Group Stage,STS Pro,Group D,1,Single game,Kingdom Come,hotballers,Kingdom Come,17,15,,,,,Grant Klapwijk,Matthew Cole,Tyler Babin,Joshua Hachey
Group Stage,STS Pro,Group D,1,Single game,Cold Sweep,foolish,Cold Sweep,15,13,,,,,Maxime Prince,Vincent Mathieu,Sunny Gu,Lucas Pruett
Group Stage,STS Pro,Group A,2,Single game,Numb,Extra,Numb,21,20,,,,,Paq Clifford,Kieran Rose,Emerson Dean,Jé Gagnon
Group Stage,STS Pro,Group A,2,Single game,V⚡️RGA,Bot House,V⚡️RGA,15,13,,,,,Dawson Morgan,Caleb Cummings,Owen Lippman,West Peterson
Group Stage,STS Pro,Group B,2,Single game,Insystem,TRP Spotless,TRP Spotless,12,15,,,,,Etienne Cote,Blake Bosak,Joe Bondi,Ryan Gross
Group Stage,STS Pro,Group B,2,Single game,J.A.R.V.I.S.,ORTHODOX,J.A.R.V.I.S.,15,7,,,,,Connor Nelson,Josh Fragiacomo,Clifford Amadeo LeVeque,Jack Bushart
Group Stage,STS Pro,Group C,2,Single game,Tilted,Degenerates,Tilted,16,14,,,,,Justin Barr,Will Picone,Thomas Hoffman,Jack coolbaugh
