Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Pro,Group A,1,Single game,The Queens,Boomers,The Queens,21,5,,,,,Etienne Cote,Maxime Prince,Tyler Martin,Kyle Ebersol
Pool Play,Open Pro,Group A,1,Single game,Daly Dreidel Spins,Front Pocket,Daly Dreidel Spins,21,5,,,,,Javier Vidal,Alex Daly,James Halpin,Michael Tracey
Pool Play,Open Pro,Group B,1,Single game,GFD Monopoly Go,Coop has a reverse,GFD Monopoly Go,21,11,,,,,Grant Klapwijk,Andrew Sullivan,Michael Nelson,Cooper Pennell
Pool Play,Open Pro,Group B,1,Single game,Tommy Gun,ON Que Fanboys,Tommy Gun,21,13,,,,,Maxwell Gunneson,Tommy Drake,Olivier Bernard,Peter Lam
Pool Play,Open Pro,Group C,1,Single game,Picone/Larson,Santa's Comin to town,Picone/Larson,21,8,,,,,Will Picone,Cade Larson,AJ Yoon,Evan Hopkins
Pool Play,Open Pro,Group C,1,Single game,OF Stick Pics,Pecan Pralines,Pecan Pralines,18,21,,,,,Thomas Hoffman,Demitri Forand,Jack W,Aleks Essen
Pool Play,Open Pro,Group C,1,Single game,Your Bàba's,ALLLLEZZZZZ KARRRRLLL,ALLLLEZZZZZ KARRRRLLL,9,21,,,,,Michael Lin,Dennis Wei,Jé Gagnon,Karl Pominville
Pool Play,Open Pro,Group D,1,Single game,LL Fairly Odd,The Beauty and The Beast of the East,LL Fairly Odd,21,8,,,,,Matt Spolarich,Gabriel Finocchi,Noah Vasington,Matthew Tiongko
Pool Play,Open Pro,Group D,1,Single game,Spin Cycle,Mario & Donkey Kong,Mario & Donkey Kong,17,21,,,,,Lucas Pruett,Joey Maichen,Jean-Philippe Miller-Dussault,Anthony St-Martin
Pool Play,Open Pro,Group D,1,Single game,Sick Nasty,Daudelin/Esposo,Sick Nasty,21,8,,,,,alex stan,Joel Lapp,Tim Daudelin,Jon Esposo
Pool Play,Open Pro,Group E,1,Single game,Doubt It,Low Contender,Doubt It,21,11,,,,,Brendan Ferreira,Owen Lippman,Dylan Noker,Andrew Luque
Pool Play,Open Pro,Group E,1,Single game,Left Twix,Windsor Wonderland,Left Twix,21,16,,,,,Samuel Corey,Kurt Lannetti,Drew Weaver,Riley Nassour
