Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Pro German,Group A,1,Single game,Kingdom Come,PROUD FATHERS,Kingdom Come,21,9,,,,,Matthew Cole,Grant Klapwijk,David Louis,Brian Childs
Group Stage,Pro German,Group A,1,Single game,Quality Service,Fringe premier,Quality Service,21,14,,,,,Jacob Payer,Andrew Kosche,Kade Janikula,kevin cadle
Group Stage,Pro German,Group B,1,Single game,TRP Sauucy,Pocket Aces,TRP Sauucy,21,15,,,,,Christian Bennett,Rahul Murthy,jacob gansle,Nathan Garcia
Group Stage,Pro German,Group B,1,Single game,HM01,Buzzer Beaters,HM01,21,14,,,,,Luke Mowry,Caleb Cummings,Nolan Marolf,Jack Granger
Group Stage,Pro German,Group B,1,Single game,Kyan Pepper,Let’s go golfing,Kyan Pepper,21,18,,,,,Luis Orozco,Kyan Kornfeld,Dylan Bricker,Brandon Arledge
Group Stage,Pro German,Group C,1,Single game,Second Bullet,Watermelon,Second Bullet,22,20,,,,,Tyler Fernandez,fredric hinkle,Iason Hayes,Gavin Lotts
Group Stage,Pro German,Group C,1,Single game,Lazy,PORKCHOP,Lazy,21,15,,,,,Luke Marshall,Cade Larson,Felipe Martinez,James Ledbetter
Group Stage,Pro German,Group C,1,Single game,BenDu Over,Serveball Semites,Serveball Semites,8,21,,,,,Benjamin Banuelos,Michael Du,Noah Beinart,Josh Weinbach
Group Stage,Pro German,Group A,2,Single game,Kingdom Come,Fringe premier,Kingdom Come,21,15,,,,,Matthew Cole,Grant Klapwijk,Kade Janikula,kevin cadle
Group Stage,Pro German,Group A,2,Single game,TRP Fleet Footwork,PROUD FATHERS,TRP Fleet Footwork,22,20,,,,,Ethan McWhirter,Matthew Burrows,David Louis,Brian Childs
Group Stage,Pro German,Group B,2,Single game,TRP Sauucy,Buzzer Beaters,TRP Sauucy,21,8,,,,,Christian Bennett,Rahul Murthy,Nolan Marolf,Jack Granger
Group Stage,Pro German,Group B,2,Single game,HM01,Kyan Pepper,HM01,23,21,,,,,Luke Mowry,Caleb Cummings,Luis Orozco,Kyan Kornfeld
Group Stage,Pro German,Group B,2,Single game,Let’s go golfing,Pocket Aces,Let’s go golfing,21,18,,,,,Dylan Bricker,Brandon Arledge,jacob gansle,Nathan Garcia
Group Stage,Pro German,Group C,2,Single game,Second Bullet,PORKCHOP,Second Bullet,21,12,,,,,Tyler Fernandez,fredric hinkle,Felipe Martinez,James Ledbetter
Group Stage,Pro German,Group C,2,Single game,Lazy,BenDu Over,Lazy,21,11,,,,,Luke Marshall,Cade Larson,Benjamin Banuelos,Michael Du
Group Stage,Pro German,Group C,2,Single game,Serveball Semites,Watermelon,Serveball Semites,21,18,,,,,Noah Beinart,Josh Weinbach,Iason Hayes,Gavin Lotts
Group Stage,Pro German,Group A,3,Single game,Kingdom Come,TRP Fleet Footwork,Kingdom Come,21,17,,,,,Matthew Cole,Grant Klapwijk,Ethan McWhirter,Matthew Burrows
Group Stage,Pro German,Group A,3,Single game,Quality Service,PROUD FATHERS,PROUD FATHERS,22,24,,,,,Jacob Payer,Andrew Kosche,David Louis,Brian Childs
Group Stage,Pro German,Group B,3,Single game,TRP Sauucy,Let’s go golfing,TRP Sauucy,21,15,,,,,Christian Bennett,Rahul Murthy,Dylan Bricker,Brandon Arledge
Group Stage,Pro German,Group B,3,Single game,HM01,Pocket Aces,HM01,21,6,,,,,Luke Mowry,Caleb Cummings,jacob gansle,Nathan Garcia
Group Stage,Pro German,Group B,3,Single game,Kyan Pepper,Buzzer Beaters,Kyan Pepper,21,15,,,,,Luis Orozco,Kyan Kornfeld,Nolan Marolf,Jack Granger
Group Stage,Pro German,Group C,3,Single game,Second Bullet,Serveball Semites,Second Bullet,21,14,,,,,Tyler Fernandez,fredric hinkle,Noah Beinart,Josh Weinbach
Group Stage,Pro German,Group C,3,Single game,Lazy,Watermelon,Lazy,21,16,,,,,Luke Marshall,Cade Larson,Iason Hayes,Gavin Lotts
Group Stage,Pro German,Group C,3,Single game,BenDu Over,PORKCHOP,BenDu Over,21,16,,,,,Benjamin Banuelos,Michael Du,Felipe Martinez,James Ledbetter
Group Stage,Pro German,Group A,4,Single game,Quality Service,TRP Fleet Footwork,TRP Fleet Footwork,17,21,,,,,Jacob Payer,Andrew Kosche,Ethan McWhirter,Matthew Burrows
Group Stage,Pro German,Group A,4,Single game,Fringe premier,PROUD FATHERS,Fringe premier,21,18,,,,,Kade Janikula,kevin cadle,David Louis,Brian Childs
Group Stage,Pro German,Group B,4,Single game,TRP Sauucy,Kyan Pepper,Kyan Pepper,19,21,,,,,Christian Bennett,Rahul Murthy,Luis Orozco,Kyan Kornfeld
Group Stage,Pro German,Group B,4,Single game,HM01,Let’s go golfing,HM01,21,15,,,,,Luke Mowry,Caleb Cummings,Dylan Bricker,Brandon Arledge
Group Stage,Pro German,Group B,4,Single game,Buzzer Beaters,Pocket Aces,Pocket Aces,23,25,,,,,Nolan Marolf,Jack Granger,jacob gansle,Nathan Garcia
Group Stage,Pro German,Group C,4,Single game,Second Bullet,BenDu Over,Second Bullet,21,16,,,,,Tyler Fernandez,fredric hinkle,Benjamin Banuelos,Michael Du
Group Stage,Pro German,Group C,4,Single game,Lazy,Serveball Semites,Serveball Semites,19,21,,,,,Luke Marshall,Cade Larson,Noah Beinart,Josh Weinbach
Group Stage,Pro German,Group C,4,Single game,PORKCHOP,Watermelon,Watermelon,15,21,,,,,Felipe Martinez,James Ledbetter,Iason Hayes,Gavin Lotts
Group Stage,Pro German,Group A,5,Single game,Kingdom Come,Quality Service,Quality Service,16,21,,,,,Matthew Cole,Grant Klapwijk,Jacob Payer,Andrew Kosche
Group Stage,Pro German,Group A,5,Single game,TRP Fleet Footwork,Fringe premier,TRP Fleet Footwork,23,21,,,,,Ethan McWhirter,Matthew Burrows,Kade Janikula,kevin cadle
Group Stage,Pro German,Group B,5,Single game,TRP Sauucy,HM01,TRP Sauucy,21,17,,,,,Christian Bennett,Rahul Murthy,Luke Mowry,Caleb Cummings
Group Stage,Pro German,Group B,5,Single game,Kyan Pepper,Pocket Aces,Kyan Pepper,21,13,,,,,Luis Orozco,Kyan Kornfeld,jacob gansle,Nathan Garcia
Group Stage,Pro German,Group B,5,Single game,Let’s go golfing,Buzzer Beaters,Let’s go golfing,21,14,,,,,Dylan Bricker,Brandon Arledge,Nolan Marolf,Jack Granger
Group Stage,Pro German,Group C,5,Single game,Second Bullet,Lazy,Lazy,21,23,,,,,Tyler Fernandez,fredric hinkle,Luke Marshall,Cade Larson
Group Stage,Pro German,Group C,5,Single game,BenDu Over,Watermelon,Watermelon,18,21,,,,,Benjamin Banuelos,Michael Du,Iason Hayes,Gavin Lotts
Group Stage,Pro German,Group C,5,Single game,Serveball Semites,PORKCHOP,Serveball Semites,21,16,,,,,Noah Beinart,Josh Weinbach,Felipe Martinez,James Ledbetter
Bracket Stage,Pro German,Bracket A,Round of 32,Best of 3,PORKCHOP,Buzzer Beaters,Buzzer Beaters,0,1,0,1,,,Felipe Martinez,James Ledbetter,Nolan Marolf,Jack Granger
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,TRP Sauucy,Buzzer Beaters,TRP Sauucy,21,13,21,16,,,Christian Bennett,Rahul Murthy,Nolan Marolf,Jack Granger
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,HM01,Pocket Aces,HM01,21,16,21,16,,,Luke Mowry,Caleb Cummings,jacob gansle,Nathan Garcia
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,Kingdom Come,BenDu Over,Kingdom Come,21,14,21,17,,,Matthew Cole,Grant Klapwijk,Benjamin Banuelos,Michael Du
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,Lazy,PROUD FATHERS,Lazy,21,17,19,21,21,16,Luke Marshall,Cade Larson,David Louis,Brian Childs
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,Second Bullet,Fringe premier,Second Bullet,21,15,21,18,,,Tyler Fernandez,fredric hinkle,Kade Janikula,kevin cadle
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,Kyan Pepper,Let’s go golfing,Kyan Pepper,21,13,22,20,,,Luis Orozco,Kyan Kornfeld,Dylan Bricker,Brandon Arledge
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,Serveball Semites,Watermelon,Serveball Semites,21,16,21,16,,,Noah Beinart,Josh Weinbach,Iason Hayes,Gavin Lotts
Bracket Stage,Pro German,Bracket A,Round of 16,Best of 3,TRP Fleet Footwork,Quality Service,TRP Fleet Footwork,21,17,16,21,21,14,Ethan McWhirter,Matthew Burrows,Jacob Payer,Andrew Kosche
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,TRP Sauucy,TRP Fleet Footwork,TRP Sauucy,21,16,21,15,,,Christian Bennett,Rahul Murthy,Ethan McWhirter,Matthew Burrows
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,HM01,Serveball Semites,HM01,21,19,21,18,,,Luke Mowry,Caleb Cummings,Noah Beinart,Josh Weinbach
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,Kingdom Come,Kyan Pepper,Kingdom Come,21,17,21,16,,,Matthew Cole,Grant Klapwijk,Luis Orozco,Kyan Kornfeld
Bracket Stage,Pro German,Bracket A,Quarter-final,Best of 3,Lazy,Second Bullet,Second Bullet,19,21,21,23,,,Luke Marshall,Cade Larson,Tyler Fernandez,fredric hinkle
Bracket Stage,Pro German,Bracket A,Semi-final,Best of 3,TRP Sauucy,Second Bullet,TRP Sauucy,21,16,28,26,,,Christian Bennett,Rahul Murthy,Tyler Fernandez,fredric hinkle
Bracket Stage,Pro German,Bracket A,Semi-final,Best of 3,HM01,Kingdom Come,Kingdom Come,15,21,21,17,18,21,Luke Mowry,Caleb Cummings,Matthew Cole,Grant Klapwijk
Bracket Stage,Pro German,Bracket A,P9: Semi-final,Best of 3,Pocket Aces,Let’s go golfing,Pocket Aces,1,0,1,0,,,jacob gansle,Nathan Garcia,Dylan Bricker,Brandon Arledge
