Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Contender,Group A - GOLD+,1,Single game,NEU Top Dogs,LER,NEU Top Dogs,21,9,,,,,Dan Abrams,Connor Nelson,Kyler Cote,Tyler Stokes
Pool Play,Open Contender,Group A - GOLD+,1,Single game,Cummings/Woolley,Party Fowl,Cummings/Woolley,21,18,,,,,Caleb Cummings,Jake Woolley,Cole Maddox,Kyle Fowler
Pool Play,Open Contender,Group A - GOLD+,1,Single game,Drawing Dead,Naz Reid,Naz Reid,22,24,,,,,Tyler Fernandez,Kieran Rose,Nathan Robertt,Kyan Kornfeld
Pool Play,Open Contender,Group B,1,Single game,spot on,Sam and Bryce,spot on,21,17,,,,,Nick Wideman,Will Ries,Bryce Jacobsen,Sam Clarke
Pool Play,Open Contender,Group B,1,Single game,Ok fire!,Imposters,Imposters,14,21,,,,,David Gonzales,Luke Pennington,James Lamkin,Reece Greer
Pool Play,Open Contender,Group C,1,Single game,Trey's Padres,GOATGENE,Trey's Padres,21,14,,,,,Blake Van Den Top,Solomon Berry,Michael Capobianco,Wesley Tunelius
Pool Play,Open Contender,Group C,1,Single game,Tranzit,Walkie-Talkie,Walkie-Talkie,17,21,,,,,Bradley Clark,Peyton Stack,Jake Young,Jai Parera
Pool Play,Open Contender,Group A - GOLD+,2,Single game,NEU Top Dogs,Party Fowl,Party Fowl,20,22,,,,,Dan Abrams,Connor Nelson,Cole Maddox,Kyle Fowler
Pool Play,Open Contender,Group A - GOLD+,2,Single game,Cummings/Woolley,Drawing Dead,Drawing Dead,16,21,,,,,Caleb Cummings,Jake Woolley,Tyler Fernandez,Kieran Rose
Pool Play,Open Contender,Group A - GOLD+,2,Single game,Naz Reid,LER,Naz Reid,21,13,,,,,Nathan Robertt,Kyan Kornfeld,Kyler Cote,Tyler Stokes
Pool Play,Open Contender,Group B,2,Single game,spot on,Imposters,spot on,21,12,,,,,Nick Wideman,Will Ries,James Lamkin,Reece Greer
Pool Play,Open Contender,Group B,2,Single game,Schpam It,Sam and Bryce,Schpam It,21,17,,,,,Josh Cain,Rafi Moldovsky,Bryce Jacobsen,Sam Clarke
Pool Play,Open Contender,Group C,2,Single game,Trey's Padres,Walkie-Talkie,Walkie-Talkie,21,23,,,,,Blake Van Den Top,Solomon Berry,Jake Young,Jai Parera
Pool Play,Open Contender,Group C,2,Single game,Pop Time,GOATGENE,Pop Time,21,10,,,,,Trey Thompson,Alec Galbo,Michael Capobianco,Wesley Tunelius
Pool Play,Open Contender,Group A - GOLD+,3,Single game,NEU Top Dogs,Naz Reid,NEU Top Dogs,21,9,,,,,Dan Abrams,Connor Nelson,Nathan Robertt,Kyan Kornfeld
Pool Play,Open Contender,Group A - GOLD+,3,Single game,Cummings/Woolley,LER,Cummings/Woolley,21,10,,,,,Caleb Cummings,Jake Woolley,Kyler Cote,Tyler Stokes
Pool Play,Open Contender,Group A - GOLD+,3,Single game,Drawing Dead,Party Fowl,Party Fowl,22,24,,,,,Tyler Fernandez,Kieran Rose,Cole Maddox,Kyle Fowler
Pool Play,Open Contender,Group B,3,Single game,spot on,Schpam It,spot on,21,14,,,,,Nick Wideman,Will Ries,Josh Cain,Rafi Moldovsky
Pool Play,Open Contender,Group B,3,Single game,Ok fire!,Sam and Bryce,Sam and Bryce,18,21,,,,,David Gonzales,Luke Pennington,Bryce Jacobsen,Sam Clarke
Pool Play,Open Contender,Group C,3,Single game,Trey's Padres,Pop Time,Pop Time,20,22,,,,,Blake Van Den Top,Solomon Berry,Trey Thompson,Alec Galbo
Pool Play,Open Contender,Group C,3,Single game,Tranzit,GOATGENE,GOATGENE,12,21,,,,,Bradley Clark,Peyton Stack,Michael Capobianco,Wesley Tunelius
Pool Play,Open Contender,Group A - GOLD+,4,Single game,NEU Top Dogs,Drawing Dead,NEU Top Dogs,21,18,,,,,Dan Abrams,Connor Nelson,Tyler Fernandez,Kieran Rose
Pool Play,Open Contender,Group A - GOLD+,4,Single game,Cummings/Woolley,Naz Reid,Cummings/Woolley,21,9,,,,,Caleb Cummings,Jake Woolley,Nathan Robertt,Kyan Kornfeld
Pool Play,Open Contender,Group A - GOLD+,4,Single game,Party Fowl,LER,Party Fowl,21,8,,,,,Cole Maddox,Kyle Fowler,Kyler Cote,Tyler Stokes
Pool Play,Open Contender,Group B,4,Single game,Ok fire!,Schpam It,Schpam It,14,21,,,,,David Gonzales,Luke Pennington,Josh Cain,Rafi Moldovsky
Pool Play,Open Contender,Group B,4,Single game,Imposters,Sam and Bryce,Imposters,21,11,,,,,James Lamkin,Reece Greer,Bryce Jacobsen,Sam Clarke
Pool Play,Open Contender,Group C,4,Single game,Tranzit,Pop Time,Tranzit,21,17,,,,,Bradley Clark,Peyton Stack,Trey Thompson,Alec Galbo
Pool Play,Open Contender,Group C,4,Single game,Walkie-Talkie,GOATGENE,Walkie-Talkie,21,6,,,,,Jake Young,Jai Parera,Michael Capobianco,Wesley Tunelius
Pool Play,Open Contender,Group A - GOLD+,5,Single game,NEU Top Dogs,Cummings/Woolley,NEU Top Dogs,21,17,,,,,Dan Abrams,Connor Nelson,Caleb Cummings,Jake Woolley
Pool Play,Open Contender,Group A - GOLD+,5,Single game,Drawing Dead,LER,Drawing Dead,21,12,,,,,Tyler Fernandez,Kieran Rose,Kyler Cote,Tyler Stokes
Pool Play,Open Contender,Group A - GOLD+,5,Single game,Naz Reid,Party Fowl,Party Fowl,11,21,,,,,Nathan Robertt,Kyan Kornfeld,Cole Maddox,Kyle Fowler
Pool Play,Open Contender,Group B,5,Single game,spot on,Ok fire!,spot on,21,7,,,,,Nick Wideman,Will Ries,David Gonzales,Luke Pennington
Pool Play,Open Contender,Group B,5,Single game,Schpam It,Imposters,Imposters,17,21,,,,,Josh Cain,Rafi Moldovsky,James Lamkin,Reece Greer
Pool Play,Open Contender,Group C,5,Single game,Trey's Padres,Tranzit,Trey's Padres,21,19,,,,,Blake Van Den Top,Solomon Berry,Bradley Clark,Peyton Stack
Pool Play,Open Contender,Group C,5,Single game,Pop Time,Walkie-Talkie,Pop Time,21,16,,,,,Trey Thompson,Alec Galbo,Jake Young,Jai Parera
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Party Fowl,Ok fire!,Party Fowl,0,-1,21,13,,,Cole Maddox,Kyle Fowler,David Gonzales,Luke Pennington
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,NEU Top Dogs,GOATGENE,NEU Top Dogs,21,11,21,11,,,Dan Abrams,Connor Nelson,Michael Capobianco,Wesley Tunelius
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Cummings/Woolley,Sam and Bryce,Cummings/Woolley,21,17,21,10,,,Caleb Cummings,Jake Woolley,Bryce Jacobsen,Sam Clarke
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Naz Reid,Tranzit,Tranzit,21,10,17,21,19,21,Nathan Robertt,Kyan Kornfeld,Bradley Clark,Peyton Stack
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Drawing Dead,Schpam It,Drawing Dead,21,11,21,9,,,Tyler Fernandez,Kieran Rose,Josh Cain,Rafi Moldovsky
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,LER,Trey's Padres,Trey's Padres,14,21,20,22,,,Kyler Cote,Tyler Stokes,Blake Van Den Top,Solomon Berry
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,spot on,Imposters,spot on,22,20,18,21,21,16,Nick Wideman,Will Ries,James Lamkin,Reece Greer
