Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Contender,Group A (Pro+),1,Single game,J.A.R.V.I.S.,neal love dog🥢🐶🍚,J.A.R.V.I.S.,21,5,,,,,Josh Fragiacomo,Connor Nelson,Joey Reynolds,Neal Bergman
Pool Play,Open Contender,Group A (Pro+),1,Single game,Turf Burn,Fourth Dimension,Turf Burn,21,10,,,,,Kieran Rose,Kyle Fowler,Jake Woolley,Caleb Cummings
Pool Play,Open Contender,Group B,1,Single game,200 Pump,Zero Gravity,200 Pump,21,13,,,,,Andrew Greer,Zach Snover,Garrett Carver,Xande Plaisted
Pool Play,Open Contender,Group B,1,Single game,Bought by Blood,Both My Serves Walked Into a Bar…,Both My Serves Walked Into a Bar…,21,23,,,,,Izayah Gibson,Jackson Wood,Matt Barlow,Remi Prince
Pool Play,Open Contender,Group C,1,Single game,Hinokami Kagura,Bomb Pop Tweas,Hinokami Kagura,21,10,,,,,Ben Savage,Aleks Essen,Josiah Murphy,Adam Prudhomme
Pool Play,Open Contender,Group C,1,Single game,FreeELO,Bowser & Joker mains,FreeELO,21,9,,,,,Clifford Amadeo LeVeque,Nick Evanko,Lazarus Shettell,Alex Tamang
Pool Play,Open Contender,Group C,1,Single game,Clark Marshall,NIL Deal Pending,Clark Marshall,21,18,,,,,Bradley Clark,Grant Marshall,Solomon Berry,Trevor Zaleski
Pool Play,Open Contender,Group D,1,Single game,good.,Uncanny,good.,21,13,,,,,Chandler Hertzler,Taylor Church,Kelly O’Connor,Kaleb Wagner
Pool Play,Open Contender,Group D,1,Single game,The Diamond Dogs,Turbo Team,The Diamond Dogs,21,9,,,,,Bennett Anderson,Reid Pfutzenreuter,Blake Van Den Top,Michael Capobianco
Pool Play,Open Contender,Group D,1,Single game,Silent Chaos,Venenosa,Silent Chaos,21,17,,,,,Bryant Karratti,Kyler Cote,Patricio Duran,Juan Moscoso
Pool Play,Open Contender,Group A (Pro+),2,Single game,J.A.R.V.I.S.,Fourth Dimension,J.A.R.V.I.S.,21,11,,,,,Josh Fragiacomo,Connor Nelson,Jake Woolley,Caleb Cummings
Pool Play,Open Contender,Group A (Pro+),2,Single game,Turf Burn,neal love dog🥢🐶🍚,Turf Burn,21,12,,,,,Kieran Rose,Kyle Fowler,Joey Reynolds,Neal Bergman
Pool Play,Open Contender,Group B,2,Single game,200 Pump,Both My Serves Walked Into a Bar…,200 Pump,21,7,,,,,Andrew Greer,Zach Snover,Matt Barlow,Remi Prince
Pool Play,Open Contender,Group B,2,Single game,Meltdown,Zero Gravity,Zero Gravity,17,21,,,,,Peyton Stack,Nathan Robertt,Garrett Carver,Xande Plaisted
Pool Play,Open Contender,Group C,2,Single game,Hinokami Kagura,Bowser & Joker mains,Hinokami Kagura,21,14,,,,,Ben Savage,Aleks Essen,Lazarus Shettell,Alex Tamang
Pool Play,Open Contender,Group C,2,Single game,FreeELO,Clark Marshall,FreeELO,21,19,,,,,Clifford Amadeo LeVeque,Nick Evanko,Bradley Clark,Grant Marshall
Pool Play,Open Contender,Group C,2,Single game,NIL Deal Pending,Bomb Pop Tweas,NIL Deal Pending,21,9,,,,,Solomon Berry,Trevor Zaleski,Josiah Murphy,Adam Prudhomme
Pool Play,Open Contender,Group D,2,Single game,good.,Turbo Team,good.,21,11,,,,,Chandler Hertzler,Taylor Church,Blake Van Den Top,Michael Capobianco
Pool Play,Open Contender,Group D,2,Single game,The Diamond Dogs,Silent Chaos,The Diamond Dogs,21,9,,,,,Bennett Anderson,Reid Pfutzenreuter,Bryant Karratti,Kyler Cote
Pool Play,Open Contender,Group D,2,Single game,Venenosa,Uncanny,Uncanny,19,21,,,,,Patricio Duran,Juan Moscoso,Kelly O’Connor,Kaleb Wagner
Pool Play,Open Contender,Group A (Pro+),3,Single game,J.A.R.V.I.S.,Turf Burn,J.A.R.V.I.S.,21,17,,,,,Josh Fragiacomo,Connor Nelson,Kieran Rose,Kyle Fowler
Pool Play,Open Contender,Group A (Pro+),3,Single game,Fourth Dimension,neal love dog🥢🐶🍚,Fourth Dimension,21,13,,,,,Jake Woolley,Caleb Cummings,Joey Reynolds,Neal Bergman
Pool Play,Open Contender,Group B,3,Single game,200 Pump,Meltdown,200 Pump,21,16,,,,,Andrew Greer,Zach Snover,Peyton Stack,Nathan Robertt
Pool Play,Open Contender,Group B,3,Single game,Bought by Blood,Zero Gravity,Zero Gravity,16,21,,,,,Izayah Gibson,Jackson Wood,Garrett Carver,Xande Plaisted
Pool Play,Open Contender,Group C,3,Single game,Hinokami Kagura,NIL Deal Pending,NIL Deal Pending,20,22,,,,,Ben Savage,Aleks Essen,Solomon Berry,Trevor Zaleski
Pool Play,Open Contender,Group C,3,Single game,FreeELO,Bomb Pop Tweas,FreeELO,21,10,,,,,Clifford Amadeo LeVeque,Nick Evanko,Josiah Murphy,Adam Prudhomme
Pool Play,Open Contender,Group C,3,Single game,Clark Marshall,Bowser & Joker mains,Clark Marshall,21,11,,,,,Bradley Clark,Grant Marshall,Lazarus Shettell,Alex Tamang
Pool Play,Open Contender,Group D,3,Single game,good.,Venenosa,good.,21,17,,,,,Chandler Hertzler,Taylor Church,Patricio Duran,Juan Moscoso
Pool Play,Open Contender,Group D,3,Single game,The Diamond Dogs,Uncanny,The Diamond Dogs,21,11,,,,,Bennett Anderson,Reid Pfutzenreuter,Kelly O’Connor,Kaleb Wagner
Pool Play,Open Contender,Group D,3,Single game,Silent Chaos,Turbo Team,Silent Chaos,21,9,,,,,Bryant Karratti,Kyler Cote,Blake Van Den Top,Michael Capobianco
Pool Play,Open Contender,Group B,4,Single game,Bought by Blood,Meltdown,Meltdown,16,21,,,,,Izayah Gibson,Jackson Wood,Peyton Stack,Nathan Robertt
Pool Play,Open Contender,Group B,4,Single game,Both My Serves Walked Into a Bar…,Zero Gravity,Zero Gravity,12,21,,,,,Matt Barlow,Remi Prince,Garrett Carver,Xande Plaisted
Pool Play,Open Contender,Group C,4,Single game,Hinokami Kagura,Clark Marshall,Hinokami Kagura,21,14,,,,,Ben Savage,Aleks Essen,Bradley Clark,Grant Marshall
