Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Women's Pro,Group W,1,Single game,Patel/Foster,Last Minute,Patel/Foster,21,8,,,,,Shachi Patel,Allie Foster,Sophia Peach,Mary Buys
Pool Play,Women's Pro,Group W,1,Single game,Royalty,Goofy Goobers,Royalty,21,10,,,,,Katie Pierson,Laurence Vallée,Alyssa Drain,Katheleen Phan
Pool Play,Women's Pro,Group W,1,Single game,angst,Liz and Lourna,angst,21,6,,,,,Kalin Morgan,Sarah Allen,Lourna Szabanos,Elizabeth Wiecek
Pool Play,Women's Pro,Group W,2,Single game,Patel/Foster,Goofy Goobers,Patel/Foster,21,10,,,,,Shachi Patel,Allie Foster,Alyssa Drain,Katheleen Phan
Pool Play,Women's Pro,Group W,2,Single game,Royalty,angst,Royalty,21,12,,,,,Katie Pierson,Laurence Vallée,Kalin Morgan,Sarah Allen
Pool Play,Women's Pro,Group W,2,Single game,Liz and Lourna,Last Minute,Liz and Lourna,21,10,,,,,Lourna Szabanos,Elizabeth Wiecek,Sophia Peach,Mary Buys
Pool Play,Women's Pro,Group W,3,Single game,Patel/Foster,Liz and Lourna,Patel/Foster,21,9,,,,,Shachi Patel,Allie Foster,Lourna Szabanos,Elizabeth Wiecek
Pool Play,Women's Pro,Group W,3,Single game,Royalty,Last Minute,Royalty,21,6,,,,,Katie Pierson,Laurence Vallée,Sophia Peach,Mary Buys
Pool Play,Women's Pro,Group W,3,Single game,angst,Goofy Goobers,angst,21,9,,,,,Kalin Morgan,Sarah Allen,Alyssa Drain,Katheleen Phan
Pool Play,Women's Pro,Group W,4,Single game,Patel/Foster,angst,angst,20,22,,,,,Shachi Patel,Allie Foster,Kalin Morgan,Sarah Allen
Pool Play,Women's Pro,Group W,4,Single game,Royalty,Liz and Lourna,Royalty,21,4,,,,,Katie Pierson,Laurence Vallée,Lourna Szabanos,Elizabeth Wiecek
Pool Play,Women's Pro,Group W,4,Single game,Goofy Goobers,Last Minute,Goofy Goobers,21,10,,,,,Alyssa Drain,Katheleen Phan,Sophia Peach,Mary Buys
Pool Play,Women's Pro,Group W,5,Single game,Patel/Foster,Royalty,Royalty,18,21,,,,,Shachi Patel,Allie Foster,Katie Pierson,Laurence Vallée
Pool Play,Women's Pro,Group W,5,Single game,angst,Last Minute,angst,21,6,,,,,Kalin Morgan,Sarah Allen,Sophia Peach,Mary Buys
Pool Play,Women's Pro,Group W,5,Single game,Liz and Lourna,Goofy Goobers,Liz and Lourna,21,19,,,,,Lourna Szabanos,Elizabeth Wiecek,Alyssa Drain,Katheleen Phan
Bracket Stage,Women's Pro,Bracket A,Quarter-final,Best of 3,Patel/Foster,Last Minute,Patel/Foster,21,9,21,8,,,Shachi Patel,Allie Foster,Sophia Peach,Mary Buys
Bracket Stage,Women's Pro,Bracket A,Quarter-final,Best of 3,Liz and Lourna,Goofy Goobers,Goofy Goobers,16,21,11,21,,,Lourna Szabanos,Elizabeth Wiecek,Alyssa Drain,Katheleen Phan
Bracket Stage,Women's Pro,Bracket A,Semi-final,Best of 3,Royalty,Goofy Goobers,Royalty,21,4,21,18,,,Katie Pierson,Laurence Vallée,Alyssa Drain,Katheleen Phan
Bracket Stage,Women's Pro,Bracket A,Semi-final,Best of 3,angst,Patel/Foster,angst,21,19,21,16,,,Kalin Morgan,Sarah Allen,Shachi Patel,Allie Foster
Bracket Stage,Women's Pro,Bracket A,Winners final,Best of 3,Royalty,angst,Royalty,21,19,21,13,,,Katie Pierson,Laurence Vallée,Kalin Morgan,Sarah Allen
Bracket Stage,Women's Pro,Bracket A,Losers SF,Best of 3,Patel/Foster,Liz and Lourna,Patel/Foster,21,7,21,5,,,Shachi Patel,Allie Foster,Lourna Szabanos,Elizabeth Wiecek
Bracket Stage,Women's Pro,Bracket A,Losers SF,Best of 3,Goofy Goobers,Last Minute,Goofy Goobers,21,16,1,0,,,Alyssa Drain,Katheleen Phan,Sophia Peach,Mary Buys
Bracket Stage,Women's Pro,Bracket A,Losers Minor Final,Best of 3,Patel/Foster,Goofy Goobers,Patel/Foster,21,9,21,10,,,Shachi Patel,Allie Foster,Alyssa Drain,Katheleen Phan
Bracket Stage,Women's Pro,Bracket A,P5: Final,Best of 3,Liz and Lourna,Last Minute,Liz and Lourna,21,15,21,15,,,Lourna Szabanos,Elizabeth Wiecek,Sophia Peach,Mary Buys
Pool Play,Pro German,Group 5.0 A,1,Single game,TRP Spotless,CNU Mustard Packets,TRP Spotless,21,12,,,,,Ryan Gross,Joe Bondi,Calvin Smith,Luke Repass
Pool Play,Pro German,Group 5.0 A,1,Single game,Jersey Boyz,GwR Night nighT,Jersey Boyz,21,16,,,,,Corey Weiss,Matt Spolarich,Albert Tong,Brian Perlson
Pool Play,Pro German,Group 5.0 B,1,Single game,TRP Volley Dawgs,Slapped,TRP Volley Dawgs,21,13,,,,,Will Picone,Noah Luskus,Sam Mccune,Joel Lapp
Pool Play,Pro German,Group 5.0 B,1,Single game,Project Roundnet,Easily Trafficked,Project Roundnet,21,16,,,,,Samuel Corey,Josh Esposo,Nicolas Yabar,Ezra Dantowitz
Pool Play,Pro German,Group 5.0 C,1,Single game,BD Energy,The Whole Bag,BD Energy,21,9,,,,,Dawson Morgan,Brendan Ferreira,Josef Bekiranov,Josh Hutko
Pool Play,Pro German,Group 5.0 C,1,Single game,Autonomous,PBR Mikey & Mackey,Autonomous,21,15,,,,,Tyler Fernandez,Chase Meyer,Aidan Mackey,Michael Capobianco
Pool Play,Pro German,Group 5.0 D,1,Single game,Bot House,Nittany Nation,Bot House,21,12,,,,,Owen Lippman,West Peterson,Tyler Keener,Henry Pleszkoch
Pool Play,Pro German,Group 5.0 D,1,Single game,Boat Carriers,Martin/Garrett,Boat Carriers,21,16,,,,,Matthew Burrows,Brayden Latham,Mike Garrett,A.j. Martin
Pool Play,Pro German,Group 5.0 D,1,Single game,VBR CeeDeez 💿,PBR Jared Almon,PBR Jared Almon,22,24,,,,,Andrew Gunter,James Mitchum,Liam Sherron,Jacob Arzaga
Pool Play,Pro German,Group 5.0 E,1,Single game,Profit Boost,LL Unfinished Business,Profit Boost,21,12,,,,,Kieran Rose,Justin Shaytar,Josh DiDonato,Ryan Paul
Pool Play,Pro German,Group 5.0 E,1,Single game,Frag/Cummings,Tazzmires,Frag/Cummings,21,14,,,,,Caleb Cummings,Josh Fragiacomo,Connor Reid,Dylan Rourke
Pool Play,Pro German,Group 5.0 E,1,Single game,Eternal Atake,Limitless Faith,Eternal Atake,21,16,,,,,Reid Lampert,Kurt Lannetti,Ethan Domster,Andrew Raber
Pool Play,Pro German,Group 5.0 A,2,Single game,TRP Spotless,GwR Night nighT,TRP Spotless,21,9,,,,,Ryan Gross,Joe Bondi,Albert Tong,Brian Perlson
Pool Play,Pro German,Group 5.0 A,2,Single game,Chandler is my handler,CNU Mustard Packets,CNU Mustard Packets,23,25,,,,,Chandler Hertzler,Garrett Carver,Calvin Smith,Luke Repass
Pool Play,Pro German,Group 5.0 B,2,Single game,TRP Volley Dawgs,Easily Trafficked,TRP Volley Dawgs,21,10,,,,,Will Picone,Noah Luskus,Nicolas Yabar,Ezra Dantowitz
Pool Play,Pro German,Group 5.0 B,2,Single game,Shorter & Taller,Slapped,Shorter & Taller,21,13,,,,,Andrew Sullivan,Caleb Shorter,Sam Mccune,Joel Lapp
Pool Play,Pro German,Group 5.0 C,2,Single game,BD Energy,PBR Mikey & Mackey,BD Energy,21,14,,,,,Dawson Morgan,Brendan Ferreira,Aidan Mackey,Michael Capobianco
Pool Play,Pro German,Group 5.0 C,2,Single game,DUN,The Whole Bag,DUN,21,15,,,,,Demitri Forand,Henry Pilliod,Josef Bekiranov,Josh Hutko
Pool Play,Pro German,Group 5.0 D,2,Single game,Bot House,Martin/Garrett,Bot House,21,15,,,,,Owen Lippman,West Peterson,Mike Garrett,A.j. Martin
Pool Play,Pro German,Group 5.0 D,2,Single game,Boat Carriers,VBR CeeDeez 💿,Boat Carriers,21,18,,,,,Matthew Burrows,Brayden Latham,Andrew Gunter,James Mitchum
