Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Contender,Group A,1,Single game,TRP Rush Hour,75Limp,TRP Rush Hour,21,9,,,,,kevin um,Thomas Hamilton,john choi,Thomas Pence
Group Stage,Open Contender,Group A,1,Single game,LG,Lets Eat,LG,21,12,,,,,Sunny Gu,Lucas Pruett,Josh Hutko,Dennis Wei
Group Stage,Open Contender,Group A,1,Single game,GGR Revival,The Trojan and The Bear,GGR Revival,21,12,,,,,Alec Galbo,Michael Du,Garrett Ashton,Max Huang
Group Stage,Open Contender,Group B,1,Single game,CoCo Breaks,いただきます! (Itadakimasu),CoCo Breaks,21,9,,,,,Connor Nelson,Etienne Cote,Babbitt ‏‏‎ ‎,Joey Carmichael
Group Stage,Open Contender,Group B,1,Single game,Getting Handsy,Second Servings,Second Servings,22,24,,,,,Luke Pennington,Andrew Kosche,Kevin Chen,Ricky Santiago
Group Stage,Open Contender,Group B,1,Single game,Ivysaur,FTR CMS,Ivysaur,21,17,,,,,Michael Capobianco,Samuel Corey,James Lamkin,Nolan Wynkoop
Group Stage,Open Contender,Group C,1,Single game,V⚡️RGA,Team Backpack,V⚡️RGA,21,10,,,,,Caleb Cummings,Dawson Morgan,Isaac Holbrook,Seth Holbrook
Group Stage,Open Contender,Group C,1,Single game,FTR Frontier,Step-Cousin?!?,FTR Frontier,21,13,,,,,Jake Woolley,Kyan Kornfeld,Chase Meyer,Noah Johnson
Group Stage,Open Contender,Group C,1,Single game,Gateway into the Metaverse,Moldy Smalls,Gateway into the Metaverse,21,14,,,,,Conner Bradshaw,Solomon Berry,Jason Small,Rafi Moldovsky
Group Stage,Open Contender,Group D,1,Single game,Non-Euclidean Roundnet,TheGOATGene,Non-Euclidean Roundnet,21,10,,,,,Dan Abrams,Rahul Murthy,Wesley Tunelius,Brian Lin
Group Stage,Open Contender,Group D,1,Single game,Brotha ewww,Hooplivia,Brotha ewww,21,16,,,,,Tyler Fernandez,Cade Larson,Schon Siguenza,David Gonzales
Group Stage,Open Contender,Group D,1,Single game,BBL Drizzy,Tbd,BBL Drizzy,21,14,,,,,Joseph Kaylor,Bryant Karratti,Grayson M  Wills,tucker judkins
Group Stage,Open Contender,Group E,1,Single game,Church/Rose,AZR Meatheads,Church/Rose,21,15,,,,,Kieran Rose,Taylor Church,Tayt Rogers,David Yingling
Group Stage,Open Contender,Group E,1,Single game,Rusty,Martha/Powell,Rusty,21,16,,,,,fredric hinkle,Jacob Payer,Archie Powell,Jake Martha
Group Stage,Open Contender,Group E,1,Single game,4733 San Cortebella,Requalify,Requalify,19,21,,,,,Drew Cummins,Matt Ortlip,Clifton Miller,Benjamin Banuelos
Group Stage,Open Contender,Group A,2,Single game,TRP Rush Hour,Lets Eat,TRP Rush Hour,21,16,,,,,kevin um,Thomas Hamilton,Josh Hutko,Dennis Wei
Group Stage,Open Contender,Group A,2,Single game,LG,GGR Revival,LG,21,12,,,,,Sunny Gu,Lucas Pruett,Alec Galbo,Michael Du
Group Stage,Open Contender,Group A,2,Single game,The Trojan and The Bear,75Limp,75Limp,24,25,,,,,Garrett Ashton,Max Huang,john choi,Thomas Pence
Group Stage,Open Contender,Group B,2,Single game,CoCo Breaks,Second Servings,CoCo Breaks,21,12,,,,,Connor Nelson,Etienne Cote,Kevin Chen,Ricky Santiago
Group Stage,Open Contender,Group B,2,Single game,Getting Handsy,Ivysaur,Getting Handsy,25,24,,,,,Luke Pennington,Andrew Kosche,Michael Capobianco,Samuel Corey
Group Stage,Open Contender,Group B,2,Single game,FTR CMS,いただきます! (Itadakimasu),FTR CMS,21,17,,,,,James Lamkin,Nolan Wynkoop,Babbitt ‏‏‎ ‎,Joey Carmichael
Group Stage,Open Contender,Group C,2,Single game,V⚡️RGA,Step-Cousin?!?,V⚡️RGA,21,12,,,,,Caleb Cummings,Dawson Morgan,Chase Meyer,Noah Johnson
