Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Pro,Group A,1,Single game,TRP Spotless,GWR Fat Free,TRP Spotless,21,9,,,,,Joe Bondi,Ryan Gross,Calvin Smith,A.j. Martin
Pool Play,Open Pro,Group A,1,Single game,Bot House,Handy Andy’s,Handy Andy’s,20,22,,,,,Owen Lippman,West Peterson,Andrew Gunter,Andrew Raber
Pool Play,Open Pro,Group A,1,Single game,Chilly Boost,Bev’d Up,Chilly Boost,21,18,,,,,Trevor Clements 704trev,Kieran Rose,Sean Brown,Nate KT
Pool Play,Open Pro,Group B,1,Single game,Kingdom Come,YMCA,Kingdom Come,21,9,,,,,Grant Klapwijk,Matthew Cole,david seo,Carter Hodgson
Pool Play,Open Pro,Group B,1,Single game,TRP Dolphin Dive,Eternal Atake,TRP Dolphin Dive,21,15,,,,,Christian Bennett,Coleman Epperson's,Reid Lampert,Kurt Lannetti
Pool Play,Open Pro,Group B,1,Single game,GFD,DYN,GFD,21,17,,,,,Justin Barr,Andrew Sullivan,Demitri Forand,Henry Pilliod
Pool Play,Open Pro,Group C,1,Single game,Creamy,Zebra Caked,Creamy,21,11,,,,,Ryan Marino,Patric Chu,John Buchanan,Samuel Davis
Pool Play,Open Pro,Group C,1,Single game,F.F.,Almost Friday,F.F.,21,16,,,,,Gabriel Finocchi,Brendan Ferreira,Brian Perlson,Liam Sherron
Pool Play,Open Pro,Group C,1,Single game,Evasive Maneuvers,Bunze/Bunze,Evasive Maneuvers,21,16,,,,,Jenson Miller,Michael Barkman,Sam Bunze,Benjamin Bunze
Pool Play,Open Pro,Group A,2,Single game,TRP Spotless,Handy Andy’s,TRP Spotless,21,14,,,,,Joe Bondi,Ryan Gross,Andrew Gunter,Andrew Raber
Pool Play,Open Pro,Group A,2,Single game,Bot House,Glitch,Bot House,21,15,,,,,Owen Lippman,West Peterson,Luke Nickel,Cody Dryer
Pool Play,Open Pro,Group A,2,Single game,Bev’d Up,GWR Fat Free,Bev’d Up,21,15,,,,,Sean Brown,Nate KT,Calvin Smith,A.j. Martin
