Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,STS Pro,Power Pool,1,Single game,Numb,Tilted,Numb,2,0,,,,,Paq Clifford,Kieran Rose,Justin Barr,Will Picone
Pool Play,STS Pro,Power Pool,1,Single game,Cold Sweep,Bot House,Cold Sweep,2,0,,,,,Maxime Prince,Vincent Mathieu,West Peterson,Owen Lippman
Pool Play,STS Pro,Power Pool,1,Single game,Eisenträger/Siemer,Bazzani/Borsotti,Eisenträger/Siemer,2,0,,,,,Paul Siemer,Eisenträger Lukas,Nicola Bazzani,Andrea Borsotti
Pool Play,STS Pro,Power Pool,1,Single game,Insystem,V⚡️RGA,V⚡️RGA,1,1,,,,,Etienne Cote,Blake Bosak,Dawson Morgan,Caleb Cummings
Pool Play,STS Pro,Power Pool,1,Single game,Extra,foolish,foolish,1,1,,,,,Jé Gagnon,Emerson Dean,Lucas Pruett,Sunny Gu
Pool Play,STS Pro,Power Pool,1,Single game,Ultra Instinct,Kingdom Come,Ultra Instinct,2,0,,,,,Gabriel Finocchi,Thomas Hamilton,Matthew Cole,Grant Klapwijk
Pool Play,STS Pro,Power Pool,1,Single game,Zwaffle everyone,Degenerates,Degenerates,1,1,,,,,Robin Florinda,Levi Vandaele,Thomas Hoffman,Jack coolbaugh
Pool Play,STS Pro,Power Pool,1,Single game,TRP Spotless,J.A.R.V.I.S.,J.A.R.V.I.S.,1,1,,,,,Ryan Gross,Joe Bondi,Josh Fragiacomo,Connor Nelson
Pool Play,STS Pro,Power Pool,2,Single game,Numb,Bot House,Bot House,1,1,,,,,Paq Clifford,Kieran Rose,West Peterson,Owen Lippman
Pool Play,STS Pro,Power Pool,2,Single game,Cold Sweep,Tilted,Tilted,0,2,,,,,Maxime Prince,Vincent Mathieu,Justin Barr,Will Picone
Pool Play,STS Pro,Power Pool,2,Single game,Eisenträger/Siemer,V⚡️RGA,V⚡️RGA,1,1,,,,,Paul Siemer,Eisenträger Lukas,Dawson Morgan,Caleb Cummings
Pool Play,STS Pro,Power Pool,2,Single game,Insystem,Bazzani/Borsotti,Insystem,2,0,,,,,Etienne Cote,Blake Bosak,Nicola Bazzani,Andrea Borsotti
Pool Play,STS Pro,Power Pool,2,Single game,Extra,Kingdom Come,Kingdom Come,1,1,,,,,Jé Gagnon,Emerson Dean,Matthew Cole,Grant Klapwijk
Pool Play,STS Pro,Power Pool,2,Single game,Ultra Instinct,foolish,foolish,1,1,,,,,Gabriel Finocchi,Thomas Hamilton,Lucas Pruett,Sunny Gu
