Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Pro German,Group A,1,Single game,Bad Combo,CARL Baddie Combo,Bad Combo,21,4,,,,,Rahul Murthy,Will Picone,Rafi Moldovsky,Arrow Griner
Group Stage,Pro German,Group A,1,Single game,Psych,Babbitt/Wynkoop,Babbitt/Wynkoop,21,23,,,,,Josh Fragiacomo,Jacob Payer,Jake Babbitt,Nolan Wynkoop
Group Stage,Pro German,Group B,1,Single game,TRP Alpha & Beta,Hufko,TRP Alpha & Beta,21,15,,,,,fredric hinkle,kevin um,Quinn Hufler,Josh Hutko
Group Stage,Pro German,Group B,1,Single game,Beach Waffle,Baron and the Krug,Beach Waffle,21,16,,,,,Caleb Cummings,Matthew Burrows,John Choi,Jake LeBaron
Group Stage,Pro German,Group C,1,Single game,Baddest Combo,LamBo,Baddest Combo,21,13,,,,,Michael Hsu,Ryder Rivadeneyra,James Lamkin,Alec Galbo
Group Stage,Pro German,Group C,1,Single game,The Veterans,Friends of OC,The Veterans,21,19,,,,,Samuel Buckman,Jason Rhoads,Drew Cummins,Clifton Miller
Group Stage,Pro German,Group D,1,Single game,Beaver Eaters,ripcord,Beaver Eaters,21,19,,,,,Buddy Hammon,Marlon Fleming,Max Huang,Jake Martha
Group Stage,Pro German,Group D,1,Single game,The Clean Crew,Texas Blows,The Clean Crew,21,18,,,,,Brandon Brown,Andrew Kosche,Luis Orozco,Dean Wasil
Group Stage,Pro German,Group E,1,Single game,Cigar Boys,Placeholder,Cigar Boys,21,12,,,,,Grant Laughlin,Dan Abrams,Rich Tarpey,Nicolas Yabar
Group Stage,Pro German,Group E,1,Single game,Lazy,Chomar,Lazy,21,15,,,,,Cade Larson,Luke Marshall,Jacob Martinez,David Gonzales
Group Stage,Pro German,Group F,1,Single game,Etienne/Eddy,American Spikers,Etienne/Eddy,21,8,,,,,Eddy Leung,Etienne Cote,Alex Hart (ASL),Harold Mancia
Group Stage,Pro German,Group F,1,Single game,PNDubs,High Guys,PNDubs,21,18,,,,,Malachi Espinola,Austin Rawlings,Trevor Slaughter,Davis Jung
Group Stage,Pro German,Group F,1,Single game,Quantum State Koalas,Bricklayers,Bricklayers,18,21,,,,,Schon Siguenza,Ethan Zehr,Garrett Ashton,Dylan Bricker
Group Stage,Pro German,Group A,2,Single game,Bad Combo,Babbitt/Wynkoop,Bad Combo,21,7,,,,,Rahul Murthy,Will Picone,Jake Babbitt,Nolan Wynkoop
Group Stage,Pro German,Group A,2,Single game,Korn,CARL Baddie Combo,Korn,21,15,,,,,Matt Ortlip,Kyan Kornfeld,Rafi Moldovsky,Arrow Griner
Group Stage,Pro German,Group B,2,Single game,TRP Alpha & Beta,Baron and the Krug,Baron and the Krug,19,21,,,,,fredric hinkle,kevin um,John Choi,Jake LeBaron
Group Stage,Pro German,Group B,2,Single game,Dialed,Hufko,Dialed,21,19,,,,,Luke Pennington,Josh Cain,Quinn Hufler,Josh Hutko
Group Stage,Pro German,Group C,2,Single game,Baddest Combo,Friends of OC,Baddest Combo,21,17,,,,,Michael Hsu,Ryder Rivadeneyra,Drew Cummins,Clifton Miller
Group Stage,Pro German,Group C,2,Single game,Autonomous,LamBo,Autonomous,21,17,,,,,Tyler Fernandez,Chase Meyer,James Lamkin,Alec Galbo
Group Stage,Pro German,Group D,2,Single game,Beaver Eaters,Texas Blows,Beaver Eaters,21,19,,,,,Buddy Hammon,Marlon Fleming,Luis Orozco,Dean Wasil
Group Stage,Pro German,Group D,2,Single game,Screenagers,ripcord,Screenagers,22,20,,,,,Lucas Pruett,Warner Curtis,Max Huang,Jake Martha
Group Stage,Pro German,Group E,2,Single game,Cigar Boys,Chomar,Cigar Boys,21,12,,,,,Grant Laughlin,Dan Abrams,Jacob Martinez,David Gonzales
Group Stage,Pro German,Group E,2,Single game,Fractal Spikes,Placeholder,Fractal Spikes,21,14,,,,,Connor Nelson,Michael Du,Rich Tarpey,Nicolas Yabar
Group Stage,Pro German,Group F,2,Single game,Etienne/Eddy,High Guys,Etienne/Eddy,21,11,,,,,Eddy Leung,Etienne Cote,Trevor Slaughter,Davis Jung
Group Stage,Pro German,Group F,2,Single game,PNDubs,Quantum State Koalas,PNDubs,21,18,,,,,Malachi Espinola,Austin Rawlings,Schon Siguenza,Ethan Zehr
Group Stage,Pro German,Group F,2,Single game,Bricklayers,American Spikers,Bricklayers,21,17,,,,,Garrett Ashton,Dylan Bricker,Alex Hart (ASL),Harold Mancia
Group Stage,Pro German,Group A,3,Single game,Bad Combo,Korn,Bad Combo,21,16,,,,,Rahul Murthy,Will Picone,Matt Ortlip,Kyan Kornfeld
Group Stage,Pro German,Group A,3,Single game,Psych,CARL Baddie Combo,Psych,21,15,,,,,Josh Fragiacomo,Jacob Payer,Rafi Moldovsky,Arrow Griner
Group Stage,Pro German,Group B,3,Single game,TRP Alpha & Beta,Dialed,Dialed,16,21,,,,,fredric hinkle,kevin um,Luke Pennington,Josh Cain
