Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Contender,Group A,1,Single game,Clutch Boost,who do u think u r i am,Clutch Boost,21,12,,,,,Justin Shaytar,fredric hinkle,Lindros Beard,Chase Bremner
Pool Play,Open Contender,Group A,1,Single game,Steal Da Moon,Hitters Digest,Steal Da Moon,21,20,,,,,Michael Moniz,Henry Pleszkoch,Benjamin Bunze,Sam Bunze
Pool Play,Open Contender,Group A,1,Single game,no mats,Thermal,Thermal,20,21,,,,,Charles Tipton,Bryan Grullon,Drew Ryder,John Mankowich
Pool Play,Open Contender,Group B,1,Single game,Inspection,Freak Sauce,Inspection,21,12,,,,,Jake Dooley,John Buchanan,Prady Vijayakumar,Ethan Ferland
Pool Play,Open Contender,Group B,1,Single game,Chocolate Milk,Venenosa,Chocolate Milk,21,15,,,,,Dakota Wheeler,Caleb White,Patricio Duran,Juan Moscoso
Pool Play,Open Contender,Group B,1,Single game,Jinx,Screaming Goats,Screaming Goats,19,21,,,,,Noah Elconin,Charlie Cavallaro,Sean Caufield,Kurt Lannetti
Pool Play,Open Contender,Group C,1,Single game,Centros,Gapmeister,Centros,21,20,,,,,Jaxon Gonzalez,Jon Esposo,Sidney Mathues,Diego Lopez
Pool Play,Open Contender,Group C,1,Single game,PBR Dabbeup,Great Wall,Great Wall,19,21,,,,,A.j. Martin,Jacob Arzaga,Kevin Chen,Ricky Santiago
Pool Play,Open Contender,Group C,1,Single game,Party time,Slow Jamz,Slow Jamz,13,21,,,,,Josh Esposo,Caleb Brock,Isaac Mixon,Andrew Yancey
Pool Play,Open Contender,Group D,1,Single game,Patten/Marshall,Special Teams,Patten/Marshall,21,15,,,,,Grant Marshall,Daniel Patten,Liam Keegan,Matthew Rodriguez
Pool Play,Open Contender,Group D,1,Single game,Yum Yum Shop,Charlie Brown,Charlie Brown,16,21,,,,,Brandon Stokes,Dalton Gilder,Declan Brown,Charlie Freeman
Pool Play,Open Contender,Group D,1,Single game,Deep Dive,Divine Touches,Divine Touches,18,21,,,,,Maciah Aldrich,Hayden Carlson,Manish Nagireddy,Mitchell Carter
Pool Play,Open Contender,Group A,2,Single game,Clutch Boost,Hitters Digest,Clutch Boost,21,13,,,,,Justin Shaytar,fredric hinkle,Benjamin Bunze,Sam Bunze
Pool Play,Open Contender,Group A,2,Single game,Steal Da Moon,no mats,Steal Da Moon,21,16,,,,,Michael Moniz,Henry Pleszkoch,Charles Tipton,Bryan Grullon
Pool Play,Open Contender,Group A,2,Single game,Thermal,who do u think u r i am,Thermal,21,18,,,,,Drew Ryder,John Mankowich,Lindros Beard,Chase Bremner
Pool Play,Open Contender,Group B,2,Single game,Inspection,Venenosa,Inspection,21,16,,,,,Jake Dooley,John Buchanan,Patricio Duran,Juan Moscoso
Pool Play,Open Contender,Group B,2,Single game,Chocolate Milk,Jinx,Chocolate Milk,21,18,,,,,Dakota Wheeler,Caleb White,Noah Elconin,Charlie Cavallaro
Pool Play,Open Contender,Group B,2,Single game,Screaming Goats,Freak Sauce,Screaming Goats,21,19,,,,,Sean Caufield,Kurt Lannetti,Prady Vijayakumar,Ethan Ferland
Pool Play,Open Contender,Group C,2,Single game,Centros,Great Wall,Great Wall,18,21,,,,,Jaxon Gonzalez,Jon Esposo,Kevin Chen,Ricky Santiago
Pool Play,Open Contender,Group C,2,Single game,PBR Dabbeup,Party time,Party time,19,21,,,,,A.j. Martin,Jacob Arzaga,Josh Esposo,Caleb Brock
Pool Play,Open Contender,Group C,2,Single game,Slow Jamz,Gapmeister,Slow Jamz,21,17,,,,,Isaac Mixon,Andrew Yancey,Sidney Mathues,Diego Lopez
Pool Play,Open Contender,Group D,2,Single game,Patten/Marshall,Charlie Brown,Patten/Marshall,21,15,,,,,Grant Marshall,Daniel Patten,Declan Brown,Charlie Freeman
Pool Play,Open Contender,Group D,2,Single game,Yum Yum Shop,Deep Dive,Deep Dive,19,21,,,,,Brandon Stokes,Dalton Gilder,Maciah Aldrich,Hayden Carlson
Pool Play,Open Contender,Group D,2,Single game,Divine Touches,Special Teams,Special Teams,19,21,,,,,Manish Nagireddy,Mitchell Carter,Liam Keegan,Matthew Rodriguez
Pool Play,Open Contender,Group A,3,Single game,Clutch Boost,Thermal,Clutch Boost,21,15,,,,,Justin Shaytar,fredric hinkle,Drew Ryder,John Mankowich
Pool Play,Open Contender,Group A,3,Single game,Steal Da Moon,who do u think u r i am,Steal Da Moon,21,10,,,,,Michael Moniz,Henry Pleszkoch,Lindros Beard,Chase Bremner
Pool Play,Open Contender,Group A,3,Single game,no mats,Hitters Digest,no mats,21,16,,,,,Charles Tipton,Bryan Grullon,Benjamin Bunze,Sam Bunze
Pool Play,Open Contender,Group B,3,Single game,Inspection,Screaming Goats,Screaming Goats,19,21,,,,,Jake Dooley,John Buchanan,Sean Caufield,Kurt Lannetti
Pool Play,Open Contender,Group B,3,Single game,Chocolate Milk,Freak Sauce,Chocolate Milk,21,15,,,,,Dakota Wheeler,Caleb White,Prady Vijayakumar,Ethan Ferland
