Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Pro German,Group A,1,Single game,Rogue,Munch,Rogue,21,8,,,,,Ryan Marino,Thomas Hamilton,Josiah McKinney,Gabriel Skaggs
Pool Play,Pro German,Group A,1,Single game,Cliff Notes,Jonald Treygan,Cliff Notes,21,16,,,,,Luis Orozco,Clifford Amadeo LeVeque,Jon Moe,Trey Newman
Pool Play,Pro German,Group B,1,Single game,Nightmare on Sesame Street,Jack & the Beanstalk,Nightmare on Sesame Street,21,13,,,,,Justin Barr,Chris Wilkins,ISAAC GAVIN,jack saunders
Pool Play,Pro German,Group B,1,Single game,Basketball Purity,Transfer portal,Basketball Purity,21,19,,,,,Jack Bushart,Joey Reynolds,Jack W,Nick Evanko
Pool Play,Pro German,Group C,1,Single game,Tube Steaks,Griddy Guys,Tube Steaks,23,21,,,,,Skyler Sebring,Emerson Dean,Rob's Traveler,Tim Lacagnina
Pool Play,Pro German,Group C,1,Single game,Hive Mind,The Diamond Dogs,The Diamond Dogs,14,21,,,,,Cole Maddox,Lindros Beard,Bennett Anderson,Reid Pfutzenreuter
Pool Play,Pro German,Group D,1,Single game,Shorter & Taller,Brace yourself,Shorter & Taller,21,13,,,,,Caleb Shorter,Andrew Sullivan,Peter Lam,Jared Ang
Pool Play,Pro German,Group D,1,Single game,CRO Fall Damage,Risky Business,CRO Fall Damage,21,8,,,,,Chris Brown,Tyler Babin,Justin Kehoe,Kyle Fowler
Pool Play,Pro German,Group D,1,Single game,Revised Banquet,Defected,Revised Banquet,21,19,,,,,Gavin Broekema,Andy Trower,Reilly Paquette,Calyn Kir
Pool Play,Pro German,Group A,2,Single game,Rogue,Jonald Treygan,Rogue,21,13,,,,,Ryan Marino,Thomas Hamilton,Jon Moe,Trey Newman
Pool Play,Pro German,Group A,2,Single game,Wilkins Warriors,Munch,Munch,18,21,,,,,Grayson M  Wills,Mitch Kelley,Josiah McKinney,Gabriel Skaggs
Pool Play,Pro German,Group B,2,Single game,Nightmare on Sesame Street,Transfer portal,Nightmare on Sesame Street,21,16,,,,,Justin Barr,Chris Wilkins,Jack W,Nick Evanko
Pool Play,Pro German,Group B,2,Single game,Super Awesome Spikers,Jack & the Beanstalk,Super Awesome Spikers,21,18,,,,,Max Fiebelkorn,Chris Kaptur,ISAAC GAVIN,jack saunders
Pool Play,Pro German,Group C,2,Single game,Tube Steaks,The Diamond Dogs,The Diamond Dogs,19,21,,,,,Skyler Sebring,Emerson Dean,Bennett Anderson,Reid Pfutzenreuter
