Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Contender,Group A,1,Single game,Matteo Sacchini and Nicola Bazzani,Vincent Hauser and Sören Baumann,,1,0,,,,,Matteo Sacchini,Nicola Bazzani,Vincent Hauser,Sören Baumann
Group Stage,Open Contender,Group A,1,Single game,Matteo Sacchini and Nicola Bazzani,David Jindra and Stefan Handschmann,,1,0,,,,,Matteo Sacchini,Nicola Bazzani,David Jindra,Stefan Handschmann
Group Stage,Open Contender,Group A,1,Single game,Matteo Sacchini and Nicola Bazzani,Lukas Böhler and Jonas Tarnutzer,,1,0,,,,,Matteo Sacchini,Nicola Bazzani,Lukas Böhler,Jonas Tarnutzer
Group Stage,Open Contender,Group A,1,Single game,Matteo Sacchini and Nicola Bazzani,Mattia Bazzani and Jaroslav Čabala,,1,0,,,,,Matteo Sacchini,Nicola Bazzani,Mattia Bazzani,Jaroslav Čabala
Group Stage,Open Contender,Group A,1,Single game,Vincent Hauser and Sören Baumann,David Jindra and Stefan Handschmann,,1,0,,,,,Vincent Hauser,Sören Baumann,David Jindra,Stefan Handschmann
Group Stage,Open Contender,Group A,1,Single game,Vincent Hauser and Sören Baumann,Lukas Böhler and Jonas Tarnutzer,,1,0,,,,,Vincent Hauser,Sören Baumann,Lukas Böhler,Jonas Tarnutzer
Group Stage,Open Contender,Group A,1,Single game,Vincent Hauser and Sören Baumann,Mattia Bazzani and Jaroslav Čabala,,1,0,,,,,Vincent Hauser,Sören Baumann,Mattia Bazzani,Jaroslav Čabala
Group Stage,Open Contender,Group A,1,Single game,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,,,,,David Jindra,Stefan Handschmann,Lukas Böhler,Jonas Tarnutzer
Group Stage,Open Contender,Group A,1,Single game,David Jindra and Stefan Handschmann,Mattia Bazzani and Jaroslav Čabala,,1,0,,,,,David Jindra,Stefan Handschmann,Mattia Bazzani,Jaroslav Čabala
Group Stage,Open Contender,Group A,1,Single game,Lukas Böhler and Jonas Tarnutzer,Mattia Bazzani and Jaroslav Čabala,,1,0,,,,,Lukas Böhler,Jonas Tarnutzer,Mattia Bazzani,Jaroslav Čabala
Group Stage,Open Contender,Group B,1,Single game,riccardo mercadini and Alessandro Zanellato,Gabriel Stoisser and Maher Saadeddin,,1,0,,,,,riccardo mercadini,Alessandro Zanellato,Gabriel Stoisser,Maher Saadeddin
Group Stage,Open Contender,Group B,1,Single game,riccardo mercadini and Alessandro Zanellato,Nicolas Perriraz and Roman Peter,,1,0,,,,,riccardo mercadini,Alessandro Zanellato,Nicolas Perriraz,Roman Peter
Group Stage,Open Contender,Group B,1,Single game,riccardo mercadini and Alessandro Zanellato,Cedric Widin and Carlo Engel,,0,1,,,,,riccardo mercadini,Alessandro Zanellato,Cedric Widin,Carlo Engel
Group Stage,Open Contender,Group B,1,Single game,riccardo mercadini and Alessandro Zanellato,Kristof Reitz and Aljoscha Fleig,,1,0,,,,,riccardo mercadini,Alessandro Zanellato,Kristof Reitz,Aljoscha Fleig
Group Stage,Open Contender,Group B,1,Single game,Gabriel Stoisser and Maher Saadeddin,Nicolas Perriraz and Roman Peter,,1,0,,,,,Gabriel Stoisser,Maher Saadeddin,Nicolas Perriraz,Roman Peter
Group Stage,Open Contender,Group B,1,Single game,Gabriel Stoisser and Maher Saadeddin,Cedric Widin and Carlo Engel,,1,0,,,,,Gabriel Stoisser,Maher Saadeddin,Cedric Widin,Carlo Engel
Group Stage,Open Contender,Group B,1,Single game,Gabriel Stoisser and Maher Saadeddin,Kristof Reitz and Aljoscha Fleig,,0,1,,,,,Gabriel Stoisser,Maher Saadeddin,Kristof Reitz,Aljoscha Fleig
Group Stage,Open Contender,Group B,1,Single game,Nicolas Perriraz and Roman Peter,Cedric Widin and Carlo Engel,,1,0,,,,,Nicolas Perriraz,Roman Peter,Cedric Widin,Carlo Engel
Group Stage,Open Contender,Group B,1,Single game,Nicolas Perriraz and Roman Peter,Kristof Reitz and Aljoscha Fleig,,1,0,,,,,Nicolas Perriraz,Roman Peter,Kristof Reitz,Aljoscha Fleig
Group Stage,Open Contender,Group B,1,Single game,Cedric Widin and Carlo Engel,Kristof Reitz and Aljoscha Fleig,,1,0,,,,,Cedric Widin,Carlo Engel,Kristof Reitz,Aljoscha Fleig
Group Stage,Open Contender,Group C,1,Single game,Jacopo Dudine and Andrea Borsotti,Mattes Böhm and Lasse Böhm,,0,1,,,,,Jacopo Dudine,Andrea Borsotti,Mattes Böhm,Lasse Böhm
Group Stage,Open Contender,Group C,1,Single game,Jacopo Dudine and Andrea Borsotti,Merlin Baumeler and Serafin Rieser,,1,0,,,,,Jacopo Dudine,Andrea Borsotti,Merlin Baumeler,Serafin Rieser
Group Stage,Open Contender,Group C,1,Single game,Jacopo Dudine and Andrea Borsotti,David Leidenfrost and Marko Barbir,,1,0,,,,,Jacopo Dudine,Andrea Borsotti,David Leidenfrost,Marko Barbir
Group Stage,Open Contender,Group C,1,Single game,Jacopo Dudine and Andrea Borsotti,Julian Rotter and Benjamin Maucher,,1,0,,,,,Jacopo Dudine,Andrea Borsotti,Julian Rotter,Benjamin Maucher
Group Stage,Open Contender,Group C,1,Single game,Mattes Böhm and Lasse Böhm,Merlin Baumeler and Serafin Rieser,,0,1,,,,,Mattes Böhm,Lasse Böhm,Merlin Baumeler,Serafin Rieser
Group Stage,Open Contender,Group C,1,Single game,Mattes Böhm and Lasse Böhm,David Leidenfrost and Marko Barbir,,1,0,,,,,Mattes Böhm,Lasse Böhm,David Leidenfrost,Marko Barbir
Group Stage,Open Contender,Group C,1,Single game,Mattes Böhm and Lasse Böhm,Julian Rotter and Benjamin Maucher,,1,0,,,,,Mattes Böhm,Lasse Böhm,Julian Rotter,Benjamin Maucher
Group Stage,Open Contender,Group C,1,Single game,Merlin Baumeler and Serafin Rieser,David Leidenfrost and Marko Barbir,,1,0,,,,,Merlin Baumeler,Serafin Rieser,David Leidenfrost,Marko Barbir
Group Stage,Open Contender,Group C,1,Single game,Merlin Baumeler and Serafin Rieser,Julian Rotter and Benjamin Maucher,,1,0,,,,,Merlin Baumeler,Serafin Rieser,Julian Rotter,Benjamin Maucher
Group Stage,Open Contender,Group C,1,Single game,David Leidenfrost and Marko Barbir,Julian Rotter and Benjamin Maucher,,1,0,,,,,David Leidenfrost,Marko Barbir,Julian Rotter,Benjamin Maucher
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,David Jindra,Stefan Handschmann,Nicolas Perriraz,Roman Peter
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Mattes Böhm,Lasse Böhm,Lukas Böhler,Jonas Tarnutzer
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,riccardo mercadini,Alessandro Zanellato,David Leidenfrost,Marko Barbir
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Jacopo Dudine,Andrea Borsotti,Mattia Bazzani,Jaroslav Čabala
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Cedric Widin,Carlo Engel,Gabriel Stoisser,Maher Saadeddin
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Vincent Hauser,Sören Baumann,Julian Rotter,Benjamin Maucher
Bracket Stage,Open Contender,Main Bracket,Round of 16,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,0,1,,,Merlin Baumeler,Serafin Rieser,Kristof Reitz,Aljoscha Fleig
Bracket Stage,Open Contender,Main Bracket,Quarter finals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Vincent Hauser,Sören Baumann,Kristof Reitz,Aljoscha Fleig
Bracket Stage,Open Contender,Main Bracket,Quarter finals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Jacopo Dudine,Andrea Borsotti,Cedric Widin,Carlo Engel
Bracket Stage,Open Contender,Main Bracket,Quarter finals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Mattes Böhm,Lasse Böhm,riccardo mercadini,Alessandro Zanellato
Bracket Stage,Open Contender,Main Bracket,Quarter finals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Matteo Sacchini,Nicola Bazzani,David Jindra,Stefan Handschmann
Bracket Stage,Open Contender,Main Bracket,Semi finals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Matteo Sacchini,Nicola Bazzani,Mattes Böhm,Lasse Böhm
Bracket Stage,Open Contender,Main Bracket,Semi finals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Jacopo Dudine,Andrea Borsotti,Vincent Hauser,Sören Baumann
Bracket Stage,Open Contender,Main Bracket,Final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,0,1,0,1,Matteo Sacchini,Nicola Bazzani,Jacopo Dudine,Andrea Borsotti
Bracket Stage,Open Contender,Main Bracket,P3: Final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Vincent Hauser,Sören Baumann,Mattes Böhm,Lasse Böhm
Bracket Stage,Open Contender,Main Bracket,P5: Semifinals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,1,0,1,0,riccardo mercadini,Alessandro Zanellato,David Jindra,Stefan Handschmann
Bracket Stage,Open Contender,Main Bracket,P5: Semifinals,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,Kristof Reitz,Aljoscha Fleig,Cedric Widin,Carlo Engel
Bracket Stage,Open Contender,Main Bracket,P5: Final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,1,0,1,0,,,David Jindra,Stefan Handschmann,Cedric Widin,Carlo Engel
Bracket Stage,Open Contender,Main Bracket,P9: Quarter final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,1,0,1,0,Gabriel Stoisser,Maher Saadeddin,Mattia Bazzani,Jaroslav Čabala
Bracket Stage,Open Contender,Main Bracket,P9: Quarter final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,1,0,1,0,Merlin Baumeler,Serafin Rieser,Julian Rotter,Benjamin Maucher
Bracket Stage,Open Contender,Main Bracket,P9: Quarter final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,1,0,1,0,Lukas Böhler,Jonas Tarnutzer,David Leidenfrost,Marko Barbir
Bracket Stage,Open Contender,Main Bracket,P9: Semi final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,0,1,,,Lukas Böhler,Jonas Tarnutzer,Nicolas Perriraz,Roman Peter
Bracket Stage,Open Contender,Main Bracket,P9: Quarter final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,0,1,,,Merlin Baumeler,Serafin Rieser,Gabriel Stoisser,Maher Saadeddin
Bracket Stage,Open Contender,Main Bracket,P9: Final,Best of 3,David Jindra and Stefan Handschmann,Lukas Böhler and Jonas Tarnutzer,,0,1,0,1,,,Nicolas Perriraz,Roman Peter,Gabriel Stoisser,Maher Saadeddin
Group Stage,Women's Advanced,Group A,1,Single game,Daniela Kadlec and Ines Kornek,Carole Gassner and Anna Lea Schindler,,1,0,,,,,Daniela Kadlec,Ines Kornek,Carole Gassner,Anna Lea Schindler
Group Stage,Women's Advanced,Group A,1,Single game,Daniela Kadlec and Ines Kornek,Angelika Bauer and Elisabeth Ferstl,,1,0,,,,,Daniela Kadlec,Ines Kornek,Angelika Bauer,Elisabeth Ferstl
Group Stage,Women's Advanced,Group A,1,Single game,Daniela Kadlec and Ines Kornek,daria orlandini and Elena Berlanda,,1,0,,,,,Daniela Kadlec,Ines Kornek,daria orlandini,Elena Berlanda
Group Stage,Women's Advanced,Group A,1,Single game,Daniela Kadlec and Ines Kornek,Lara Althaus and Raphaela Pfund,,1,0,,,,,Daniela Kadlec,Ines Kornek,Lara Althaus,Raphaela Pfund
Group Stage,Women's Advanced,Group A,1,Single game,Carole Gassner and Anna Lea Schindler,Angelika Bauer and Elisabeth Ferstl,,1,0,,,,,Carole Gassner,Anna Lea Schindler,Angelika Bauer,Elisabeth Ferstl
Group Stage,Women's Advanced,Group A,1,Single game,Carole Gassner and Anna Lea Schindler,daria orlandini and Elena Berlanda,,1,0,,,,,Carole Gassner,Anna Lea Schindler,daria orlandini,Elena Berlanda
